model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
gptoss,AsAs,0.6666666666666666,-82.07954427056016,0.0,3,-1.4561720158569935,-1.0083683467310325,pure_commitment,36
gptoss,AsBa,0.6666666666666666,24.252343238963615,-0.0,3,0.5260115027413363,-1.0083683467310325,pure_commitment,36
gptoss,AsCh,1.0,-27.104946126670256,-0.0,3,-0.43136426594636706,-1.0083683467310325,pure_commitment,36
gptoss,AsCm,1.0,46.176167124925975,-0.0,3,0.9347039786227102,-1.0083683467310325,pure_commitment,36
gptoss,AsCo,1.0,-16.71363192046301,0.0,2,-0.23765481303859423,-1.0083683467310325,pure_commitment,36
gptoss,AsDl,1.0,58.31774994762891,-0.0,4,1.1610410250585947,-1.0083683467310325,pure_commitment,36
gptoss,AsHa,1.0,-22.900893736082878,0.0,3,-0.3529945167100448,-1.0083683467310325,pure_commitment,36
gptoss,AsHr,1.0,64.96814402883524,-0.0,3,1.2850141985694137,-1.0083683467310325,pure_commitment,36
gptoss,AsNc,1.0,-46.303781669119985,0.0,3,-0.7892589321641107,-1.0083683467310325,pure_commitment,36
gptoss,AsPc,1.0,-73.07747609009417,0.0,4,-1.2883601618727412,-1.0083683467310325,pure_commitment,36
gptoss,AsPd,1.0,-76.09746265095637,-0.0,4,-1.344657174251021,-1.0083683467310325,pure_commitment,36
gptoss,AsSh,0.5,-74.5787577181282,0.0,4,-1.3163462699872708,-1.0083683467310325,pure_commitment,36
gptoss,BaAs,1.0,-45.08877884353494,0.0,2,-0.7666094839850838,-1.0083683467310325,pure_commitment,36
gptoss,BaBa,0.3333333333333333,-22.017328752692052,0.0,3,-0.336523559702618,-1.0083683467310325,pure_commitment,36
gptoss,BaCh,0.75,-14.56174105376946,0.0,4,-0.19754038725639236,-1.0083683467310325,pure_commitment,36
gptoss,BaCm,0.5,20.076375812531335,0.0,4,0.4481652987403385,-1.0083683467310325,pure_commitment,36
gptoss,BaCo,1.0,-51.872943105872395,0.0,2,-0.8930763313554425,-1.0083683467310325,pure_commitment,36
gptoss,BaDl,1.0,90.74727058723997,0.0,4,1.7655752135645963,-1.0083683467310325,pure_commitment,36
gptoss,BaHa,0.75,69.34305367729725,-0.0,4,1.366568979582414,-1.0083683467310325,pure_commitment,36
gptoss,BaHr,0.5,16.697661770687514,0.0,4,0.38518107599530615,-1.0083683467310325,pure_commitment,36
gptoss,BaNc,0.5,-74.51099911745317,-0.0,4,-1.3150831495382023,-1.0083683467310325,pure_commitment,36
gptoss,BaPc,1.0,-69.95905717795749,-0.0,3,-1.2302282250050822,-1.0083683467310325,pure_commitment,36
gptoss,BaPd,1.0,-9.843944141450834,0.0,4,-0.10959368093224774,-1.0083683467310325,pure_commitment,36
gptoss,BaSh,1.0,-51.51058367837007,0.0,4,-0.8863214161383163,-1.0083683467310325,pure_commitment,36
gptoss,ChAs,1.0,-81.47299046512248,0.0,1,-1.444864956568932,-1.0083683467310325,pure_commitment,36
gptoss,ChBa,0.3333333333333333,-54.38394799015409,0.0,3,-0.9398851731179598,-1.0083683467310325,pure_commitment,36
gptoss,ChCh,1.0,-70.80071955744975,0.0,4,-1.2459180555528977,-1.0083683467310325,pure_commitment,36
gptoss,ChCm,1.0,-65.76399196744833,0.0,4,-1.152026010086517,-1.0083683467310325,pure_commitment,36
gptoss,ChCo,0.5,-70.49307521825948,0.0,2,-1.2401831104389176,-1.0083683467310325,pure_commitment,36
gptoss,ChDl,1.0,-63.00550953558754,0.0,4,-1.1006038211190938,-1.0083683467310325,pure_commitment,36
gptoss,ChHa,0.6666666666666666,-15.00869661446339,-0.0,3,-0.20587229941090984,-1.0083683467310325,pure_commitment,36
gptoss,ChHr,0.0,32.95284679758155,0.0,4,0.6882017465273684,-1.0083683467310325,pure_commitment,36
gptoss,ChNc,0.25,20.55744565287325,-0.0,4,0.45713315148098566,-1.0083683467310325,pure_commitment,36
gptoss,ChPc,1.0,-74.06400086270273,-0.0,4,-1.3067504415033788,-1.0083683467310325,pure_commitment,36
gptoss,ChPd,1.0,-59.80578122606647,0.0,4,-1.0409561569265713,-1.0083683467310325,pure_commitment,36
gptoss,ChSh,1.0,-72.98622409844093,0.0,3,-1.2866590898977128,-1.0083683467310325,pure_commitment,36
gptoss,CmAs,1.0,49.74077510995218,2.0,4,1.00115353917951,1.191708046136675,pure_commitment,36
gptoss,CmBa,1.0,78.50607747708855,2.0,4,1.5373812841683154,1.191708046136675,pure_commitment,36
gptoss,CmCh,1.0,-44.05172596127457,2.0,4,-0.7472772857209715,1.191708046136675,pure_commitment,36
gptoss,CmCm,1.0,-0.29863115855472344,2.0,4,0.06834505896705749,1.191708046136675,pure_commitment,36
gptoss,CmCo,1.0,36.642515471788535,2.0,4,0.7569826231430176,1.191708046136675,pure_commitment,36
gptoss,CmDl,1.0,50.40878569847217,2.0,4,1.013606243723995,1.191708046136675,pure_commitment,36
gptoss,CmHa,1.0,46.99619908535655,2.0,4,0.9499905861941574,1.191708046136675,pure_commitment,36
gptoss,CmHr,1.0,-2.1826135357077145,2.0,4,0.03322484334041506,1.191708046136675,pure_commitment,36
gptoss,CmNc,1.0,48.7140332010776,2.0,4,0.9820135526966867,1.191708046136675,pure_commitment,36
gptoss,CmPc,1.0,44.35163370813559,2.0,4,0.9006919794698701,1.191708046136675,pure_commitment,36
gptoss,CmPd,1.0,55.46771934788299,2.0,4,1.1079122429534969,1.191708046136675,pure_commitment,36
gptoss,CmSh,1.0,-54.79436043667614,2.0,4,-0.9475358676215325,1.191708046136675,pure_commitment,36
gptoss,CoAs,1.0,-72.76458308623664,1.0,2,-1.2825273738929777,0.09166984970282117,pure_commitment,36
gptoss,CoBa,1.0,-96.28138468356411,1.0,2,-1.7209153083890552,0.09166984970282117,pure_commitment,36
gptoss,CoCh,0.6666666666666666,-13.384394063554742,1.0,3,-0.17559289949580936,0.09166984970282117,pure_commitment,36
gptoss,CoCm,1.0,-31.25217566132824,-1.0,4,-0.5086747531763336,-2.108406543164886,pure_commitment,36
gptoss,CoCo,1.0,-62.83091442232358,1.0,2,-1.0973491101942205,0.09166984970282117,pure_commitment,36
gptoss,CoDl,1.0,-72.81732868152002,-1.0,4,-1.2835106297355867,-2.108406543164886,pure_commitment,36
gptoss,CoHa,1.0,-75.07815573438154,1.0,4,-1.3256557870119676,0.09166984970282117,pure_commitment,36
gptoss,CoHr,1.0,-71.08940282304673,1.0,2,-1.2512995382347527,0.09166984970282117,pure_commitment,36
gptoss,CoNc,0.25,-27.327908229873263,1.0,4,-0.43552060903960366,0.09166984970282117,pure_commitment,36
gptoss,CoPc,1.0,21.525408902767317,1.0,4,0.4751774168983286,0.09166984970282117,pure_commitment,36
gptoss,CoPd,1.0,-35.3739614968597,-1.0,4,-0.585510932254324,-2.108406543164886,pure_commitment,36
gptoss,CoSh,0.3333333333333333,-74.9206628833802,1.0,3,-1.3227198875290966,0.09166984970282117,pure_commitment,36
gptoss,DlAs,1.0,-6.428964768150426,2.0,4,-0.04593341881658617,1.191708046136675,pure_commitment,36
gptoss,DlBa,1.0,-0.05700750354154582,2.0,4,0.07284928096375357,1.191708046136675,pure_commitment,36
gptoss,DlCh,1.0,37.32467832258716,2.0,4,0.7696991467703441,1.191708046136675,pure_commitment,36
gptoss,DlCm,1.0,-8.155687686372591,2.0,4,-0.07812208573345465,1.191708046136675,pure_commitment,36
gptoss,DlCo,1.0,42.62859275516804,2.0,4,0.8685719498264922,1.191708046136675,pure_commitment,36
gptoss,DlDl,1.0,-5.0918677362297675,2.0,4,-0.021007954202760998,1.191708046136675,pure_commitment,36
gptoss,DlHa,1.0,25.9183482462797,2.0,4,0.557068298071039,1.191708046136675,pure_commitment,36
gptoss,DlHr,1.0,47.38345995436198,2.0,4,0.9572097010798203,1.191708046136675,pure_commitment,36
gptoss,DlNc,1.0,-44.92587483832167,2.0,4,-0.7635727125911923,1.191708046136675,pure_commitment,36
gptoss,DlPc,1.0,71.37521758235397,2.0,4,1.4044515178692762,1.191708046136675,pure_commitment,36
