model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
llama31_instruct,AsAs,0.5,-1.5540330129474815,0.0,4,-0.3500921441638858,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsBa,0.5,-1.1301483113095894,-0.0,4,-0.2596846563738235,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsCh,0.5,-6.304758294443641,-0.0,4,-1.3633420591082335,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsCm,0.0,2.433550113479839,-0.0,4,0.5003923659430716,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsCo,0.5,-3.299814069624913,0.0,4,-0.7224379234661932,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsDl,0.5,-3.5716404299362745,-0.0,4,-0.7804139208445087,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsHa,0.5,0.013980077160949955,0.0,4,-0.015661286548892355,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsHr,0.0,-0.7840358273705612,-0.0,4,-0.18586467644815818,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsNc,0.5,-2.581664300021327,0.0,4,-0.56926863880931,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsPc,0.5,-4.823538017933162,0.0,4,-1.047422650963585,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsPd,0.5,-3.0817505784750145,-0.0,4,-0.6759286431420493,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,AsSh,0.5,-1.0276317870007552,0.0,4,-0.2378196034858142,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,BaAs,0.0,-2.9907029006722774,0.0,4,-0.6565097025965227,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,BaBa,0.5,-3.5951412320087757,0.0,4,-0.7854262472347197,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,BaCh,0.5,-5.074159013589877,0.0,4,-1.1008759002014483,-1.0083683467310325,parsed_generated_choice,80
llama31_instruct,BaCm,0.5,-6.9259860859211,0.0,4,-1.495839513618456,-1.0083683467310325,parsed_generated_choice,80
