model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
qwen,AsAs,0.5,-5.798397146073897,0.0,4,-0.6942804667231063,-1.0083683467310325,parsed_generated_choice,80
qwen,AsBa,0.25,-6.609135201811913,-0.0,4,-0.7924243403459614,-1.0083683467310325,parsed_generated_choice,80
qwen,AsCh,0.5,2.7649646869768407,-0.0,4,0.34235707061891174,-1.0083683467310325,parsed_generated_choice,80
qwen,AsCm,0.5,-6.610669207926597,-0.0,4,-0.7926100394150883,-1.0083683467310325,parsed_generated_choice,80
qwen,AsCo,0.5,3.4206338522891633,0.0,4,0.42172908386459274,-1.0083683467310325,parsed_generated_choice,80
qwen,AsDl,0.5,-2.1983971070218367,-0.0,4,-0.25848255841673834,-1.0083683467310325,parsed_generated_choice,80
qwen,AsHa,0.5,-12.610418716637358,0.0,4,-1.5189095554969818,-1.0083683467310325,parsed_generated_choice,80
qwen,AsHr,0.5,-5.6507227389148476,-0.0,4,-0.6764037453197247,-1.0083683467310325,parsed_generated_choice,80
qwen,AsNc,0.5,5.700251177649277,0.0,4,0.697688098129628,-1.0083683467310325,parsed_generated_choice,80
qwen,AsPc,0.5,-8.287805649789581,0.0,4,-0.9956357464650052,-1.0083683467310325,parsed_generated_choice,80
qwen,AsPd,0.25,11.979140920990844,-0.0,4,1.457778927838364,-1.0083683467310325,parsed_generated_choice,80
qwen,AsSh,0.5,-3.8851084936633264,0.0,4,-0.46266736015036547,-1.0083683467310325,parsed_generated_choice,80
qwen,BaAs,0.5,-16.387775152910123,0.0,4,-1.9761773377186533,-1.0083683467310325,parsed_generated_choice,80
qwen,BaBa,0.25,1.344226315128962,0.0,4,0.17036962506740166,-1.0083683467310325,parsed_generated_choice,80
qwen,BaCh,0.25,0.9256703591499815,0.0,4,0.1197013450268152,-1.0083683467310325,parsed_generated_choice,80
qwen,BaCm,0.0,6.910542198234288,0.0,4,0.8441998452105562,-1.0083683467310325,parsed_generated_choice,80
qwen,BaCo,0.25,19.680318481932883,0.0,4,2.3900447712126907,-1.0083683467310325,parsed_generated_choice,80
qwen,BaDl,0.25,13.207401993719534,0.0,4,1.6064660391002419,-1.0083683467310325,parsed_generated_choice,80
qwen,BaHa,0.75,1.285532000218677,-0.0,4,0.1632643863479841,-1.0083683467310325,parsed_generated_choice,80
qwen,BaHr,0.0,7.3280996807529935,0.0,4,0.8947472550731518,-1.0083683467310325,parsed_generated_choice,80
qwen,BaNc,0.5,-1.0995231171041855,-0.0,4,-0.12545839699909453,-1.0083683467310325,parsed_generated_choice,80
qwen,BaPc,0.75,-2.210421621443466,-0.0,4,-0.25993818568798854,-1.0083683467310325,parsed_generated_choice,80
qwen,BaPd,0.25,4.373134059215241,0.0,4,0.5370339709026134,-1.0083683467310325,parsed_generated_choice,80
qwen,BaSh,0.5,-9.39475762144824,0.0,4,-1.1296377877459491,-1.0083683467310325,parsed_generated_choice,80
qwen,ChAs,0.25,-1.1747224987790865,0.0,4,-0.13456165613363705,-1.0083683467310325,parsed_generated_choice,80
qwen,ChBa,0.25,0.9952362248487967,0.0,4,0.12812263903575868,-1.0083683467310325,parsed_generated_choice,80
qwen,ChCh,0.25,-7.690738300824264,0.0,4,-0.9233577745276413,-1.0083683467310325,parsed_generated_choice,80
qwen,ChCm,0.25,0.24724294716182732,0.0,4,0.0375743328393399,-1.0083683467310325,parsed_generated_choice,80
qwen,ChCo,0.0,1.6550851201838133,0.0,4,0.20800062938738859,-1.0083683467310325,parsed_generated_choice,80
qwen,ChDl,0.25,-3.6696150645516905,0.0,4,-0.43658080886095324,-1.0083683467310325,parsed_generated_choice,80
qwen,ChHa,0.75,1.9085812109406202,-0.0,4,0.23868759186440763,-1.0083683467310325,parsed_generated_choice,80
qwen,ChHr,0.0,8.019179350122405,0.0,4,0.9784058859390417,-1.0083683467310325,parsed_generated_choice,80
qwen,ChNc,0.75,3.048487473176726,-0.0,4,0.3766789139085686,-1.0083683467310325,parsed_generated_choice,80
qwen,ChPc,1.0,3.076283800681196,-0.0,4,0.3800437975901356,-1.0083683467310325,parsed_generated_choice,80
qwen,ChPd,0.25,-8.377086936238614,0.0,4,-1.0064436902048157,-1.0083683467310325,parsed_generated_choice,80
qwen,ChSh,0.25,-1.8041584578113141,0.0,4,-0.21075800929570176,-1.0083683467310325,parsed_generated_choice,80
qwen,CmAs,1.0,-3.5147714601714917,2.0,4,-0.41783622047998253,1.191708046136675,parsed_generated_choice,80
qwen,CmBa,1.0,10.365807743081778,2.0,4,1.2624769231975053,1.191708046136675,parsed_generated_choice,80
qwen,CmCh,1.0,20.462313266827454,2.0,4,2.4847091289534418,1.191708046136675,parsed_generated_choice,80
qwen,CmCm,1.0,1.8752488020490974,2.0,4,0.23465253799880734,1.191708046136675,parsed_generated_choice,80
qwen,CmCo,1.0,-3.8753411239233655,2.0,4,-0.46148497146810014,1.191708046136675,parsed_generated_choice,80
qwen,CmDl,1.0,1.9563100022754836,2.0,4,0.24446539942109907,1.191708046136675,parsed_generated_choice,80
qwen,CmHa,1.0,6.5600420111108635,2.0,4,0.8017700544459984,1.191708046136675,parsed_generated_choice,80
qwen,CmHr,1.0,5.083414732022533,2.0,4,0.6230169787254033,1.191708046136675,parsed_generated_choice,80
qwen,CmNc,1.0,7.729316474054928,2.0,4,0.9433165432402741,1.191708046136675,parsed_generated_choice,80
qwen,CmPc,1.0,-1.7985694074292784,2.0,4,-0.2100814269513995,1.191708046136675,parsed_generated_choice,80
qwen,CmPd,1.0,7.343146661991092,2.0,4,0.896568766983917,1.191708046136675,parsed_generated_choice,80
qwen,CmSh,1.0,11.209064225525237,2.0,4,1.3645573140942264,1.191708046136675,parsed_generated_choice,80
qwen,CoAs,0.75,0.05964991448087975,1.0,4,0.014865263292570692,0.09166984970282117,parsed_generated_choice,80
qwen,CoBa,0.75,9.696023300590552,1.0,4,1.1813961854509905,0.09166984970282117,parsed_generated_choice,80
qwen,CoCh,0.75,-0.8065377038833558,1.0,4,-0.08999105564886073,0.09166984970282117,parsed_generated_choice,80
qwen,CoCm,0.5,-4.912127878160013,-1.0,4,-0.5869931642333017,-2.108406543164886,parsed_generated_choice,80
