model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
qwen_instruct,AsAs,0.5,-18.16619373063529,0.0,4,-1.57911410255666,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsBa,0.5,-9.579793513406653,-0.0,4,-0.8435072807080328,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsCh,0.5,-17.13928896329085,-0.0,4,-1.4911379853088593,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsCm,0.75,-4.9797535677749325,-0.0,4,-0.449416546619813,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsCo,0.5,-10.22470426106597,0.0,4,-0.8987575291776774,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsDl,0.5,-13.635462981091479,-0.0,4,-1.1909611673328366,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsHa,0.5,-14.141166816738867,0.0,4,-1.2342853988997298,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsHr,0.5,5.470870999097491,-0.0,4,0.4459005279960567,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsNc,0.5,-7.669837698308071,0.0,4,-0.679879160486373,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsPc,0.5,-8.47968638711833,0.0,4,-0.7492598328382928,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsPd,0.5,-19.4536726486849,-0.0,4,-1.6894139081961954,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,AsSh,0.5,-7.0245396838425656,0.0,4,-0.6245957344222417,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,BaAs,0.5,-11.016023061612433,0.0,4,-0.9665507246044486,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,BaBa,0.25,-7.760324221916674,0.0,4,-0.6876312454542153,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,BaCh,0.25,-2.7630234360271686,0.0,4,-0.25950671643985307,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,BaCm,0.0,0.332731266898211,0.0,4,0.005710163816037478,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,BaCo,0.25,-7.119398025616579,0.0,4,-0.6327223581007191,-1.0083683467310325,parsed_generated_choice,80
qwen_instruct,BaDl,0.25,7.779709867093397,0.0,4,0.6437014199739558,-1.0083683467310325,parsed_generated_choice,80
