game_code,dominance_profile,iesds_depth,num_pure_ne,pure_ne_cells,ne_pareto_rankable,ne_distributional_conflict,payoff_variance,payoff_conflict,p1_maximin_action,p2_maximin_action,joint_maximin_cell,maximin_is_ne,maximin_to_ne_action_distance,maximin_to_ne_payoff_distance,l1_action_p1,l1_action_p2,l2_action_p1,l2_action_p2,near_equal_split_cell,pareto_efficient_cells,source,frac_choose_A,entropy_binary,lk_type,emp_class,up_choice,topology,delta_norm,dominant_action_p1,dominant_action_p2,nash_action_p1,nash_action_p2,payoff_dominant_ne_p1,payoff_dominant_ne_p2,risk_dominant_ne_p1,risk_dominant_ne_p2,l0_action_p1,l0_action_p2,cooperative_action_p1,cooperative_action_p2,canonical_action_p1,canonical_action_p2,complexity_score,complexity_score_n_components
ChNc,1,2,1,"(1,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,3.0,-1,1,1,-1,"(1,0)","(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,0.04801432338530609,3
ChHa,1,2,1,"(1,1)",,,1.25,0.20000000000000007,0,1,"(0,1)",False,1.0,2.0,-1,1,1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,-0.18292578429054426,3
ChPc,1,2,1,"(1,1)",,,1.25,0.3999999999999999,0,1,"(0,1)",False,1.0,2.0,-1,1,1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,-0.06745573045261914,3
ChCo,2,0,0,,,,1.25,1.0,0,1,"(0,1)",False,,,-1,1,1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,1,0.10594574839859416,3
ChAs,2,0,0,,,,1.25,1.4,0,0,"(0,0)",False,,,-1,-1,-1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,0,0.3368858560744445,3
ChSh,2,0,0,,,,1.25,1.2,0,0,"(0,0)",False,,,-1,-1,-1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,0,0.22141580223651927,3
BaNc,1,2,1,"(1,1)",,,1.25,0.8,0,1,"(0,1)",False,1.0,4.0,-1,1,1,-1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,0.16348437722323123,3
BaHa,1,2,1,"(1,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,3.0,-1,1,1,-1,"(1,0)","(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,0.04801432338530609,3
BaPc,1,2,1,"(1,1)",,,1.25,1.0,0,1,"(0,1)",False,1.0,3.0,-1,1,1,-1,"(1,0)","(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,0.27895443106115636,3
BaCo,2,0,0,,,,1.25,1.6,0,1,"(0,1)",False,,,-1,1,1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,1,0.4523559099123697,3
BaAs,2,0,0,,,,1.25,1.7999999999999998,0,0,"(0,0)",False,,,-1,-1,-1,-1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,0,0.5678259637502947,3
BaSh,2,0,0,,,,1.25,1.4,0,0,"(0,0)",False,,,-1,-1,-1,-1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,0,0.3368858560744445,3
HrNc,1,2,1,"(1,1)",,,1.25,1.4,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,0.5098945387370066,3
HrHa,1,2,1,"(1,1)",,,1.25,1.2,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,0.3944244848990815,3
HrPc,1,2,1,"(1,1)",,,1.25,1.4,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(1,0)","(0,1);(1,1)",bruns,,,,,,,,,1,1,1,,,,,1,1,,,1,1,0.5098945387370066,3
HrCo,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,1,1,1,0,"(1,0)","(0,1);(1,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,1,1,0.5678259637502947,3
HrAs,2,0,0,,,,1.25,2.0,1,0,"(1,0)",False,,,1,-1,-1,0,"(0,0)","(0,0);(0,1);(1,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,1,0,0.68329601758822,3
HrSh,2,0,0,,,,1.25,1.7999999999999998,1,0,"(1,0)",False,,,1,-1,-1,0,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,1,0,0.5678259637502947,3
CmNc,0,1,1,"(1,1)",,,1.25,1.7999999999999998,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,0.2694301256218253,3
CmHa,0,1,1,"(1,1)",,,1.25,1.4,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,0.03849001794597499,3
CmPc,0,1,1,"(1,1)",,,1.25,1.2,1,1,"(1,1)",True,0.0,0.0,1,1,1,1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,-0.07698003589195014,3
