unique_id,game_id,up_choice,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB,role,topology_raw,choice_br,choice_psne
6,3,0.093023256,15,12,36,29,12,35,2,34,colplayer,"('deadlock', 'deadlock')",0.9069767441860465,0.9069767441860465
5,3,0.13513513513513514,12,2,35,34,15,36,12,29,rowplayer,"('deadlock', 'deadlock')",0.8648648648648649,0.8648648648648649
12,6,0.21951219512195122,15,16,39,28,3,33,5,8,colplayer,"('compromise', 'compromise')",0.7804878048780488,0.7804878048780488
11,6,0.24242424242424243,3,5,33,8,15,39,16,28,rowplayer,"('compromise', 'compromise')",0.7575757575757576,0.7575757575757576
24,12,0.9024390243902439,37,26,1,2,31,1,17,13,colplayer,"('peace', 'peace')",0.9024390243902439,0.9024390243902439
23,12,0.8918918918918919,31,17,1,13,37,1,26,2,rowplayer,"('peace', 'peace')",0.8918918918918919,0.8918918918918919
86,43,0.5,1,24,29,8,3,39,13,8,colplayer,"('hero', 'hero')",0.5,1
85,43,0.16666666666666666,3,13,39,8,1,29,24,8,rowplayer,"('hero', 'hero')",0.8333333333333334,1
184,92,1.0,38,10,2,11,30,1,21,22,colplayer,"('safecoord', 'safecoord')",1,1
183,92,0.8888888888888888,30,21,1,22,38,2,10,11,rowplayer,"('safecoord', 'safecoord')",0.8888888888888888,1
186,93,0.073170732,6,2,25,10,5,9,1,8,colplayer,"('deadlock', 'deadlock')",0.926829268,0.926829268
185,93,0.20408163265306123,5,1,9,8,6,25,2,10,rowplayer,"('deadlock', 'deadlock')",0.7959183673469388,0.7959183673469388
260,130,0.75,33,8,18,17,18,6,3,5,colplayer,"('staghunt', 'staghunt')",0.75,1
259,130,0.9411764705882353,18,3,6,5,33,18,8,17,rowplayer,"('staghunt', 'staghunt')",0.9411764705882353,1
298,149,0.15384615384615385,20,4,34,21,3,17,1,14,colplayer,"('deadlock', 'deadlock')",0.8461538461538461,0.8461538461538461
297,149,0.073170732,3,1,17,14,20,34,4,21,rowplayer,"('deadlock', 'deadlock')",0.926829268,0.926829268
342,171,0.3611111111111111,3,1,20,2,22,38,1,13,colplayer,"('dilemma', 'dilemma')",0.6388888888888888,0.6388888888888888
