game_id,up_choice,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB,topology_raw,delta,delta_norm,choice_br,choice_psne
43,0.16666666666666666,3,13,39,8,1,29,24,8,"('hero', 'hero')",0.10992907801418439,0.11316606708961208,0.8333333333333334,1
92,0.8888888888888888,30,21,1,22,38,2,10,11,"('safecoord', 'safecoord')",0.1074074074074074,-0.133476693,0.8888888888888888,1
130,0.9411764705882353,18,3,6,5,33,18,8,17,"('staghunt', 'staghunt')",0.035087719,-0.337162653,0.9411764705882353,1
174,0.5952380952380952,19,29,45,14,15,24,18,1,"('leader', 'leader')",0.2117673992673992,0.910981681,0.40476190476190477,1
233,0.8205128205128205,21,16,27,4,26,45,20,5,"('chicken', 'chicken')",0.10317825886688155,0.38690374778401265,0.1794871794871795,1
295,0.8048780487804879,41,6,7,28,42,9,1,10,"('assurance', 'assurance')",0.1100359856057577,0.017216104171647532,0.8048780487804879,1
332,0.4,12,17,37,10,5,29,17,1,"('leader', 'leader')",0.20839580209895056,0.43804091808264584,0.6,1
338,0.9583333333333334,21,3,1,17,39,6,8,9,"('safecoord', 'safecoord')",0.033179012345679014,-0.30553069,0.9583333333333334,1
352,0.2903225806451613,16,9,29,7,22,26,19,2,"('chicken', 'chicken')",0.12350025145484589,0.20881283904028108,0.7096774193548387,1
364,0.85,26,2,8,3,18,15,2,5,"('staghunt', 'staghunt')",0.098831776,-0.117162061,0.85,1
392,0.125,2,10,37,6,1,21,20,13,"('hero', 'hero')",0.076716738,-0.093237531,0.875,1
434,0.8,29,8,9,11,30,10,7,11,"('assurance', 'assurance')",0.1261599210266535,-0.055164793,0.8,1
461,0.7894736842105263,40,1,14,9,20,16,1,12,"('staghunt', 'staghunt')",0.098638204,0.060590243,0.7894736842105263,1
485,0.8285714285714286,22,16,2,20,36,10,15,30,"('safecoord', 'safecoord')",0.12061733280569845,-0.005837403,0.8285714285714286,1
513,0.7222222222222222,13,12,32,4,25,33,3,1,"('chicken', 'chicken')",0.2812289562289563,1.02490218140957,0.2777777777777778,1
538,0.6444444444444445,39,5,9,24,15,11,9,13,"('assurance', 'assurance')",0.096365524,0.1347193828704683,0.6444444444444445,1
547,0.8367346938775511,30,7,8,16,13,5,3,9,"('assurance', 'assurance')",0.088754965,-0.132306304,0.8367346938775511,1
553,0.8,32,7,1,28,26,2,4,6,"('safecoord', 'safecoord')",0.1833644859813084,0.055496646,0.8,1
560,0.7647058823529411,21,1,7,6,34,10,1,3,"('staghunt', 'staghunt')",0.14575163398692806,0.2500265994511298,0.7647058823529411,1
582,0.4827586206896552,11,17,18,13,1,14,13,3,"('hero', 'hero')",0.00171191,-0.203796814,0.5172413793103449,1
615,0.6875,3,34,39,1,7,40,31,3,"('leader', 'leader')",0.21858604407135354,0.7519954795455732,0.3125,1
625,0.8181818181818182,21,14,24,3,12,42,6,4,"('chicken', 'chicken')",0.082077922,-0.089524764,0.8181818181818182,1
626,0.37209302325581395,6,5,13,3,23,26,21,14,"('chicken', 'chicken')",0.16832779623477298,0.3281372959393934,0.627906977,1
631,0.8235294117647058,7,12,14,1,3,17,5,2,"('leader', 'leader')",0.076374156,-0.101907181,0.8235294117647058,1
643,0.6808510638297872,8,1,7,3,21,12,2,3,"('staghunt', 'staghunt')",0.029128672745693997,-0.201152655,0.6808510638297872,1
665,0.7380952380952381,34,6,12,16,12,4,1,7,"('assurance', 'assurance')",0.082670203,-0.04880445,0.7380952380952381,1
671,0.8928571428571429,31,1,3,7,31,9,6,27,"('assurance', 'assurance')",0.088128131,-0.230424769,0.8928571428571429,1
672,0.6346153846153846,33,11,26,24,32,13,1,3,"('staghunt', 'staghunt')",0.029207861104412855,-0.345754854,0.6346153846153846,1
678,0.8918918918918919,19,14,6,15,45,2,7,9,"('safecoord', 'safecoord')",0.064760413,-0.241774745,0.8918918918918919,1
705,0.6829268292682927,19,1,13,6,29,21,3,12,"('staghunt', 'staghunt')",0.072855,-0.047819351,0.6829268292682927,1
706,0.5111111111111111,42,5,31,26,25,10,8,9,"('staghunt', 'staghunt')",0.092398935,0.041225484,0.5111111111111111,1
733,0.8205128205128205,19,16,23,4,5,31,2,1,"('chicken', 'chicken')",0.09514983,-0.014832572,0.8205128205128205,1
737,0.6764705882352942,11,10,14,2,26,38,14,13,"('chicken', 'chicken')",0.060352581,-0.262459585,0.6764705882352942,1
738,0.4827586206896552,5,7,14,3,9,32,21,8,"('leader', 'leader')",0.17990200610150683,0.6778595530735723,0.5172413793103449,1
746,0.7837837837837838,26,29,34,2,12,40,18,3,"('leader', 'leader')",0.091269599,-0.025188666,0.7837837837837838,1
747,0.5,48,1,25,38,36,13,1,20,"('assurance', 'assurance')",0.11111111111111112,0.3175620765761444,0.5,1
758,0.7666666666666667,17,2,3,13,24,11,4,18,"('assurance', 'assurance')",0.050886525,-0.217486849,0.7666666666666667,1
760,0.4444444444444444,1,21,29,14,3,39,19,15,"('hero', 'hero')",0.099170208,0.028731907301648665,0.4444444444444444,1
814,0.32432432432432434,1,4,6,3,2,32,22,16,"('hero', 'hero')",0.022336385972749617,-0.234755873,0.32432432432432434,1
836,0.2926829268292683,2,21,29,7,14,35,24,17,"('hero', 'hero')",0.005210972,-0.440818839,0.7073170731707317,1
838,0.7428571428571429,16,31,36,1,8,22,19,3,"('leader', 'leader')",0.078195489,0.20717084260466684,0.2571428571428571,1
840,0.9047619047619048,38,3,2,6,28,4,6,14,"('safecoord', 'safecoord')",0.08984105,-0.229919506,0.9047619047619048,1
889,0.46875,29,19,44,12,22,25,21,11,"('chicken', 'chicken')",0.12369791666666667,0.0859009,0.53125,1
895,0.8823529411764706,37,7,1,13,6,1,2,4,"('safecoord', 'safecoord')",0.10968784976992911,-0.036191531,0.8823529411764706,1
898,0.8055555555555556,21,22,32,6,8,14,10,3,"('leader', 'leader')",0.001068376,-0.490636104,0.8055555555555556,1
904,0.6,9,24,28,14,1,27,6,4,"('hero', 'hero')",0.13258426966292136,0.3063042695206827,0.6,1
932,0.28888888888888886,9,14,40,11,5,13,10,6,"('hero', 'hero')",0.1366000832292967,0.16341256363427215,0.7111111111111111,1
950,0.8780487804878049,22,4,1,21,39,5,7,19,"('safecoord', 'safecoord')",0.066766589,-0.152152245,0.8780487804878049,1
