game_code,p_id,game_id,lk_type,emp_class,frac_choose_A,entropy_binary,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB
Nag_003,3,3,DD,A1,0.935698448,0.3442889299548013,3,4,1,2,2,4,1,3
Nag_021,21,21,DD,A1,0.862527716,0.5775804764237561,3,4,1,2,3,1,4,2
Nag_027,27,27,DD,A1,0.904656319,0.4540591807912715,3,4,2,1,1,4,2,3
Nag_036,36,36,DD,A1,0.898004435,0.4752896539497325,4,3,1,2,2,3,1,4
Nag_043,43,43,DD,A1,0.849223947,0.6117789750864802,2,4,1,3,3,4,1,2
Nag_057,57,57,DD,B1,0.678492239,0.9060135618612148,4,2,3,1,1,2,3,4
Nag_060,60,60,CO1,A1,0.849223947,0.6117789750864802,2,4,3,1,1,4,3,2
Nag_062,62,62,CO2,B4,0.818181818,0.6840384360335735,2,4,3,1,2,3,4,1
Nag_069,69,69,CO1,B2,0.474501109,0.9981231242413766,1,4,2,3,3,4,2,1
Nag_074,74,74,CO2,A2,0.310421286,0.8936591622819141,4,1,3,2,2,1,3,4
Nag_076,76,76,CO1,B2,0.454545455,0.9940302115965176,1,4,3,2,2,4,3,1
Nag_077,77,77,CO2,A3,0.388026608,0.9635142341096804,4,1,2,3,3,1,2,4
