bruns_name,canonical_id
AsAs,1
AsBa,2
AsCh,3
AsCm,4
AsCo,5
AsDl,6
AsHa,7
AsHr,8
AsNc,9
AsPc,10
AsPd,11
AsSh,12
BaAs,13
BaBa,14
BaCh,15
BaCm,16
BaCo,17
BaDl,18
BaHa,19
BaHr,20
BaNc,21
BaPc,22
BaPd,23
BaSh,24
ChAs,25
ChBa,26
ChCh,27
ChCm,28
ChCo,29
ChDl,30
ChHa,31
ChHr,32
ChNc,33
ChPc,34
ChPd,35
ChSh,36
CmAs,37
CmBa,38
CmCh,39
CmCm,40
CmCo,41
CmDl,42
CmHa,43
CmHr,44
CmNc,45
CmPc,46
CmPd,47
CmSh,48
CoAs,49
CoBa,50
CoCh,51
CoCm,52
CoCo,53
CoDl,54
CoHa,55
CoHr,56
CoNc,57
CoPc,58
CoPd,59
CoSh,60
DlAs,61
DlBa,62
DlCh,63
DlCm,64
DlCo,65
DlDl,66
DlHa,67
DlHr,68
DlNc,69
DlPc,70
DlPd,71
DlSh,72
HaAs,73
HaBa,74
HaCh,75
HaCm,76
HaCo,77
HaDl,78
HaHa,79
HaHr,80
HaNc,81
HaPc,82
HaPd,83
HaSh,84
HrAs,85
HrBa,86
HrCh,87
HrCm,88
HrCo,89
HrDl,90
HrHa,91
HrHr,92
HrNc,93
HrPc,94
HrPd,95
HrSh,96
NcAs,97
NcBa,98
NcCh,99
NcCm,100
NcCo,101
NcDl,102
NcHa,103
NcHr,104
NcNc,105
NcPc,106
NcPd,107
NcSh,108
PcAs,109
PcBa,110
PcCh,111
PcCm,112
PcCo,113
PcDl,114
PcHa,115
PcHr,116
PcNc,117
PcPc,118
PcPd,119
PcSh,120
PdAs,121
PdBa,122
PdCh,123
PdCm,124
PdCo,125
PdDl,126
PdHa,127
PdHr,128
PdNc,129
PdPc,130
PdPd,131
PdSh,132
ShAs,133
ShBa,134
ShCh,135
ShCm,136
ShCo,137
ShDl,138
ShHa,139
ShHr,140
ShNc,141
ShPc,142
ShPd,143
ShSh,144
