canonical_id,bruns_name,canonical_p1,canonical_p2,canonical_8vec,nash_count,dominance_level,is_symmetric,bruns_long_name
1,AsAs,"1,4,3,2","2,4,3,1","1,4,3,2,2,4,3,1",2,0,True,Assurace
2,AsBa,"1,4,3,2","4,2,1,3","1,4,3,2,4,2,1,3",0,0,False,TragicCycle
3,AsCh,"1,4,3,2","4,3,1,2","1,4,3,2,4,3,1,2",0,0,False,InferiorCycle
4,AsCm,"1,4,3,2","4,1,3,2","1,4,3,2,4,1,3,2",1,2,False,2ndBest
5,AsCo,"1,4,3,2","1,4,3,2","1,4,3,2,1,4,3,2",2,0,False,
6,AsDl,"1,4,3,2","4,2,3,1","1,4,3,2,4,2,3,1",1,2,False,AssuranceLock
7,AsHa,"1,4,3,2","2,4,1,3","1,4,3,2,2,4,1,3",1,2,False,
8,AsHr,"1,4,3,2","4,1,2,3","1,4,3,2,4,1,2,3",0,0,False,ZeroSumCycle
9,AsNc,"1,4,3,2","3,4,1,2","1,4,3,2,3,4,1,2",1,2,False,
10,AsPc,"1,4,3,2","1,4,2,3","1,4,3,2,1,4,2,3",1,2,False,
11,AsPd,"1,4,3,2","4,3,2,1","1,4,3,2,4,3,2,1",1,2,False,Alibi
12,AsSh,"1,4,3,2","3,4,2,1","1,4,3,2,3,4,2,1",2,0,False,AsymAssurance
13,BaAs,"3,2,1,4","2,4,3,1","3,2,1,4,2,4,3,1",0,0,False,
14,BaBa,"3,2,1,4","4,2,1,3","3,2,1,4,4,2,1,3",2,0,True,Battle
15,BaCh,"3,2,1,4","4,3,1,2","3,2,1,4,4,3,1,2",2,0,False,Battle-Chicken
16,BaCm,"3,2,1,4","4,1,3,2","3,2,1,4,4,1,3,2",1,2,False,
17,BaCo,"3,2,1,4","1,4,3,2","3,2,1,4,1,4,3,2",0,0,False,
18,BaDl,"3,2,1,4","4,2,3,1","3,2,1,4,4,2,3,1",1,2,False,
19,BaHa,"3,2,1,4","2,4,1,3","3,2,1,4,2,4,1,3",1,2,False,
20,BaHr,"3,2,1,4","4,1,2,3","3,2,1,4,4,1,2,3",2,0,False,
