game_id,unique_id_rowplayer,topology_raw,cardinal_p1_rowplayer,cardinal_p2_rowplayer,ordinal_p1_rowplayer,ordinal_p2_rowplayer,up_choice_rowplayer,up_choice_canonical_rowplayer,canonical_id_rowplayer,swap_sr_rowplayer,swap_sc_rowplayer,unique_id_colplayer,up_choice_colplayer,up_choice_canonical_colplayer,canonical_id_colplayer,swap_sr_colplayer,swap_sc_colplayer,bruns_name_rowplayer_side,nash_count,dominance_level,is_symmetric,bruns_name_colplayer_side,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_lk_type,nagel_emp_class,nagel_rgg_class,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary
1,1,"('dilemma', 'hero')","21,10,24,17","2,19,6,4","3,1,4,2","1,4,3,2",0.3023255813953488,0.3023255813953488,128.0,False,True,2,0.2682926829268293,0.2682926829268293,95.0,False,True,PdHr,1,1,False,HrPd,49,122,P49,OD2,A2,O2,0.924611973,0.075388027,0.3857
3,5,"('deadlock', 'deadlock')","12,2,35,34","15,36,12,29","2,1,4,3","2,4,1,3",0.1351351351351351,0.1351351351351351,66.0,False,True,6,0.093023256,0.093023256,66.0,False,True,DlDl,1,1,True,DlDl,21,21,P21,DD,A1,D2,0.862527716,0.137472284,0.5776
6,11,"('compromise', 'compromise')","3,5,33,8","15,39,16,28","1,2,4,3","1,4,2,3",0.2424242424242424,0.2424242424242424,40.0,False,True,12,0.2195121951219512,0.2195121951219512,40.0,False,True,CmCm,1,1,True,CmCm,36,36,P36,DD,A1,D2,0.898004435,0.1019955649999999,0.4753
11,21,"('hero', 'concord')","1,9,22,6","27,14,11,10","1,3,4,2","4,3,2,1",0.1515151515151515,0.1515151515151515,93.0,False,True,22,0.84,0.84,104.0,False,True,HrNc,1,2,False,NcHr,127,54,P127,OD1,B1,O1,0.707317073,0.292682927,0.8722
12,23,"('peace', 'peace')","31,17,1,13","37,1,26,2","4,3,1,2","4,1,3,2",0.8918918918918919,0.8918918918918919,118.0,False,True,24,0.902439024390244,0.902439024390244,118.0,False,True,PcPc,1,1,True,PcPc,27,27,P27,DD,A1,D1,0.904656319,0.904656319,0.4541
13,25,"('harmony', 'compromise')","32,18,13,3","3,16,5,6","4,3,2,1","1,4,2,3",0.9433962264150944,0.9433962264150944,76.0,False,True,26,0.1463414634146341,0.1463414634146341,43.0,False,True,HaCm,1,1,False,CmHa,19,96,P19,DD,A1,D3,0.900221729,0.900221729,0.4683
15,29,"('peace', 'hero')","18,14,2,8","5,31,9,6","4,3,1,2","1,4,3,2",0.9302325581395348,0.9302325581395348,116.0,False,True,30,0.0625,0.0625,94.0,False,True,PcHr,1,1,False,HrPc,39,113,P39,OD1,A1,O1,0.884700665,0.884700665,0.5157
17,33,"('harmony', 'peace')","44,17,7,3","11,1,10,3","4,3,2,1","4,1,3,2",0.9111111111111112,0.9111111111111112,82.0,False,True,34,0.951219512195122,0.951219512195122,115.0,False,True,HaPc,1,1,False,PcHa,5,82,P5,DD,A1,D1,0.904656319,0.904656319,0.4541
18,35,"('dilemma', 'peace')","3,1,4,2","14,6,8,7","3,1,4,2","4,1,3,2",0.3714285714285714,0.3714285714285714,130.0,False,True,36,0.9047619047619048,0.9047619047619048,119.0,False,True,PdPc,1,1,False,PcPd,105,30,P105,DD,A1,D3,0.855875831,0.144124169,0.5949
19,37,"('deadlock', 'safecoord')","5,3,26,23","27,5,7,9","2,1,4,3","4,1,2,3",0.1578947368421052,0.1578947368421052,65.0,False,True,38,0.6551724137931034,0.6551724137931034,54.0,False,True,DlCo,1,1,False,CoDl,14,91,P14,OD2,A2,O3,0.924611973,0.075388027,0.3857
23,45,"('safecoord', 'peace')","17,7,1,12","41,5,25,9","4,2,1,3","4,1,3,2",0.8275862068965517,0.8275862068965517,58.0,False,True,46,0.8620689655172413,0.8620689655172413,113.0,False,True,CoPc,1,2,False,PcCo,103,28,P103,OD1,A1,O4,0.838137472,0.838137472,0.6387
25,49,"('safecoord', 'concord')","18,7,3,9","38,20,14,2","4,2,1,3","4,3,2,1",0.9142857142857144,0.9142857142857144,57.0,False,True,50,0.9032258064516128,0.9032258064516128,101.0,False,True,CoNc,1,2,False,NcCo,119,46,P119,OD1,A1,O4,0.858093126,0.858093126,0.5892
30,59,"('peace', 'concord')","24,23,4,11","18,14,7,1","4,3,1,2","4,3,2,1",0.9473684210526316,0.9473684210526316,117.0,False,True,60,0.9183673469387756,0.9183673469387756,106.0,False,True,PcNc,1,1,False,NcPc,24,100,P24,DD,A1,D1,0.935698448,0.935698448,0.3443
38,75,"('concord', 'deadlock')","24,4,21,1","20,33,2,29","4,2,3,1","2,4,1,3",0.9230769230769232,0.9230769230769232,102.0,False,True,76,0.3513513513513513,0.3513513513513513,69.0,False,True,NcDl,1,1,False,DlNc,93,16,P93,DD,A1,D3,0.88691796,0.88691796,0.5091
40,79,"('compromise', 'safecoord')","2,13,42,22","40,7,24,28","1,2,4,3","4,1,2,3",0.032258065,0.032258065,41.0,False,True,80,0.7567567567567568,0.7567567567567568,52.0,False,True,CmCo,1,1,False,CoCm,35,110,P35,OD2,A2,O3,0.926829268,0.073170732,0.3776
41,81,"('concord', 'compromise')","19,5,6,3","4,23,15,18","4,2,3,1","1,4,2,3",0.6842105263157895,0.6842105263157895,100.0,False,True,82,0.3421052631578947,0.3421052631578947,45.0,False,True,NcCm,1,1,False,CmNc,111,37,P111,DD,A1,D3,0.840354767,0.840354767,0.6335
42,83,"('compromise', 'hero')","2,3,16,11","8,20,18,10","1,2,4,3","1,4,3,2",0.071428571,0.071428571,44.0,False,True,84,0.5,0.5,88.0,False,True,CmHr,1,1,False,HrCm,32,107,P32,OD2,A2,O2,0.935698448,0.0643015519999999,0.3443
43,85,"('hero', 'hero')","3,13,39,8","1,29,24,8","1,3,4,2","1,4,3,2",0.1666666666666666,0.1666666666666666,92.0,False,True,86,0.5,0.5,92.0,False,True,HrHr,2,0,True,HrHr,62,62,P62,CO2,B4,E,0.818181818,0.181818182,0.684
45,89,"('dilemma', 'deadlock')","18,2,47,5","4,9,3,6","3,1,4,2","2,4,1,3",0.2424242424242424,0.2424242424242424,126.0,False,True,90,0.4,0.4,71.0,False,True,PdDl,1,1,False,DlPd,99,23,P99,DD,A1,D2,0.815964523,0.184035477,0.6888
50,99,"('harmony', 'deadlock')","11,9,2,1","10,31,4,11","4,3,2,1","2,4,1,3",0.8863636363636364,0.8863636363636364,78.0,False,True,100,0.2142857142857142,0.2142857142857142,67.0,False,True,HaDl,1,1,False,DlHa,88,11,P88,DD,A1,D3,0.929046563,0.929046563,0.3695
52,103,"('deadlock', 'peace')","15,1,37,18","12,2,7,6","2,1,4,3","4,1,3,2",0.2272727272727272,0.2272727272727272,70.0,False,True,104,0.8717948717948718,0.8717948717948718,114.0,False,True,DlPc,1,1,False,PcDl,9,86,P9,DD,A1,D3,0.880266075,0.119733925,0.5286
55,109,"('concord', 'safecoord')","34,13,16,12","11,1,4,7","4,2,3,1","4,1,2,3",0.8478260869565217,0.8478260869565217,101.0,False,True,110,0.8918918918918919,0.8918918918918919,57.0,False,True,NcCo,1,1,False,CoNc,46,119,P46,OD1,A1,O4,0.909090909,0.909090909,0.4395
64,127,"('peace', 'concord')","16,8,1,7","33,27,4,2","4,3,1,2","4,3,2,1",0.90625,0.90625,117.0,False,True,128,0.8,0.8,106.0,False,True,PcNc,1,1,False,NcPc,24,100,P24,DD,A1,D1,0.935698448,0.935698448,0.3443
65,129,"('safecoord', 'dilemma')","32,21,11,23","12,17,1,3","4,2,1,3","3,4,1,2",0.8888888888888888,0.8888888888888888,59.0,False,True,130,0.2909090909090909,0.2909090909090909,125.0,False,True,CoPd,1,2,False,PdCo,125,52,P125,OD2,A2,O3,0.742793792,0.742793792,0.8225
72,143,"('compromise', 'safecoord')","1,2,12,8","19,2,5,10","1,2,4,3","4,1,2,3",0.066666667,0.066666667,41.0,False,True,144,0.7,0.7,52.0,False,True,CmCo,1,1,False,CoCm,35,110,P35,OD2,A2,O3,0.926829268,0.073170732,0.3776
77,153,"('dilemma', 'peace')","11,3,37,8","30,18,26,19","3,1,4,2","4,1,3,2",0.1785714285714285,0.1785714285714285,130.0,False,True,154,0.902439024390244,0.902439024390244,119.0,False,True,PdPc,1,1,False,PcPd,105,30,P105,DD,A1,D3,0.855875831,0.144124169,0.5949
78,155,"('concord', 'deadlock')","35,21,23,1","7,25,4,8","4,2,3,1","2,4,1,3",0.813953488,0.813953488,102.0,False,True,156,0.1428571428571428,0.1428571428571428,69.0,False,True,NcDl,1,1,False,DlNc,93,16,P93,DD,A1,D3,0.88691796,0.88691796,0.5091
82,163,"('dilemma', 'harmony')","18,11,26,17","9,4,7,2","3,1,4,2","4,2,3,1",0.1515151515151515,0.1515151515151515,127.0,False,True,164,0.9210526315789472,0.9210526315789472,83.0,False,True,PdHa,1,1,False,HaPd,85,8,P85,DD,A1,D3,0.822616408,0.1773835919999999,0.6743
85,169,"('compromise', 'dilemma')","10,15,35,33","26,38,5,21","1,2,4,3","3,4,1,2",0.25,0.25,47.0,False,True,170,0.052631579,0.052631579,124.0,False,True,CmPd,1,1,False,PdCm,42,116,P42,DD,A1,D2,0.840354767,0.159645233,0.6335
92,183,"('safecoord', 'safecoord')","30,21,1,22","38,2,10,11","4,2,1,3","4,1,2,3",0.8888888888888888,0.8888888888888888,53.0,False,True,184,1.0,1.0,53.0,False,True,CoCo,2,0,True,CoCo,60,60,P60,CO1,A1,C,0.849223947,0.849223947,0.6118
93,185,"('deadlock', 'deadlock')","5,1,9,8","6,25,2,10","2,1,4,3","2,4,1,3",0.2040816326530612,0.2040816326530612,66.0,False,True,186,0.073170732,0.073170732,66.0,False,True,DlDl,1,1,True,DlDl,21,21,P21,DD,A1,D2,0.862527716,0.137472284,0.5776
94,187,"('dilemma', 'safecoord')","18,1,46,2","14,3,8,9","3,1,4,2","4,1,2,3",0.1891891891891892,0.1891891891891892,125.0,False,True,188,0.78,0.78,59.0,False,True,PdCo,1,1,False,CoPd,52,125,P52,OD2,A2,O3,0.776053215,0.2239467849999999,0.7673
95,189,"('harmony', 'dilemma')","22,8,5,2","21,27,2,10","4,3,2,1","3,4,1,2",0.8823529411764706,0.8823529411764706,83.0,False,True,190,0.3947368421052631,0.3947368421052631,127.0,False,True,HaPd,1,1,False,PdHa,8,85,P8,DD,A1,D3,0.920177384,0.920177384,0.4016
98,195,"('peace', 'concord')","28,11,4,6","33,15,5,1","4,3,1,2","4,3,2,1",0.868421053,0.868421053,117.0,False,True,196,0.8888888888888888,0.8888888888888888,106.0,False,True,PcNc,1,1,False,NcPc,24,100,P24,DD,A1,D1,0.935698448,0.935698448,0.3443
101,201,"('dilemma', 'hero')","15,1,23,13","2,29,11,4","3,1,4,2","1,4,3,2",0.1724137931034483,0.1724137931034483,128.0,False,True,202,0.4736842105263157,0.4736842105263157,95.0,False,True,PdHr,1,1,False,HrPd,49,122,P49,OD2,A2,O2,0.924611973,0.075388027,0.3857
104,207,"('deadlock', 'hero')","10,5,14,12","1,18,12,7","2,1,4,3","1,4,3,2",0.065217391,0.065217391,68.0,False,True,208,0.4,0.4,90.0,False,True,DlHr,1,1,False,HrDl,10,87,P10,OD2,A2,O2,0.909090909,0.090909091,0.4395
105,209,"('compromise', 'hero')","3,4,37,7","1,30,13,7","1,2,4,3","1,4,3,2",0.1707317073170731,0.1707317073170731,44.0,False,True,210,0.4324324324324324,0.4324324324324324,88.0,False,True,CmHr,1,1,False,HrCm,32,107,P32,OD2,A2,O2,0.935698448,0.0643015519999999,0.3443
111,221,"('dilemma', 'compromise')","5,1,14,3","7,20,14,15","3,1,4,2","1,4,2,3",0.078947368,0.078947368,124.0,False,True,222,0.3684210526315789,0.3684210526315789,47.0,False,True,PdCm,1,1,False,CmPd,116,42,P116,DD,A1,D2,0.880266075,0.119733925,0.5286
112,223,"('concord', 'peace')","17,11,13,3","19,1,18,7","4,2,3,1","4,1,3,2",0.9310344827586208,0.9310344827586208,106.0,False,True,224,0.8604651162790697,0.8604651162790697,117.0,False,True,NcPc,1,1,False,PcNc,100,24,P100,DD,A1,D1,0.88691796,0.88691796,0.5091
114,227,"('dilemma', 'safecoord')","7,1,13,4","24,4,18,23","3,1,4,2","4,1,2,3",0.076923077,0.076923077,125.0,False,True,228,0.7619047619047619,0.7619047619047619,59.0,False,True,PdCo,1,1,False,CoPd,52,125,P52,OD2,A2,O3,0.776053215,0.2239467849999999,0.7673
116,231,"('deadlock', 'safecoord')","2,1,12,8","40,3,7,11","2,1,4,3","4,1,2,3",0.1162790697674418,0.1162790697674418,65.0,False,True,232,0.7586206896551724,0.7586206896551724,54.0,False,True,DlCo,1,1,False,CoDl,14,91,P14,OD2,A2,O3,0.924611973,0.075388027,0.3857
117,233,"('compromise', 'dilemma')","3,4,30,9","12,26,2,6","1,2,4,3","3,4,1,2",0.125,0.125,47.0,False,True,234,0.1521739130434782,0.1521739130434782,124.0,False,True,CmPd,1,1,False,PdCm,42,116,P42,DD,A1,D2,0.840354767,0.159645233,0.6335
123,245,"('compromise', 'hero')","1,16,32,19","1,25,13,2","1,2,4,3","1,4,3,2",0.3111111111111111,0.3111111111111111,44.0,False,True,246,0.5,0.5,88.0,False,True,CmHr,1,1,False,HrCm,32,107,P32,OD2,A2,O2,0.935698448,0.0643015519999999,0.3443
124,247,"('harmony', 'dilemma')","19,18,2,1","13,27,1,5","4,3,2,1","3,4,1,2",0.9069767441860463,0.9069767441860463,83.0,False,True,248,0.085714286,0.085714286,127.0,False,True,HaPd,1,1,False,PdHa,8,85,P8,DD,A1,D3,0.920177384,0.920177384,0.4016
132,263,"('safecoord', 'peace')","18,7,1,10","30,1,13,6","4,2,1,3","4,1,3,2",0.8095238095238095,0.8095238095238095,58.0,False,True,264,0.926829268,0.926829268,113.0,False,True,CoPc,1,2,False,PcCo,103,28,P103,OD1,A1,O4,0.838137472,0.838137472,0.6387
134,267,"('compromise', 'hero')","1,9,33,17","1,18,11,2","1,2,4,3","1,4,3,2",0.125,0.125,44.0,False,True,268,0.5208333333333334,0.5208333333333334,88.0,False,True,CmHr,1,1,False,HrCm,32,107,P32,OD2,A2,O2,0.935698448,0.0643015519999999,0.3443
137,273,"('harmony', 'peace')","33,11,8,1","32,1,10,2","4,3,2,1","4,1,3,2",0.9444444444444444,0.9444444444444444,82.0,False,True,274,0.9333333333333332,0.9333333333333332,115.0,False,True,HaPc,1,1,False,PcHa,5,82,P5,DD,A1,D1,0.904656319,0.904656319,0.4541
138,275,"('dilemma', 'concord')","10,4,12,9","28,18,15,1","3,1,4,2","4,3,2,1",0.3260869565217391,0.3260869565217391,129.0,False,True,276,0.9166666666666666,0.9166666666666666,107.0,False,True,PdNc,1,1,False,NcPd,121,48,P121,DD,A1,D3,0.747228381,0.252771619,0.8156
