canonical_id,bruns_name,bruns_long_name,canonical_p1,canonical_p2,canonical_8vec,nash_count,dominance_level,is_symmetric,canon_l1_p1,canon_l1_p2,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_matrix_code,nagel_lk_type,nagel_lk_type_description,nagel_emp_class,nagel_emp_class_description,nagel_rgg_class,nagel_rgg_class_description,nagel_swap_sr,nagel_swap_sc,nagel_role_relative_to_canonical,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary,nagel_entropy_4outcome,nagel_utility_efficiency,nagel_quality_level,nagel_n_pure_NE,nagel_p1_has_dominant,nagel_p2_has_dominant,clean_grif_n_games,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids
1,AsAs,Assurace,"1,4,3,2","2,4,3,1","1,4,3,2,2,4,3,1",2,0,True,-1,-1,76,76,P76,14322431,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B2,"Breakaway: 3 CO1 games (Stag Hunt-like); one NE is Lk(α), other is NES; frequencies near 50-50",C,Coordination: no dominant strategies; two pure NE; coordination problem (9 perspectives),False,False,P1,0.454545455,0.454545455,0.994,1.9881,0.4545,0.4545,2,False,False,0,,,,,
2,AsBa,TragicCycle,"1,4,3,2","4,2,1,3","1,4,3,2,4,2,1,3",0,0,False,-1,-1,78,144,P78,14324213,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),False,False,P1,0.356984479,0.356984479,0.9402,1.7759,0.357,0.2661,0,False,False,0,,,,,
3,AsCh,InferiorCycle,"1,4,3,2","4,3,1,2","1,4,3,2,4,3,1,2",0,0,False,-1,-1,143,75,P143,14324312,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),False,False,P1,0.390243902,0.390243902,0.965,1.7628,0.3902,0.2417,0,False,False,0,,,,,
4,AsCm,2ndBest,"1,4,3,2","4,1,3,2","1,4,3,2,4,1,3,2",1,2,False,-1,0,114,40,P114,14324132,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,False,False,P1,0.195121951,0.195121951,0.7121,1.1661,0.1951,0.9047,1,False,True,0,,,,,
5,AsCo,,"1,4,3,2","1,4,3,2","1,4,3,2,1,4,3,2",2,0,False,-1,1,131,59,P131,14321432,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",C,Coordination: no dominant strategies; two pure NE; coordination problem (9 perspectives),False,False,P1,0.487804878,0.487804878,0.9996,1.5532,0.4878,0.8714,2,False,False,0,,,,,
6,AsDl,AssuranceLock,"1,4,3,2","4,2,3,1","1,4,3,2,4,2,3,1",1,2,False,-1,0,97,20,P97,14324231,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,False,False,P1,0.310421286,0.310421286,0.8937,1.4411,0.3104,0.8736,1,False,True,0,,,,,
7,AsHa,,"1,4,3,2","2,4,1,3","1,4,3,2,2,4,1,3",1,2,False,-1,1,81,4,P81,14322413,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.549889135,0.549889135,0.9928,1.3197,0.5499,0.9401,1,False,True,0,,,,,
8,AsHr,ZeroSumCycle,"1,4,3,2","4,1,2,3","1,4,3,2,4,1,2,3",0,0,False,-1,0,137,67,P137,14324123,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),False,False,P1,0.257206208,0.257206208,0.8225,1.5777,0.2572,0.7827,0,False,False,0,,,,,
9,AsNc,,"1,4,3,2","3,4,1,2","1,4,3,2,3,4,1,2",1,2,False,-1,1,118,45,P118,14323412,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.494456763,0.494456763,0.9999,1.3936,0.4945,0.9224,1,False,True,0,,,,,
10,AsPc,,"1,4,3,2","1,4,2,3","1,4,3,2,1,4,2,3",1,2,False,-1,1,102,26,P102,14321423,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O4,One-sided dominance: one player has a dominant strategy (class 4 of 4); 18 perspectives,False,False,P1,0.505543237,0.505543237,0.9999,1.4394,0.5055,0.9091,1,False,True,0,,,,,
