game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap
1,1,79,False,81,103,HaNc,NcHa,,PureHarmony,"3,4,1,2","3,4,1,2","2,4,1,3","2,4,1,3",1,1,0,1,P1,P79,DD,DD,A1,A1,D1,D1,0.942350333,0.917960089,0.942350333,0.917960089,0.318,0.4093,4,0.9039521881627145,0.8821405044231131,0.0817960139521841,0.06863289984794166,395;200;246;519,0.05251152412762283
2,2,80,False,84,139,HaSh,ShHa,Harmony-Hunt,,"3,4,1,2","3,4,2,1","1,4,2,3","2,4,1,3",1,1,0,-1,P2,P80,OD2,OD2,A2,A2,O4,O4,0.929046563,0.532150776,0.929046563,0.532150776,0.3695,0.997,0,,,,,,
3,3,3,True,79,79,HaHa,HaHa,Harmony,Harmony,"3,4,1,2","2,4,1,3","3,4,1,2","2,4,1,3",1,1,0,1,P3,P3,DD,DD,A1,A1,D1,D1,0.935698448,0.935698448,0.935698448,0.935698448,0.3443,0.3443,2,0.932967032967033,0.9301552106430155,0.013986727539953558,0.02978942093690554,192;324,0.006179652779743093
4,4,81,False,73,7,HaAs,AsHa,Harmony-Assurance,,"3,4,1,2","2,4,3,1","1,4,3,2","2,4,1,3",1,1,0,-1,P4,P81,OD2,OD2,A2,A2,O4,O4,0.940133038,0.549889135,0.940133038,0.549889135,0.3269,0.9928,0,,,,,,
5,5,82,False,82,115,HaPc,PcHa,AsymHarmony,,"3,4,1,2","1,4,2,3","3,4,2,1","2,4,1,3",1,1,0,1,P5,P82,DD,DD,A1,A1,D1,D1,0.904656319,0.933481153,0.904656319,0.933481153,0.4541,0.3528,3,0.9148148148148149,0.9244805781391147,0.02796234976026204,0.032094471585188265,17;137;236,0.013572228448048337
6,6,83,False,77,55,HaCo,CoHa,Harmony-Coordination,,"3,4,1,2","1,4,3,2","2,4,3,1","2,4,1,3",1,1,0,1,P6,P83,OD1,OD1,A1,A1,O4,O4,0.920177384,0.871396896,0.920177384,0.871396896,0.4016,0.5536,10,0.939976376895906,0.918591483931074,0.038276807614246386,0.042396035048923655,283;523;789;909;968;343;697;755;772;783,0.051179383052905286
7,7,84,False,75,31,HaCh,ChHa,Samaritan'sD,,"3,4,1,2","4,3,1,2","2,3,1,4","2,4,1,3",1,1,0,-1,P7,P84,OD2,OD2,A2,A2,O1,O1,0.853658537,0.383592018,0.853658537,0.616407982,0.6006,0.9605,0,,,,,,
8,8,85,False,83,127,HaPd,PdHa,AltruistType,,"3,4,1,2","4,3,2,1","1,3,2,4","2,4,1,3",1,1,0,0,P8,P85,DD,DD,A1,A1,D3,D3,0.920177384,0.822616408,0.920177384,0.1773835919999999,0.4016,0.6743,5,0.9243105059414845,0.23353611306694005,0.034574512783398105,0.11995627016493965,95;124;82;231;308,0.056304425395845556
9,9,86,False,70,114,DlPc,PcDl,,Peace-Lock,"1,2,3,4","1,4,2,3","3,4,2,1","4,2,3,1",1,1,1,1,P9,P86,DD,DD,A1,A1,D3,D3,0.880266075,0.940133038,0.119733925,0.940133038,0.5286,0.3269,5,0.11942035434410263,0.9026072048948691,0.07732359478423408,0.07791810183277649,52;190;223;267;322,0.03752714320049395
10,10,87,False,68,90,DlHr,HrDl,Deadlock-Hero,,"1,2,3,4","4,1,2,3","3,1,2,4","4,2,3,1",1,1,1,0,P10,P87,OD2,OD2,A2,A2,O2,O2,0.909090909,0.594235033,0.090909091,0.405764967,0.4395,0.9742,12,0.09142312453283576,0.3980414277053066,0.050000561145340607,0.10323508398326268,104;222;314;422;522;605;148;220;327;496;622;692,0.007740625924920566
