unique_id,game_id,role,topology_raw,up_choice,has_ties,cardinal_p1,cardinal_p2,ordinal_p1,ordinal_p2,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,up_choice_canonical
1,1,rowplayer,"('dilemma', 'hero')",0.3023255813953488,False,"21,10,24,17","2,19,6,4","3,1,4,2","1,4,3,2",128.0,False,True,P1,0.3023255813953488
2,1,colplayer,"('hero', 'dilemma')",0.2682926829268293,False,"2,6,19,4","21,24,10,17","1,3,4,2","3,4,1,2",95.0,False,True,P1,0.2682926829268293
3,2,rowplayer,"('compromise', 'chicken')",0.1818181818181818,False,"1,8,40,21","6,14,2,1","1,2,4,3","3,4,2,1",39.0,False,True,P1,0.1818181818181818
4,2,colplayer,"('chicken', 'compromise')",0.5217391304347826,False,"6,2,14,1","1,40,8,21","3,2,4,1","1,4,2,3",28.0,False,True,P1,0.5217391304347826
5,3,rowplayer,"('deadlock', 'deadlock')",0.1351351351351351,False,"12,2,35,34","15,36,12,29","2,1,4,3","2,4,1,3",66.0,False,True,P1,0.1351351351351351
6,3,colplayer,"('deadlock', 'deadlock')",0.093023256,False,"15,12,36,29","12,35,2,34","2,1,4,3","2,4,1,3",66.0,False,True,P1,0.093023256
7,4,rowplayer,"('leader', 'dilemma')",0.725,False,"9,24,38,2","10,23,1,2","2,3,4,1","3,4,1,2",23.0,False,True,P1,0.725
8,4,colplayer,"('dilemma', 'leader')",0.14,False,"10,1,23,2","9,38,24,2","3,1,4,2","2,4,3,1",122.0,False,True,P1,0.14
9,5,rowplayer,"('deadlock', 'chicken')",0.063829787,False,"6,1,13,7","17,21,16,3","2,1,4,3","3,4,2,1",63.0,False,True,P1,0.063829787
10,5,colplayer,"('chicken', 'deadlock')",0.8947368421052632,False,"17,16,21,3","6,13,1,7","3,2,4,1","2,4,1,3",30.0,False,True,P1,0.8947368421052632
11,6,rowplayer,"('compromise', 'compromise')",0.2424242424242424,False,"3,5,33,8","15,39,16,28","1,2,4,3","1,4,2,3",40.0,False,True,P1,0.2424242424242424
12,6,colplayer,"('compromise', 'compromise')",0.2195121951219512,False,"15,16,39,28","3,33,5,8","1,2,4,3","1,4,2,3",40.0,False,True,P1,0.2195121951219512
13,7,rowplayer,"('leader', 'harmony')",0.5526315789473685,False,"16,17,21,12","14,4,11,3","2,3,4,1","4,2,3,1",19.0,False,True,P1,0.5526315789473685
14,7,colplayer,"('harmony', 'leader')",0.935483870967742,False,"14,11,4,3","16,21,17,12","4,3,2,1","2,4,3,1",74.0,False,True,P1,0.935483870967742
15,8,rowplayer,"('deadlock', 'leader')",0.1282051282051282,True,"7,1,40,20","5,27,19,5",,,,,,,
16,8,colplayer,"('leader', 'deadlock')",0.631578947,True,"5,19,27,5","7,40,1,20",,,,,,,
17,9,rowplayer,"('staghunt', 'compromise')",0.6595744680851063,True,"41,2,11,5","1,31,1,27",,,,,,,
18,9,colplayer,"('compromise', 'staghunt')",0.1111111111111111,True,"1,1,31,27","41,11,2,5",,,,,,,
19,10,rowplayer,"('leader', 'dilemma')",0.8571428571428571,True,"11,31,31,4","12,23,6,10",,,,,,,
20,10,colplayer,"('dilemma', 'leader')",0.1,True,"12,6,23,10","11,31,31,4",,,,,,,
21,11,rowplayer,"('hero', 'concord')",0.1515151515151515,False,"1,9,22,6","27,14,11,10","1,3,4,2","4,3,2,1",93.0,False,True,P1,0.1515151515151515
22,11,colplayer,"('concord', 'hero')",0.84,False,"27,11,14,10","1,22,9,6","4,2,3,1","1,4,3,2",104.0,False,True,P1,0.84
23,12,rowplayer,"('peace', 'peace')",0.8918918918918919,False,"31,17,1,13","37,1,26,2","4,3,1,2","4,1,3,2",118.0,False,True,P1,0.8918918918918919
