game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap,game_code_x,canonical_action_p1_x,complexity_score_x,num_pure_ne_x,iesds_depth_x,dominance_profile_x,nagel_pcanon_x,nagel_pcanon_y,grif_rank_clean,payoff_scale_llm,payoff_scale_mgn,payoff_scale_griffiths
1,1,79,False,81,103,HaNc,NcHa,,PureHarmony,"3,4,1,2","3,4,1,2","2,4,1,3","2,4,1,3",1,1,0,1,P1,P79,DD,DD,A1,A1,D1,D1,0.942350333,0.917960089,0.942350333,0.917960089,0.318,0.4093,4,0.9039521881627144,0.8821405044231131,0.0817960139521841,0.0686328998479416,395;200;246;519,0.0525115241276228,HaNc,0,-0.7698003589195012,1,1,0,0.942350333,0.917960089,True,rank_1to4_pm1,rank_1to4,cardinal
2,2,80,False,84,139,HaSh,ShHa,Harmony-Hunt,,"3,4,1,2","3,4,2,1","1,4,2,3","2,4,1,3",1,1,0,-1,P2,P80,OD2,OD2,A2,A2,O4,O4,0.929046563,0.532150776,0.929046563,0.532150776,0.3695,0.997,0,,,,,,,HaSh,0,-0.6543303050815759,1,1,1,0.929046563,0.532150776,False,rank_1to4_pm1,rank_1to4,cardinal
3,3,3,True,79,79,HaHa,HaHa,Harmony,Harmony,"3,4,1,2","2,4,1,3","3,4,1,2","2,4,1,3",1,1,0,1,P3,P3,DD,DD,A1,A1,D1,D1,0.935698448,0.935698448,0.935698448,0.935698448,0.3443,0.3443,2,0.932967032967033,0.9301552106430157,0.0139867275399535,0.0297894209369055,192;324,0.006179652779743,HaHa,0,-0.6543303050815759,1,1,0,0.935698448,0.935698448,True,rank_1to4_pm1,rank_1to4,cardinal
4,4,81,False,73,7,HaAs,AsHa,Harmony-Assurance,,"3,4,1,2","2,4,3,1","1,4,3,2","2,4,1,3",1,1,0,-1,P4,P81,OD2,OD2,A2,A2,O4,O4,0.940133038,0.549889135,0.940133038,0.549889135,0.3269,0.9928,0,,,,,,,HaAs,0,-0.4233901974057255,1,1,1,0.940133038,0.549889135,False,rank_1to4_pm1,rank_1to4,cardinal
5,5,82,False,82,115,HaPc,PcHa,AsymHarmony,,"3,4,1,2","1,4,2,3","3,4,2,1","2,4,1,3",1,1,0,1,P5,P82,DD,DD,A1,A1,D1,D1,0.904656319,0.933481153,0.904656319,0.933481153,0.4541,0.3528,3,0.9148148148148147,0.9244805781391148,0.027962349760262,0.0320944715851882,17;137;236,0.0135722284480483,HaPc,0,-0.4233901974057255,1,1,0,0.904656319,0.933481153,True,rank_1to4_pm1,rank_1to4,cardinal
6,6,83,False,77,55,HaCo,CoHa,Harmony-Coordination,,"3,4,1,2","1,4,3,2","2,4,3,1","2,4,1,3",1,1,0,1,P6,P83,OD1,OD1,A1,A1,O4,O4,0.920177384,0.871396896,0.920177384,0.871396896,0.4016,0.5536,10,0.939976376895906,0.918591483931074,0.0382768076142463,0.0423960350489236,283;523;789;909;968;343;697;755;772;783,0.0511793830529052,HaCo,0,-0.3079201435678004,1,1,1,0.920177384,0.871396896,True,rank_1to4_pm1,rank_1to4,cardinal
7,7,84,False,75,31,HaCh,ChHa,Samaritan'sD,,"3,4,1,2","4,3,1,2","2,3,1,4","2,4,1,3",1,1,0,-1,P7,P84,OD2,OD2,A2,A2,O1,O1,0.853658537,0.383592018,0.853658537,0.616407982,0.6006,0.9605,0,,,,,,,HaCh,0,-0.6543303050815759,1,1,1,0.853658537,0.383592018,False,rank_1to4_pm1,rank_1to4,cardinal
8,8,85,False,83,127,HaPd,PdHa,AltruistType,,"3,4,1,2","4,3,2,1","1,3,2,4","2,4,1,3",1,1,0,0,P8,P85,DD,DD,A1,A1,D3,D3,0.920177384,0.822616408,0.920177384,0.1773835919999999,0.4016,0.6743,5,0.9243105059414845,0.23353611306694,0.0345745127833981,0.1199562701649396,95;124;82;231;308,0.0563044253958455,HaPd,0,-0.5388602512436508,1,1,0,0.920177384,0.8226164080000001,True,rank_1to4_pm1,rank_1to4,cardinal
9,9,86,False,70,114,DlPc,PcDl,,Peace-Lock,"1,2,3,4","1,4,2,3","3,4,2,1","4,2,3,1",1,1,1,1,P9,P86,DD,DD,A1,A1,D3,D3,0.880266075,0.940133038,0.119733925,0.940133038,0.5286,0.3269,5,0.1194203543441026,0.9026072048948692,0.077323594784234,0.0779181018327764,52;190;223;267;322,0.0375271432004939,DlPc,1,-0.4233901974057255,1,1,0,0.880266075,0.940133038,True,rank_1to4_pm1,rank_1to4,cardinal
10,10,87,False,68,90,DlHr,HrDl,Deadlock-Hero,,"1,2,3,4","4,1,2,3","3,1,2,4","4,2,3,1",1,1,1,0,P10,P87,OD2,OD2,A2,A2,O2,O2,0.909090909,0.594235033,0.090909091,0.405764967,0.4395,0.9742,12,0.0914231245328357,0.3980414277053066,0.0500005611453406,0.1032350839832626,104;222;314;422;522;605;148;220;327;496;622;692,0.0077406259249205,DlHr,1,-0.0769800358919501,1,1,1,0.909090909,0.405764967,True,rank_1to4_pm1,rank_1to4,cardinal
