p_id,p_paired,is_symmetric,lk_type,emp_class,frac_choose_A,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,frac_choose_act0_canonical
1,79,False,DD,A1,0.942350333,81,False,True,P1,0.942350333
2,80,False,OD2,A2,0.929046563,84,False,False,P1,0.929046563
3,3,True,DD,A1,0.935698448,79,False,False,P1,0.935698448
4,81,False,OD2,A2,0.940133038,73,False,False,P1,0.940133038
5,82,False,DD,A1,0.904656319,82,False,False,P1,0.904656319
6,83,False,OD1,A1,0.920177384,77,False,False,P1,0.920177384
7,84,False,OD2,A2,0.853658537,75,False,False,P1,0.853658537
8,85,False,DD,A1,0.920177384,83,False,False,P1,0.920177384
9,86,False,DD,A1,0.880266075,70,True,False,P1,0.11973392500000002
10,87,False,OD2,A2,0.909090909,68,True,False,P1,0.090909091
11,88,False,DD,A1,0.917960089,67,True,False,P1,0.08203991099999997
12,89,False,OD1,A1,0.88248337,62,True,False,P1,0.11751663000000001
13,90,False,OD2,A2,0.909090909,74,False,False,P1,0.909090909
14,91,False,OD2,A2,0.924611973,65,True,False,P1,0.07538802700000002
15,92,False,DD,A1,0.937915743,64,True,False,P1,0.062084256999999976
16,93,False,DD,A1,0.840354767,69,True,False,P1,0.159645233
17,94,False,OD1,A1,0.849223947,63,True,False,P1,0.15077605299999997
18,95,False,OD1,A1,0.902439024,80,False,False,P1,0.902439024
19,96,False,DD,A1,0.900221729,76,False,False,P1,0.900221729
20,97,False,OD1,A1,0.873614191,61,True,False,P1,0.12638580899999996
21,21,True,DD,A1,0.862527716,66,True,False,P1,0.137472284
22,98,False,OD1,A1,0.840354767,72,True,False,P1,0.159645233
23,99,False,DD,A1,0.858093126,71,True,False,P1,0.14190687400000002
24,100,False,DD,A1,0.935698448,117,False,False,P1,0.935698448
25,101,False,OD2,A2,0.922394678,120,False,False,P1,0.922394678
26,102,False,OD2,A2,0.909090909,109,False,False,P1,0.909090909
27,27,True,DD,A1,0.904656319,118,False,False,P1,0.904656319
28,103,False,OD1,A1,0.902439024,113,False,False,P1,0.902439024
29,104,False,OD2,A2,0.911308204,111,False,True,P1,0.911308204
30,105,False,DD,A1,0.875831486,119,False,True,P1,0.875831486
31,106,False,DD,A1,0.911308204,46,True,False,P1,0.08869179599999999
32,107,False,OD2,A2,0.935698448,44,True,False,P1,0.06430155199999998
33,108,False,OD1,A1,0.889135255,38,True,False,P1,0.11086474499999999
34,109,False,OD2,A2,0.915742794,110,False,True,P1,0.915742794
35,110,False,OD2,A2,0.926829268,41,True,True,P1,0.07317073200000002
36,36,True,DD,A1,0.898004435,40,True,True,P1,0.10199556499999995
37,111,False,DD,A1,0.853658537,45,True,False,P1,0.14634146299999995
38,112,False,OD1,A1,0.813747228,39,True,False,P1,0.186252772
39,113,False,OD1,A1,0.884700665,116,False,True,P1,0.884700665
40,114,False,OD1,A1,0.904656319,37,True,True,P1,0.09534368100000001
41,115,False,OD1,A1,0.824833703,48,True,True,P1,0.17516629699999997
42,116,False,DD,A1,0.840354767,47,True,True,P1,0.159645233
43,43,True,DD,A1,0.849223947,105,False,False,P1,0.849223947
44,117,False,OD2,A2,0.889135255,108,False,False,P1,0.889135255
45,118,False,OD2,A2,0.922394678,97,False,False,P1,0.922394678
46,119,False,OD1,A1,0.909090909,101,False,False,P1,0.909090909
47,120,False,OD2,A2,0.793791574,99,False,False,P1,0.793791574
48,121,False,DD,A1,0.88248337,107,False,False,P1,0.88248337
49,122,False,OD2,A2,0.924611973,128,True,False,P1,0.07538802700000002
50,123,False,OD1,A1,0.842572062,122,True,False,P1,0.157427938
