model,cue,cluster,round,n,gain
qwen,level1,Coordination,1,11,0.1515151515151515
qwen,level1,Dominance-solvable,1,56,1.982541115402065e-18
qwen,level1,No pure NE,1,9,0.2962962962962963
qwen,level1,Coordination,10,11,0.1515151515151515
qwen,level1,Dominance-solvable,10,56,-0.0238095238095238
qwen,level1,No pure NE,10,9,0.0
qwen,level2,Coordination,1,2,-0.6666666666666667
qwen,level2,Dominance-solvable,1,32,-0.0520833333333333
qwen,level2,No pure NE,1,1,0.6666666666666667
qwen,level2,Coordination,10,2,-0.6666666666666667
qwen,level2,Dominance-solvable,10,32,-0.125
qwen,level2,No pure NE,10,1,0.6666666666666667
qwen,maximin,Coordination,1,11,0.1212121212121212
qwen,maximin,Dominance-solvable,1,56,0.0119047619047619
qwen,maximin,No pure NE,1,9,0.3333333333333333
qwen,maximin,Coordination,10,11,0.1515151515151515
qwen,maximin,Dominance-solvable,10,56,-0.0059523809523809
qwen,maximin,No pure NE,10,9,0.0
qwen,selfish_maximizer,Coordination,1,6,0.1666666666666666
qwen,selfish_maximizer,Dominance-solvable,1,56,0.0238095238095238
qwen,selfish_maximizer,No pure NE,1,5,0.4666666666666667
qwen,selfish_maximizer,Coordination,10,6,0.2222222222222222
qwen,selfish_maximizer,Dominance-solvable,10,56,0.0238095238095238
qwen,selfish_maximizer,No pure NE,10,5,0.3333333333333333
qwen,inequity_aversion,Coordination,1,2,0.1666666666666667
qwen,inequity_aversion,Dominance-solvable,1,23,0.3043478260869565
qwen,inequity_aversion,No pure NE,1,5,0.4666666666666667
qwen,inequity_aversion,Coordination,10,2,-0.3333333333333333
qwen,inequity_aversion,Dominance-solvable,10,23,0.2318840579710144
qwen,inequity_aversion,No pure NE,10,5,0.0
qwen,risk_aversion,Coordination,1,11,0.0606060606060606
qwen,risk_aversion,Dominance-solvable,1,56,-0.0773809523809524
qwen,risk_aversion,No pure NE,1,9,0.3703703703703704
qwen,risk_aversion,Coordination,10,11,0.0909090909090909
qwen,risk_aversion,Dominance-solvable,10,56,-0.0773809523809524
qwen,risk_aversion,No pure NE,10,9,0.1111111111111111
qwen,loss_aversion,Coordination,1,11,0.0909090909090909
qwen,loss_aversion,Dominance-solvable,1,56,-0.1488095238095238
qwen,loss_aversion,No pure NE,1,9,0.2962962962962963
qwen,loss_aversion,Coordination,10,11,0.0909090909090909
qwen,loss_aversion,Dominance-solvable,10,56,-0.119047619047619
qwen,loss_aversion,No pure NE,10,9,0.037037037037037
qwen_instruct,level1,Coordination,1,11,-0.0303030303030303
qwen_instruct,level1,Dominance-solvable,1,56,-0.0654761904761904
qwen_instruct,level1,No pure NE,1,9,-0.037037037037037
qwen_instruct,level1,Coordination,10,11,-0.1818181818181818
qwen_instruct,level1,Dominance-solvable,10,56,-0.0476190476190476
qwen_instruct,level1,No pure NE,10,9,0.1111111111111111
qwen_instruct,level2,Coordination,1,2,-0.3333333333333333
qwen_instruct,level2,Dominance-solvable,1,32,-0.0833333333333333
qwen_instruct,level2,No pure NE,1,1,0.0
qwen_instruct,level2,Coordination,10,2,0.0
qwen_instruct,level2,Dominance-solvable,10,32,-0.2291666666666666
qwen_instruct,level2,No pure NE,10,1,0.0
qwen_instruct,maximin,Coordination,1,11,-0.0606060606060606
qwen_instruct,maximin,Dominance-solvable,1,56,-0.0238095238095238
qwen_instruct,maximin,No pure NE,1,9,0.037037037037037
qwen_instruct,maximin,Coordination,10,11,-0.0606060606060606
qwen_instruct,maximin,Dominance-solvable,10,56,-0.0119047619047619
qwen_instruct,maximin,No pure NE,10,9,0.2962962962962963
qwen_instruct,selfish_maximizer,Coordination,1,6,-0.3333333333333333
qwen_instruct,selfish_maximizer,Dominance-solvable,1,56,-0.4166666666666667
qwen_instruct,selfish_maximizer,No pure NE,1,5,-0.1333333333333334
qwen_instruct,selfish_maximizer,Coordination,10,6,-0.3333333333333333
qwen_instruct,selfish_maximizer,Dominance-solvable,10,56,-0.375
qwen_instruct,selfish_maximizer,No pure NE,10,5,-1.1102230246251566e-17
qwen_instruct,inequity_aversion,Coordination,1,2,0.3333333333333333
qwen_instruct,inequity_aversion,Dominance-solvable,1,23,0.2608695652173912
qwen_instruct,inequity_aversion,No pure NE,1,5,0.0
qwen_instruct,inequity_aversion,Coordination,10,2,0.0
qwen_instruct,inequity_aversion,Dominance-solvable,10,23,0.1594202898550724
qwen_instruct,inequity_aversion,No pure NE,10,5,-0.0666666666666666
qwen_instruct,risk_aversion,Coordination,1,11,-0.0909090909090909
qwen_instruct,risk_aversion,Dominance-solvable,1,56,-0.1428571428571428
qwen_instruct,risk_aversion,No pure NE,1,9,0.037037037037037
qwen_instruct,risk_aversion,Coordination,10,11,-0.0909090909090909
qwen_instruct,risk_aversion,Dominance-solvable,10,56,-0.1309523809523809
qwen_instruct,risk_aversion,No pure NE,10,9,0.1851851851851851
qwen_instruct,loss_aversion,Coordination,1,11,-0.0303030303030303
qwen_instruct,loss_aversion,Dominance-solvable,1,56,-0.1488095238095238
qwen_instruct,loss_aversion,No pure NE,1,9,0.0
qwen_instruct,loss_aversion,Coordination,10,11,-0.0909090909090909
qwen_instruct,loss_aversion,Dominance-solvable,10,56,-0.1309523809523809
qwen_instruct,loss_aversion,No pure NE,10,9,0.1481481481481481
llama31_instruct,level1,Coordination,1,11,0.030303030303030307
llama31_instruct,level1,Dominance-solvable,1,56,-0.011904761904761906
llama31_instruct,level1,No pure NE,1,9,-0.037037037037037035
llama31_instruct,level1,Coordination,10,11,1.0092936587501423e-17
llama31_instruct,level1,Dominance-solvable,10,56,-0.05357142857142857
llama31_instruct,level1,No pure NE,10,9,-0.1111111111111111
llama31_instruct,level2,Coordination,1,2,0.0
llama31_instruct,level2,Dominance-solvable,1,32,-6.938893903907228e-18
llama31_instruct,level2,No pure NE,1,1,0.3333333333333333
llama31_instruct,level2,Coordination,10,2,-0.3333333333333333
llama31_instruct,level2,Dominance-solvable,10,32,0.05208333333333333
llama31_instruct,level2,No pure NE,10,1,0.0
llama31_instruct,maximin,Coordination,1,11,0.060606060606060615
llama31_instruct,maximin,Dominance-solvable,1,56,0.005952380952380957
llama31_instruct,maximin,No pure NE,1,9,-0.07407407407407407
llama31_instruct,maximin,Coordination,10,11,0.03030303030303032
llama31_instruct,maximin,Dominance-solvable,10,56,0.06547619047619048
llama31_instruct,maximin,No pure NE,10,9,-0.18518518518518517
llama31_instruct,selfish_maximizer,Coordination,1,6,0.05555555555555555
llama31_instruct,selfish_maximizer,Dominance-solvable,1,56,0.0119047619047619
llama31_instruct,selfish_maximizer,No pure NE,1,5,0.0
llama31_instruct,selfish_maximizer,Coordination,10,6,0.0
llama31_instruct,selfish_maximizer,Dominance-solvable,10,56,-0.005952380952380954
llama31_instruct,selfish_maximizer,No pure NE,10,5,0.06666666666666667
llama31_instruct,inequity_aversion,Coordination,1,2,0.0
llama31_instruct,inequity_aversion,Dominance-solvable,1,23,-0.05797101449275361
llama31_instruct,inequity_aversion,No pure NE,1,5,0.0
llama31_instruct,inequity_aversion,Coordination,10,2,-0.3333333333333333
llama31_instruct,inequity_aversion,Dominance-solvable,10,23,0.02898550724637681
llama31_instruct,inequity_aversion,No pure NE,10,5,-0.06666666666666667
llama31_instruct,risk_aversion,Coordination,1,11,-0.0606060606060606
llama31_instruct,risk_aversion,Dominance-solvable,1,56,-1.982541115402065e-18
llama31_instruct,risk_aversion,No pure NE,1,9,0.25925925925925924
llama31_instruct,risk_aversion,Coordination,10,11,-0.0303030303030303
llama31_instruct,risk_aversion,Dominance-solvable,10,56,0.02380952380952381
llama31_instruct,risk_aversion,No pure NE,10,9,0.03703703703703704
llama31_instruct,loss_aversion,Coordination,1,11,0.03030303030303033
llama31_instruct,loss_aversion,Dominance-solvable,1,56,-0.01190476190476189
llama31_instruct,loss_aversion,No pure NE,1,9,-0.037037037037037035
llama31_instruct,loss_aversion,Coordination,10,11,1.5139404881252134e-17
llama31_instruct,loss_aversion,Dominance-solvable,10,56,0.059523809523809555
llama31_instruct,loss_aversion,No pure NE,10,9,-0.14814814814814814
gptoss,level1,Coordination,1,11,-0.09090909090909091
gptoss,level1,Dominance-solvable,1,56,0.023809523809523805
gptoss,level1,No pure NE,1,9,0.0
gptoss,level1,Coordination,10,11,-0.09090909090909091
gptoss,level1,Dominance-solvable,10,56,-0.04761904761904762
gptoss,level1,No pure NE,10,9,-0.14814814814814817
gptoss,level2,Coordination,1,2,0.0
gptoss,level2,Dominance-solvable,1,32,-0.04166666666666667
gptoss,level2,No pure NE,1,1,0.0
gptoss,level2,Coordination,10,2,0.0
gptoss,level2,Dominance-solvable,10,32,-0.0625
gptoss,level2,No pure NE,10,1,0.3333333333333333
gptoss,maximin,Coordination,1,11,0.030303030303030318
gptoss,maximin,Dominance-solvable,1,56,0.17261904761904762
gptoss,maximin,No pure NE,1,9,0.14814814814814814
gptoss,maximin,Coordination,10,11,-0.060606060606060615
gptoss,maximin,Dominance-solvable,10,56,-0.09523809523809523
gptoss,maximin,No pure NE,10,9,-0.1851851851851852
gptoss,selfish_maximizer,Coordination,1,6,-0.1111111111111111
gptoss,selfish_maximizer,Dominance-solvable,1,56,0.005952380952380951
gptoss,selfish_maximizer,No pure NE,1,5,-0.13333333333333333
gptoss,selfish_maximizer,Coordination,10,6,-0.05555555555555555
gptoss,selfish_maximizer,Dominance-solvable,10,56,-0.04761904761904761
gptoss,selfish_maximizer,No pure NE,10,5,-0.1333333333333334
gptoss,inequity_aversion,Coordination,1,2,0.0
gptoss,inequity_aversion,Dominance-solvable,1,23,-4.827056628805028e-18
gptoss,inequity_aversion,No pure NE,1,5,0.06666666666666667
gptoss,inequity_aversion,Coordination,10,2,0.0
gptoss,inequity_aversion,Dominance-solvable,10,23,0.07246376811594203
gptoss,inequity_aversion,No pure NE,10,5,-0.06666666666666668
