model,cue,round,n,comply
qwen,level1,1,76,0.057017543859649134
qwen,level1,10,76,0.004385964912280699
qwen,level2,1,35,-0.06666666666666665
qwen,level2,10,35,-0.13333333333333333
qwen,maximin,1,76,0.06578947368421052
qwen,maximin,10,76,0.0175438596491228
qwen,selfish_maximizer,1,56,0.02380952380952381
qwen,selfish_maximizer,10,56,0.02380952380952381
qwen,inequity_aversion,1,36,0.2592592592592593
qwen,inequity_aversion,10,36,0.15740740740740736
qwen,risk_aversion,1,76,-0.004385964912280698
qwen,risk_aversion,10,76,-0.030701754385964907
qwen,loss_aversion,1,76,-0.06140350877192983
qwen,loss_aversion,10,76,-0.07017543859649125
qwen_instruct,level1,1,76,-0.057017543859649134
qwen_instruct,level1,10,76,-0.048245614035087724
qwen_instruct,level2,1,35,-0.09523809523809525
qwen_instruct,level2,10,35,-0.20952380952380953
qwen_instruct,maximin,1,76,-0.02192982456140351
qwen_instruct,maximin,10,76,0.017543859649122813
qwen_instruct,selfish_maximizer,1,56,-0.4166666666666667
qwen_instruct,selfish_maximizer,10,56,-0.37500000000000006
qwen_instruct,inequity_aversion,1,36,0.16666666666666666
qwen_instruct,inequity_aversion,10,36,0.09259259259259257
qwen_instruct,risk_aversion,1,76,-0.11403508771929824
qwen_instruct,risk_aversion,10,76,-0.08771929824561404
qwen_instruct,loss_aversion,1,76,-0.11403508771929827
qwen_instruct,loss_aversion,10,76,-0.09210526315789475
