model,cue,round,n,dir
qwen,level1,1,76,0.0570175438596491
qwen,level1,10,76,0.0043859649122806
qwen,level2,1,35,-0.0666666666666666
qwen,level2,10,35,-0.1333333333333333
qwen,maximin,1,76,0.0657894736842105
qwen,maximin,10,76,0.0175438596491228
qwen,selfish_maximizer,1,67,0.0696517412935323
qwen,selfish_maximizer,10,67,0.0646766169154228
qwen,inequity_aversion,1,30,0.3222222222222222
qwen,inequity_aversion,10,30,0.1555555555555555
qwen,risk_aversion,1,76,-0.0043859649122806
qwen,risk_aversion,10,76,-0.0307017543859649
qwen,loss_aversion,1,76,-0.0614035087719298
qwen,loss_aversion,10,76,-0.0701754385964912
qwen_instruct,level1,1,76,-0.0570175438596491
qwen_instruct,level1,10,76,-0.0482456140350877
qwen_instruct,level2,1,35,-0.0952380952380952
qwen_instruct,level2,10,35,-0.2095238095238095
qwen_instruct,maximin,1,76,-0.0219298245614035
qwen_instruct,maximin,10,76,0.0175438596491228
qwen_instruct,selfish_maximizer,1,67,-0.3880597014925374
qwen_instruct,selfish_maximizer,10,67,-0.3432835820895522
qwen_instruct,inequity_aversion,1,30,0.2222222222222222
qwen_instruct,inequity_aversion,10,30,0.1111111111111111
qwen_instruct,risk_aversion,1,76,-0.1140350877192982
qwen_instruct,risk_aversion,10,76,-0.087719298245614
qwen_instruct,loss_aversion,1,76,-0.1140350877192982
qwen_instruct,loss_aversion,10,76,-0.0921052631578947
llama31_instruct,level1,1,76,-0.008771929824561403
llama31_instruct,level1,10,76,-0.05263157894736842
llama31_instruct,level2,1,35,0.009523809523809518
llama31_instruct,level2,10,35,0.02857142857142857
llama31_instruct,maximin,1,76,0.004385964912280704
llama31_instruct,maximin,10,76,0.03070175438596492
llama31_instruct,selfish_maximizer,1,67,0.014925373134328351
llama31_instruct,selfish_maximizer,10,67,-1.6570492904853082e-18
llama31_instruct,inequity_aversion,1,30,-0.044444444444444446
llama31_instruct,inequity_aversion,10,30,-0.011111111111111112
llama31_instruct,risk_aversion,1,76,0.0219298245614035
llama31_instruct,risk_aversion,10,76,0.017543859649122803
llama31_instruct,loss_aversion,1,76,-0.00877192982456139
llama31_instruct,loss_aversion,10,76,0.026315789473684233
gptoss,level1,1,76,0.004385964912280699
gptoss,level1,10,76,-0.06578947368421052
gptoss,level2,1,35,-0.0380952380952381
gptoss,level2,10,35,-0.04761904761904762
gptoss,maximin,1,76,0.14912280701754385
gptoss,maximin,10,76,-0.10087719298245612
gptoss,selfish_maximizer,1,67,-0.014925373134328358
gptoss,selfish_maximizer,10,67,-0.05472636815920398
gptoss,inequity_aversion,1,30,0.011111111111111106
gptoss,inequity_aversion,10,30,0.04444444444444443
gptoss,risk_aversion,1,76,0.0087719298245614
gptoss,risk_aversion,10,76,-0.057017543859649134
gptoss,loss_aversion,1,76,-2.1912296538654404e-18
gptoss,loss_aversion,10,76,-0.08333333333333333
