model,round,cue,n,mean_shift,median_shift,frac_positive,base,cuelevel,real_shift
gptoss,1,inequity,30,0.0010804113297831384,0.0011624740642136588,0.5666666666666667,0.5181096399482855,0.5191900512780686,0.0
gptoss,1,level1,67,0.0190532210246806,0.0004914458582387926,0.5223880597014925,0.49088973507979355,0.5099429561044742,-2.4855739357279623e-18
gptoss,1,level2,35,-0.00636566544173809,-0.0032725405600532165,0.45714285714285713,0.5342048450840291,0.5278391796422909,-0.028571428571428564
gptoss,1,loss,76,0.0022196463648588988,0.0023947707647682392,0.5394736842105263,0.5042565355488094,0.5064761819136683,-0.0043859649122807015
gptoss,1,maximin,76,0.3073242644765578,0.2838689607638292,0.9210526315789473,0.5042565355488094,0.8115808000253673,0.14473684210526316
gptoss,1,risk,76,0.028190921863630446,0.009533079074928508,0.5789473684210527,0.5042565355488094,0.5324474574124398,0.004385964912280702
gptoss,1,selfish,67,-0.00016464435553877903,0.00819890562832093,0.5223880597014925,0.49088973507979355,0.4907250907242548,-0.019900497512437818
gptoss,10,inequity,30,-0.0033251532165650957,0.0007795624061848194,0.5,0.5142605681857492,0.510935414969184,0.022222222222222233
gptoss,10,level1,67,0.013277984688197967,-0.000951819764774986,0.4925373134328358,0.4852930212325776,0.4985710059207755,0.024875621890547265
gptoss,10,level2,35,0.023654368554257475,0.008521188276606084,0.6,0.5345825322782035,0.5582369008324609,0.019047619047619056
gptoss,10,loss,76,0.002032026175753093,0.005479045154768825,0.5394736842105263,0.49935741565601965,0.5013894418317728,0.004385964912280703
gptoss,10,maximin,76,0.004833207730191125,0.005578530412920224,0.5394736842105263,0.49935741565601965,0.5041906233862108,-0.013157894736842105
gptoss,10,risk,76,0.02380731389356913,0.007544646007692779,0.6052631578947368,0.49935741565601965,0.5231647295495888,0.030701754385964914
gptoss,10,selfish,67,0.0019795494240610317,0.004620812383801909,0.5373134328358209,0.4852930212325776,0.4872725706566386,0.029850746268656716
llama31_instruct,1,inequity,30,0.016065274145184383,0.030427367683933504,0.6,0.45622129915467274,0.4722865732998571,0.03333333333333333
llama31_instruct,1,level1,67,-0.0034720492137083367,0.000907182035827625,0.5373134328358209,0.4974531479462527,0.49398109873254437,0.0049751243781094535
llama31_instruct,1,level2,35,-0.009778296099657484,-0.00721878871084447,0.45714285714285713,0.5088001723528919,0.49902187625323435,-0.009523809523809525
llama31_instruct,1,loss,76,-0.0022633951045370805,-0.01945786007117284,0.47368421052631576,0.49337006070504463,0.4911066656005075,-0.004385964912280702
llama31_instruct,1,maximin,76,-0.0015857348787585376,-0.0038672701641733753,0.47368421052631576,0.49337006070504463,0.49178432582628606,0.008771929824561405
llama31_instruct,1,risk,76,-0.004630479742792772,-0.01424940813520037,0.47368421052631576,0.49337006070504463,0.48873958096225184,0.02631578947368421
llama31_instruct,1,selfish,67,-0.007218189971591599,-0.005528452168523934,0.4626865671641791,0.4974531479462527,0.49023495797466116,0.029850746268656716
llama31_instruct,10,inequity,30,0.028390727179141324,0.048606743784626594,0.6,0.4666435464899335,0.4950342736690748,0.07777777777777778
llama31_instruct,10,level1,67,-0.00641652036403737,-0.00811313525318258,0.417910447761194,0.4915077040961631,0.4850911837321258,-0.04477611940298507
