game,nagel_lk_type,level1,selfish,level2,maximin,risk,loss,inequity
AsAs,CO1,,,,1.0,1.0,1.0,
AsBa,MP,,,,1.0,1.0,1.0,1.0
BaBa,CO2,,,,0.0,0.0,0.0,
ChAs,MP,,,,0.0,0.0,0.0,0.0
ChBa,CO2,,,,0.0,0.0,0.0,1.0
CmAs,OD1,1.0,1.0,,1.0,1.0,1.0,
CmBa,OD1,1.0,1.0,,1.0,1.0,1.0,
CmCh,OD1,1.0,1.0,,1.0,1.0,1.0,
CmCm,DD,1.0,1.0,1.0,1.0,1.0,1.0,
CmCo,OD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CmHr,OD2,1.0,1.0,1.0,1.0,1.0,1.0,
CmNc,DD,1.0,1.0,1.0,1.0,1.0,1.0,
CmPc,DD,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CmPd,DD,1.0,1.0,1.0,1.0,1.0,1.0,
CmSh,OD1,1.0,1.0,,1.0,1.0,1.0,
CoAs,CO2,0.0,0.0,,0.0,0.0,0.0,
CoBa,MP,0.0,0.0,,0.0,0.0,0.0,
CoCh,MP,0.0,0.0,,0.0,0.0,0.0,
CoCo,CO1,0.0,0.0,0.0,0.0,0.0,0.0,
CoSh,CO2,0.0,0.0,,0.0,0.0,0.0,
DlAs,OD1,1.0,1.0,,1.0,1.0,1.0,
DlBa,OD1,1.0,1.0,,1.0,1.0,1.0,
DlCh,OD1,1.0,1.0,,1.0,1.0,1.0,
DlCm,DD,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DlCo,OD2,1.0,1.0,1.0,1.0,1.0,1.0,
DlDl,DD,1.0,1.0,1.0,1.0,1.0,1.0,
DlHa,DD,1.0,1.0,1.0,1.0,1.0,1.0,
DlHr,OD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DlNc,DD,1.0,1.0,1.0,1.0,1.0,1.0,
DlPc,DD,1.0,1.0,1.0,1.0,1.0,1.0,
DlPd,DD,1.0,1.0,1.0,1.0,1.0,1.0,
DlSh,OD1,1.0,1.0,,1.0,1.0,1.0,
HaAs,OD2,0.0,0.0,,0.0,0.0,0.0,0.0
HaBa,OD2,0.0,0.0,,0.0,0.0,0.0,1.0
HaCh,OD2,0.0,0.0,,0.0,0.0,0.0,1.0
HaCm,DD,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HaCo,OD1,0.0,0.0,0.0,0.0,0.0,0.0,
HaHa,DD,0.0,0.0,0.0,0.0,0.0,0.0,
HaHr,OD1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HaNc,DD,0.0,0.0,0.0,0.0,0.0,0.0,
HaPc,DD,0.0,0.0,0.0,0.0,0.0,0.0,
HaPd,DD,0.0,0.0,0.0,0.0,0.0,0.0,
HaSh,OD2,0.0,0.0,,0.0,0.0,0.0,0.0
HrAs,MP,1.0,1.0,,1.0,1.0,1.0,
HrBa,CO1,1.0,1.0,,1.0,1.0,1.0,
HrCh,CO1,1.0,1.0,,1.0,1.0,1.0,
HrCo,MP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HrHr,CO2,1.0,1.0,0.0,1.0,1.0,1.0,
HrSh,MP,1.0,1.0,,1.0,1.0,1.0,
NcAs,OD2,0.0,0.0,,0.0,0.0,0.0,0.0
NcBa,OD2,0.0,0.0,,0.0,0.0,0.0,1.0
NcCh,OD2,0.0,0.0,,0.0,0.0,0.0,1.0
NcCo,OD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NcHr,OD1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NcNc,DD,0.0,0.0,0.0,0.0,0.0,0.0,
NcPd,DD,0.0,0.0,0.0,0.0,0.0,0.0,
NcSh,OD2,0.0,0.0,,0.0,0.0,0.0,0.0
PcAs,OD2,0.0,0.0,,0.0,0.0,0.0,
PcBa,OD2,0.0,0.0,,0.0,0.0,0.0,
PcCh,OD2,0.0,0.0,,0.0,0.0,0.0,
PcCo,OD1,0.0,0.0,0.0,0.0,0.0,0.0,
PcHr,OD1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PcNc,DD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PcPc,DD,0.0,0.0,0.0,0.0,0.0,0.0,
PcPd,DD,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PcSh,OD2,0.0,0.0,,0.0,0.0,0.0,
PdAs,OD1,1.0,1.0,,1.0,1.0,1.0,0.0
PdBa,OD1,1.0,1.0,,1.0,1.0,1.0,1.0
PdCh,OD1,1.0,1.0,,1.0,1.0,1.0,
PdCo,OD2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
PdHr,OD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PdSh,OD1,1.0,1.0,,1.0,1.0,1.0,
ShAs,CO1,,,,1.0,1.0,1.0,0.0
ShBa,MP,,,,1.0,1.0,1.0,1.0
ShCh,MP,,,,1.0,1.0,1.0,1.0
ShSh,CO1,,,,1.0,1.0,1.0,
