model,trait,round,n,mean_shift,frac_toward
qwen,level1,1,76,0.132,0.329
qwen,level1,10,76,0.061,0.316
qwen,level2,1,35,-0.019,0.2
qwen,level2,10,35,-0.095,0.2
qwen,maximin,1,76,0.14,0.316
qwen,maximin,10,76,0.075,0.276
qwen,selfish,1,67,0.129,0.284
qwen,selfish,10,67,0.114,0.284
qwen,inequity,1,30,0.3,0.533
qwen,inequity,10,30,0.211,0.467
qwen,risk,1,76,0.07,0.276
qwen,risk,10,76,0.026,0.263
qwen,loss,1,76,0.013,0.25
qwen,loss,10,76,-0.013,0.25
qwen_instruct,level1,1,76,-0.039,0.066
qwen_instruct,level1,10,76,-0.018,0.092
qwen_instruct,level2,1,35,-0.067,0.029
qwen_instruct,level2,10,35,-0.162,0.057
qwen_instruct,maximin,1,76,-0.004,0.079
qwen_instruct,maximin,10,76,0.048,0.145
qwen_instruct,selfish,1,67,-0.373,0.075
qwen_instruct,selfish,10,67,-0.313,0.134
qwen_instruct,inequity,1,30,0.211,0.3
qwen_instruct,inequity,10,30,0.122,0.233
qwen_instruct,risk,1,76,-0.096,0.079
qwen_instruct,risk,10,76,-0.057,0.079
qwen_instruct,loss,1,76,-0.096,0.066
qwen_instruct,loss,10,76,-0.061,0.092
llama31_instruct,level1,1,76,-0.004,0.224
llama31_instruct,level1,10,76,-0.053,0.211
llama31_instruct,level2,1,35,-0.01,0.343
llama31_instruct,level2,10,35,-0.076,0.4
llama31_instruct,maximin,1,76,0.009,0.197
llama31_instruct,maximin,10,76,0.031,0.289
llama31_instruct,selfish,1,67,0.03,0.433
llama31_instruct,selfish,10,67,0.005,0.463
llama31_instruct,inequity,1,30,0.033,0.333
llama31_instruct,inequity,10,30,0.078,0.4
llama31_instruct,risk,1,76,0.026,0.342
llama31_instruct,risk,10,76,0.018,0.434
llama31_instruct,loss,1,76,-0.004,0.079
llama31_instruct,loss,10,76,0.026,0.276
gptoss,level1,1,76,0.0,0.092
gptoss,level1,10,76,0.022,0.171
gptoss,level2,1,35,-0.029,0.057
gptoss,level2,10,35,0.019,0.2
gptoss,maximin,1,76,0.145,0.474
gptoss,maximin,10,76,-0.013,0.132
gptoss,selfish,1,67,-0.02,0.104
gptoss,selfish,10,67,0.03,0.239
gptoss,inequity,1,30,-0.0,0.067
gptoss,inequity,10,30,0.022,0.167
gptoss,risk,1,76,0.004,0.066
gptoss,risk,10,76,0.031,0.158
gptoss,loss,1,76,-0.004,0.066
gptoss,loss,10,76,0.004,0.145
