model,cue,game_class,n_games,n_moved_real,mean_abs_real,mean_abs_real_lo,mean_abs_real_hi,mean_signed_target_real,mean_signed_target_real_lo,mean_signed_target_real_hi,frac_toward_real_nonzero,directional_efficiency_real
gptoss,inequity,CO1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
gptoss,inequity,CO2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,
gptoss,inequity,DD,5,3,0.08666666666666663,0.01999999999999998,0.15333333333333327,0.01999999999999998,-0.08049999999999982,0.11333333333333322,0.6666666666666666,0.23076923076923064
gptoss,inequity,MP,5,2,0.026666666666666637,0.0,0.053333333333333274,-0.026666666666666637,-0.053333333333333274,0.0,0.0,-1.0
gptoss,inequity,OD1,6,4,0.03333333333333332,0.0111111111111111,0.05555555555555553,0.011111111111111084,-0.022222222222222244,0.03888888888888885,0.75,0.33333333333333265
gptoss,inequity,OD2,12,4,0.06388888888888887,0.01666666666666665,0.12499999999999996,-0.01944444444444443,-0.09166666666666662,0.04173611111111138,0.5,-0.3043478260869564
gptoss,loss,CO1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,,
gptoss,loss,CO2,5,2,0.053333333333333344,0.0,0.1466666666666667,0.04000000000000002,-0.01999999999999998,0.14000000000000004,0.5,0.7500000000000002
gptoss,loss,DD,20,12,0.09666666666666664,0.05166666666666666,0.1533333333333333,-0.0033333333333333314,-0.07333333333333333,0.05999999999999998,0.5,-0.03448275862068965
gptoss,loss,MP,9,4,0.06666666666666665,0.014814814814814812,0.1333333333333333,-0.03703703703703702,-0.11111111111111109,0.029629629629629624,0.25,-0.5555555555555555
gptoss,loss,OD1,18,10,0.07777777777777778,0.03703703703703705,0.12037037037037036,0.011111111111111106,-0.046296296296296294,0.06851851851851849,0.6,0.1428571428571428
gptoss,loss,OD2,18,7,0.04444444444444442,0.0185185185185185,0.07407407407407403,6.1679056923619804e-18,-0.03518518518518516,0.03518518518518517,0.42857142857142855,1.3877787807814464e-16
gptoss,maximin,CO1,6,4,0.022222222222222216,0.0111111111111111,0.03333333333333333,0.011111111111111118,-0.0111111111111111,0.027777777777777804,0.75,0.5000000000000004
gptoss,maximin,CO2,5,4,0.0933333333333333,0.01999999999999996,0.2133333333333333,0.053333333333333365,-0.03999999999999992,0.2,0.5,0.571428571428572
gptoss,maximin,DD,20,18,0.1283333333333333,0.08329166666666662,0.17999999999999994,-0.0016666666666666718,-0.07833333333333332,0.06999999999999998,0.6666666666666666,-0.01298701298701303
gptoss,maximin,MP,9,5,0.07037037037037036,0.0148148148148148,0.14814814814814814,-0.03333333333333334,-0.11851851851851852,0.033333333333333326,0.6,-0.47368421052631593
gptoss,maximin,OD1,18,14,0.13703703703703699,0.08148148148148145,0.19444444444444436,-0.0148148148148148,-0.10189814814814813,0.06856481481481501,0.6428571428571429,-0.10810810810810804
gptoss,maximin,OD2,18,14,0.0796296296296296,0.03888888888888887,0.12592592592592589,-0.01296296296296297,-0.07592592592592591,0.04074074074074073,0.7142857142857143,-0.16279069767441873
gptoss,risk,CO1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,,
gptoss,risk,CO2,5,1,0.046666666666666676,0.0,0.14000000000000004,0.046666666666666676,0.0,0.14000000000000004,1.0,1.0
gptoss,risk,DD,20,11,0.08833333333333332,0.041666666666666664,0.13833333333333336,0.031666666666666676,-0.02833333333333332,0.09500000000000001,0.6363636363636364,0.358490566037736
gptoss,risk,MP,9,4,0.0185185185185185,0.0037037037037037,0.0333333333333333,-0.0111111111111111,-0.0296296296296296,0.0074074074074074,0.25,-0.6
gptoss,risk,OD1,18,10,0.08333333333333331,0.03888888888888888,0.12967592592592608,0.00925925925925926,-0.04819444444444443,0.0722222222222222,0.6,0.11111111111111115
gptoss,risk,OD2,18,8,0.04629629629629628,0.018518518518518517,0.07777777777777777,-0.0018518518518518576,-0.04074074074074072,0.03518518518518517,0.5,-0.04000000000000014
gptoss,selfish,CO1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,
gptoss,selfish,CO2,3,2,0.0888888888888889,0.0,0.2333333333333334,0.0666666666666667,-0.0333333333333333,0.2333333333333334,0.5,0.7500000000000001
gptoss,selfish,DD,20,11,0.14166666666666666,0.075,0.21666666666666662,-0.028333333333333332,-0.11666666666666665,0.06666666666666662,0.36363636363636365,-0.19999999999999998
gptoss,selfish,MP,5,3,0.06666666666666665,0.006666666666666659,0.12666666666666665,-0.013333333333333319,-0.09999999999999995,0.07333333333333332,0.3333333333333333,-0.19999999999999982
gptoss,selfish,OD1,18,11,0.07777777777777775,0.033333333333333326,0.13152777777777794,0.04814814814814815,-0.0018518518518518376,0.1074074074074074,0.5454545454545454,0.6190476190476193
gptoss,selfish,OD2,18,12,0.10370370370370369,0.04439814814814814,0.1759259259259259,-0.03333333333333332,-0.12037037037037034,0.04263888888888908,0.4166666666666667,-0.32142857142857134
llama31_instruct,inequity,CO1,1,1,0.0999999999999999,0.0999999999999999,0.0999999999999999,-0.0999999999999999,-0.0999999999999999,-0.0999999999999999,0.0,-1.0
llama31_instruct,inequity,CO2,1,1,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.0,1.0
llama31_instruct,inequity,DD,5,3,0.12666666666666665,0.02666666666666666,0.22000000000000003,0.12666666666666665,0.02666666666666666,0.22666666666666666,1.0,1.0
llama31_instruct,inequity,MP,5,5,0.21333333333333332,0.12666666666666665,0.3,0.10666666666666669,-0.08666666666666659,0.28,0.6,0.5000000000000001
llama31_instruct,inequity,OD1,6,6,0.12777777777777774,0.0666666666666666,0.18888888888888888,-0.0055555555555555775,-0.12222222222222219,0.11111111111111109,0.5,-0.043478260869565404
llama31_instruct,inequity,OD2,12,12,0.18055555555555555,0.1305555555555555,0.2388888888888889,0.008333333333333331,-0.10840277777777776,0.12506944444444473,0.5,0.04615384615384614
llama31_instruct,loss,CO1,6,6,0.14444444444444438,0.06666666666666664,0.23888888888888882,-0.06666666666666664,-0.21111111111111105,0.06111111111111106,0.5,-0.46153846153846156
llama31_instruct,loss,CO2,5,3,0.15999999999999998,0.006666666666666659,0.3133333333333333,0.14666666666666664,-0.013333333333333319,0.3133333333333333,0.6666666666666666,0.9166666666666666
llama31_instruct,loss,DD,20,19,0.17833333333333326,0.12833333333333327,0.2316666666666666,-0.0016666666666666913,-0.09333333333333334,0.09837500000000013,0.47368421052631576,-0.009345794392523506
llama31_instruct,loss,MP,9,8,0.15925925925925924,0.10731481481481481,0.20740740740740735,0.011111111111111103,-0.10740740740740741,0.12222222222222218,0.625,0.06976744186046507
llama31_instruct,loss,OD1,18,15,0.1222222222222222,0.05925925925925931,0.19444444444444448,0.022222222222222237,-0.06666666666666665,0.10555555555555553,0.6666666666666666,0.18181818181818196
llama31_instruct,loss,OD2,18,15,0.13888888888888884,0.08703703703703702,0.19634259259259276,-0.0018518518518518485,-0.09074074074074073,0.07962962962962963,0.5333333333333333,-0.013333333333333313
llama31_instruct,maximin,CO1,6,6,0.12777777777777777,0.07222222222222223,0.18333333333333332,-0.005555555555555514,-0.12777777777777774,0.10000000000000005,0.6666666666666666,-0.0434782608695649
llama31_instruct,maximin,CO2,5,4,0.1333333333333333,0.053333333333333344,0.19999999999999996,0.026666666666666616,-0.10666666666666669,0.15999999999999992,0.5,0.19999999999999968
llama31_instruct,maximin,DD,20,19,0.1583333333333333,0.11166666666666661,0.20666666666666664,-0.0016666666666666676,-0.08499999999999999,0.08166666666666665,0.47368421052631576,-0.010526315789473693
llama31_instruct,maximin,MP,9,8,0.16296296296296295,0.10370370370370366,0.2222222222222222,0.05925925925925925,-0.05925925925925925,0.17037037037037028,0.75,0.3636363636363636
llama31_instruct,maximin,OD1,18,14,0.11666666666666663,0.0759259259259259,0.15925925925925918,0.04999999999999996,-0.014814814814814817,0.11111111111111108,0.7857142857142857,0.4285714285714284
llama31_instruct,maximin,OD2,18,15,0.12407407407407406,0.08148148148148143,0.17037037037037034,-0.0018518518518518437,-0.07777777777777775,0.06851851851851852,0.5333333333333333,-0.014925373134328294
llama31_instruct,risk,CO1,6,6,0.18333333333333326,0.1166666666666666,0.24444444444444438,-0.016666666666666663,-0.1722222222222222,0.14444444444444438,0.5,-0.09090909090909093
llama31_instruct,risk,CO2,5,5,0.29999999999999993,0.15333333333333332,0.44666666666666666,-0.10000000000000002,-0.3733333333333334,0.17333333333333328,0.6,-0.3333333333333335
llama31_instruct,risk,DD,20,20,0.21499999999999994,0.1533333333333333,0.28833333333333333,0.018333333333333302,-0.09666666666666668,0.1366666666666666,0.5,0.08527131782945724
llama31_instruct,risk,MP,9,8,0.23333333333333334,0.08888888888888885,0.3888888888888889,0.21111111111111114,0.05555555555555555,0.3814814814814815,0.875,0.9047619047619049
llama31_instruct,risk,OD1,18,17,0.21851851851851847,0.14814814814814814,0.29814814814814816,0.04074074074074075,-0.08523148148148149,0.16481481481481483,0.6470588235294118,0.18644067796610178
llama31_instruct,risk,OD2,18,18,0.23333333333333334,0.16851851851851857,0.30740740740740746,-0.08888888888888889,-0.21300925925925923,0.03148148148148147,0.4444444444444444,-0.380952380952381
llama31_instruct,selfish,CO1,3,3,0.2111111111111111,0.10000000000000002,0.3333333333333333,0.14444444444444446,-0.10000000000000002,0.3333333333333333,0.6666666666666666,0.6842105263157895
llama31_instruct,selfish,CO2,3,3,0.19999999999999996,0.0333333333333333,0.2999999999999999,0.17777777777777778,-0.0333333333333333,0.2999999999999999,0.6666666666666666,0.8888888888888892
llama31_instruct,selfish,DD,20,20,0.22666666666666663,0.16499999999999998,0.29000000000000004,-0.006666666666666696,-0.12333333333333332,0.10999999999999996,0.5,-0.029411764705882488
llama31_instruct,selfish,MP,5,5,0.2133333333333333,0.08666666666666664,0.3335000000000006,0.18666666666666668,0.03333333333333336,0.3333333333333333,0.8,0.8750000000000002
llama31_instruct,selfish,OD1,18,18,0.287037037037037,0.22592592592592592,0.34259259259259267,0.10925925925925926,-0.040787037037037,0.24444444444444446,0.6666666666666666,0.38064516129032266
llama31_instruct,selfish,OD2,18,18,0.23148148148148145,0.1611111111111111,0.3018518518518518,-0.13888888888888884,-0.2444444444444444,-0.022222222222222185,0.3333333333333333,-0.5999999999999999
qwen,inequity,CO1,1,1,0.3,0.3,0.3,-0.3,-0.3,-0.3,0.0,-1.0
qwen,inequity,CO2,1,1,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,1.0,1.0
qwen,inequity,DD,5,3,0.29333333333333333,0.06,0.5199999999999999,0.17333333333333334,-0.12,0.4666666666666667,0.6666666666666666,0.5909090909090909
qwen,inequity,MP,5,5,0.3466666666666666,0.15999999999999998,0.5,0.3466666666666666,0.15999999999999998,0.5,1.0,1.0
qwen,inequity,OD1,6,6,0.2722222222222222,0.1388888888888889,0.4222222222222222,0.14999999999999994,-0.07777777777777779,0.37222222222222223,0.6666666666666666,0.5510204081632651
qwen,inequity,OD2,12,8,0.3111111111111111,0.1333333333333333,0.5166666666666666,0.25,0.04166666666666668,0.48888888888888893,0.625,0.8035714285714286
qwen,loss,CO1,6,6,0.5055555555555555,0.33888888888888885,0.7166666666666668,0.39444444444444443,0.07222222222222223,0.6834722222222228,0.8333333333333334,0.7802197802197802
qwen,loss,CO2,5,5,0.38666666666666666,0.14666666666666667,0.6266666666666667,-0.06666666666666665,-0.4533333333333333,0.3866666666666667,0.4,-0.17241379310344823
qwen,loss,DD,20,11,0.13499999999999998,0.06666666666666665,0.21504166666666683,-0.10166666666666666,-0.18666666666666662,-0.02166666666666666,0.18181818181818182,-0.7530864197530864
qwen,loss,MP,9,9,0.4888888888888888,0.3074074074074074,0.6851851851851852,0.19999999999999998,-0.1703703703703704,0.5296296296296296,0.7777777777777778,0.4090909090909091
qwen,loss,OD1,18,12,0.20370370370370366,0.12222222222222223,0.2833333333333333,0.05925925925925926,-0.05925925925925927,0.17592592592592593,0.5833333333333334,0.29090909090909095
qwen,loss,OD2,18,11,0.18703703703703703,0.0925925925925926,0.28888888888888886,-0.18703703703703703,-0.2907407407407407,-0.0962962962962963,0.0,-1.0
qwen,maximin,CO1,6,6,0.4888888888888889,0.3333333333333333,0.6555555555555556,0.39999999999999997,0.10000000000000002,0.6444444444444445,0.8333333333333334,0.8181818181818181
qwen,maximin,CO2,5,4,0.30666666666666664,0.053333333333333253,0.6799999999999999,0.09333333333333338,-0.22666666666666657,0.56,0.25,0.3043478260869567
qwen,maximin,DD,20,3,0.05499999999999999,0.0,0.11499999999999999,0.011666666666666672,-0.04833333333333331,0.06666666666666667,0.6666666666666666,0.21212121212121224
qwen,maximin,MP,9,9,0.4703703703703704,0.2888888888888889,0.6592592592592592,0.1962962962962963,-0.15555555555555556,0.5148148148148147,0.7777777777777778,0.41732283464566927
qwen,maximin,OD1,18,9,0.20555555555555555,0.1,0.32041666666666685,0.18333333333333332,0.07402777777777778,0.30370370370370364,0.8888888888888888,0.8918918918918919
qwen,maximin,OD2,18,4,0.024074074074074057,0.00555555555555555,0.04629629629629625,-0.009259259259259243,-0.0333333333333333,0.014814814814814812,0.25,-0.38461538461538425
qwen,risk,CO1,6,6,0.5888888888888889,0.3944444444444444,0.8055555555555557,0.4777777777777778,0.09986111111111115,0.7944444444444444,0.8333333333333334,0.8113207547169812
qwen,risk,CO2,5,4,0.4333333333333333,0.12666666666666665,0.76,-0.033333333333333305,-0.47333333333333333,0.5,0.25,-0.07692307692307687
qwen,risk,DD,20,7,0.11166666666666666,0.039999999999999994,0.1933333333333333,-0.03499999999999999,-0.12837500000000002,0.05,0.42857142857142855,-0.31343283582089543
qwen,risk,MP,9,9,0.5259259259259258,0.3222222222222222,0.7185185185185186,0.28888888888888886,-0.0777777777777778,0.6112037037037041,0.7777777777777778,0.5492957746478874
