model,cue,metric,n_games,eta2_game_class,perm_p_eta2,class_spread,low_class,low_class_mean,high_class,high_class_mean
gptoss,inequity,movement_size,30,0.10124388254486139,0.7000749812546864,0.05999999999999999,MP,0.026666666666666637,DD,0.08666666666666663
gptoss,inequity,signed_target,30,0.03672680412371128,0.9292676830792302,0.04666666666666662,MP,-0.026666666666666637,DD,0.01999999999999998
gptoss,loss,movement_size,76,0.08694871103925268,0.25968507873031743,0.09666666666666664,CO1,0.0,DD,0.09666666666666664
gptoss,loss,signed_target,76,0.02325522801713278,0.8915271182204448,0.07703703703703704,MP,-0.03703703703703702,CO2,0.04000000000000002
gptoss,maximin,movement_size,76,0.09559715486256945,0.20894776305923518,0.11481481481481477,CO1,0.022222222222222216,OD1,0.13703703703703699
gptoss,maximin,signed_target,76,0.01645431122061782,0.944763809047738,0.0866666666666667,MP,-0.03333333333333334,CO2,0.053333333333333365
gptoss,risk,movement_size,76,0.10545646534903476,0.1427143214196451,0.08833333333333332,CO1,0.0,DD,0.08833333333333332
gptoss,risk,signed_target,76,0.025768155026741003,0.8595351162209448,0.057777777777777775,MP,-0.0111111111111111,CO2,0.046666666666666676
gptoss,selfish,movement_size,67,0.06445741073209656,0.5271182204448888,0.14166666666666666,CO1,0.0,DD,0.14166666666666666
gptoss,selfish,signed_target,67,0.04801999949764571,0.680579855036241,0.1,OD2,-0.03333333333333332,CO2,0.0666666666666667
llama31_instruct,inequity,movement_size,30,0.11781499809668824,0.6758310422394401,0.08666666666666667,DD,0.12666666666666665,MP,0.21333333333333332
llama31_instruct,inequity,signed_target,30,0.11543137044585078,0.6990752311922019,0.13222222222222224,OD1,-0.0055555555555555775,DD,0.12666666666666665
llama31_instruct,loss,movement_size,76,0.026603608851239326,0.8487878030492377,0.056111111111111056,OD1,0.1222222222222222,DD,0.17833333333333326
llama31_instruct,loss,signed_target,76,0.046219249923191784,0.6473381654586353,0.21333333333333326,CO1,-0.06666666666666664,CO2,0.14666666666666664
llama31_instruct,maximin,movement_size,76,0.03642783561049664,0.7558110472381905,0.04629629629629632,OD1,0.11666666666666663,MP,0.16296296296296295
