period,model,game,seed,condition,trait_p1,trait_p2,real0,pref0,n_rounds
all10,gptoss,AsAs,100,baseline,baseline,baseline,0.0,0.7930930196728266,10
round1,gptoss,AsAs,100,baseline,baseline,baseline,0.0,0.8272706937905212,1
round10,gptoss,AsAs,100,baseline,baseline,baseline,0.0,0.701815262466275,1
all10,gptoss,AsAs,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.7926988151409526,10
round1,gptoss,AsAs,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.8134607957544118,1
round10,gptoss,AsAs,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.7610837550373463,1
all10,gptoss,AsAs,100,level1_typeA,level1,baseline,0.0,0.7839591197712459,10
round1,gptoss,AsAs,100,level1_typeA,level1,baseline,0.0,0.7565824394584695,1
round10,gptoss,AsAs,100,level1_typeA,level1,baseline,0.0,0.8007699031654615,1
all10,gptoss,AsAs,100,level2_typeA,level2,baseline,0.0,0.7726492080563537,10
round1,gptoss,AsAs,100,level2_typeA,level2,baseline,0.0,0.7727986948002253,1
round10,gptoss,AsAs,100,level2_typeA,level2,baseline,0.0,0.7959754565997705,1
all10,gptoss,AsAs,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.7926036425426208,10
round1,gptoss,AsAs,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.8319638009330297,1
round10,gptoss,AsAs,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.7833261996203104,1
all10,gptoss,AsAs,100,maximin_typeA,maximin,baseline,0.0,0.6773931839170427,10
round1,gptoss,AsAs,100,maximin_typeA,maximin,baseline,0.0,5.279209987657795e-15,1
round10,gptoss,AsAs,100,maximin_typeA,maximin,baseline,0.0,0.8288695526606656,1
all10,gptoss,AsAs,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.7768490229201208,10
round1,gptoss,AsAs,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.7853085742525615,1
round10,gptoss,AsAs,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.6902459881738903,1
all10,gptoss,AsAs,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.7702293259311533,10
round1,gptoss,AsAs,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.6759785320525765,1
round10,gptoss,AsAs,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.8140528170677351,1
all10,gptoss,AsAs,200,baseline,baseline,baseline,1.0,0.5824467679218692,10
round1,gptoss,AsAs,200,baseline,baseline,baseline,1.0,0.6992544347520516,1
round10,gptoss,AsAs,200,baseline,baseline,baseline,1.0,0.48438008470718164,1
all10,gptoss,AsAs,200,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.556621123970183,10
round1,gptoss,AsAs,200,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.5234203548163271,1
round10,gptoss,AsAs,200,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.4610167804124439,1
all10,gptoss,AsAs,200,level1_typeA,level1,baseline,1.0,0.5738541039632545,10
round1,gptoss,AsAs,200,level1_typeA,level1,baseline,1.0,0.6370307957089639,1
round10,gptoss,AsAs,200,level1_typeA,level1,baseline,1.0,0.39981165589570694,1
all10,gptoss,AsAs,200,level2_typeA,level2,baseline,1.0,0.5729118794873238,10
round1,gptoss,AsAs,200,level2_typeA,level2,baseline,1.0,0.7431680169878674,1
round10,gptoss,AsAs,200,level2_typeA,level2,baseline,1.0,0.5312093770220406,1
all10,gptoss,AsAs,200,loss_aversion_typeA,loss_aversion,baseline,1.0,0.5685102012288852,10
round1,gptoss,AsAs,200,loss_aversion_typeA,loss_aversion,baseline,1.0,0.7057850321279312,1
round10,gptoss,AsAs,200,loss_aversion_typeA,loss_aversion,baseline,1.0,0.5312093647177781,1
all10,gptoss,AsAs,200,maximin_typeA,maximin,baseline,1.0,0.4608114669257869,10
round1,gptoss,AsAs,200,maximin_typeA,maximin,baseline,1.0,0.4610167644198607,1
round10,gptoss,AsAs,200,maximin_typeA,maximin,baseline,1.0,0.4378235098008581,1
all10,gptoss,AsAs,200,risk_aversion_typeA,risk_aversion,baseline,1.0,0.5916821269297385,10
round1,gptoss,AsAs,200,risk_aversion_typeA,risk_aversion,baseline,1.0,0.6723317042974163,1
round10,gptoss,AsAs,200,risk_aversion_typeA,risk_aversion,baseline,1.0,0.4687906203976985,1
