game,game_class,cue,target_action,target_dir
AsAs,CO1,maximin,1,-1
AsAs,CO1,risk,1,-1
AsAs,CO1,loss,1,-1
AsBa,MP,maximin,1,-1
AsBa,MP,inequity,1,-1
AsBa,MP,risk,1,-1
AsBa,MP,loss,1,-1
BaBa,CO2,maximin,0,1
BaBa,CO2,risk,0,1
BaBa,CO2,loss,0,1
ChAs,MP,maximin,0,1
ChAs,MP,inequity,0,1
ChAs,MP,risk,0,1
ChAs,MP,loss,0,1
ChBa,CO2,maximin,0,1
ChBa,CO2,inequity,1,-1
ChBa,CO2,risk,0,1
ChBa,CO2,loss,0,1
CmAs,OD1,level1,1,-1
CmAs,OD1,maximin,1,-1
CmAs,OD1,selfish,1,-1
CmAs,OD1,risk,1,-1
CmAs,OD1,loss,1,-1
CmBa,OD1,level1,1,-1
CmBa,OD1,maximin,1,-1
CmBa,OD1,selfish,1,-1
CmBa,OD1,risk,1,-1
CmBa,OD1,loss,1,-1
CmCh,OD1,level1,1,-1
CmCh,OD1,maximin,1,-1
CmCh,OD1,selfish,1,-1
CmCh,OD1,risk,1,-1
CmCh,OD1,loss,1,-1
CmCm,DD,level1,1,-1
CmCm,DD,level2,1,-1
CmCm,DD,maximin,1,-1
CmCm,DD,selfish,1,-1
CmCm,DD,risk,1,-1
CmCm,DD,loss,1,-1
CmCo,OD2,level1,1,-1
CmCo,OD2,level2,1,-1
CmCo,OD2,maximin,1,-1
CmCo,OD2,selfish,1,-1
CmCo,OD2,inequity,1,-1
CmCo,OD2,risk,1,-1
CmCo,OD2,loss,1,-1
CmHr,OD2,level1,1,-1
CmHr,OD2,level2,1,-1
CmHr,OD2,maximin,1,-1
CmHr,OD2,selfish,1,-1
CmHr,OD2,risk,1,-1
CmHr,OD2,loss,1,-1
CmNc,DD,level1,1,-1
CmNc,DD,level2,1,-1
CmNc,DD,maximin,1,-1
CmNc,DD,selfish,1,-1
CmNc,DD,risk,1,-1
CmNc,DD,loss,1,-1
CmPc,DD,level1,1,-1
CmPc,DD,level2,1,-1
CmPc,DD,maximin,1,-1
CmPc,DD,selfish,1,-1
CmPc,DD,inequity,1,-1
CmPc,DD,risk,1,-1
CmPc,DD,loss,1,-1
CmPd,DD,level1,1,-1
CmPd,DD,level2,1,-1
CmPd,DD,maximin,1,-1
CmPd,DD,selfish,1,-1
CmPd,DD,risk,1,-1
CmPd,DD,loss,1,-1
CmSh,OD1,level1,1,-1
CmSh,OD1,maximin,1,-1
CmSh,OD1,selfish,1,-1
CmSh,OD1,risk,1,-1
CmSh,OD1,loss,1,-1
CoAs,CO2,level1,0,1
CoAs,CO2,maximin,0,1
CoAs,CO2,selfish,0,1
CoAs,CO2,risk,0,1
CoAs,CO2,loss,0,1
CoBa,MP,level1,0,1
CoBa,MP,maximin,0,1
CoBa,MP,selfish,0,1
CoBa,MP,risk,0,1
CoBa,MP,loss,0,1
CoCh,MP,level1,0,1
CoCh,MP,maximin,0,1
CoCh,MP,selfish,0,1
CoCh,MP,risk,0,1
CoCh,MP,loss,0,1
CoCo,CO1,level1,0,1
CoCo,CO1,level2,0,1
CoCo,CO1,maximin,0,1
CoCo,CO1,selfish,0,1
CoCo,CO1,risk,0,1
CoCo,CO1,loss,0,1
CoSh,CO2,level1,0,1
CoSh,CO2,maximin,0,1
CoSh,CO2,selfish,0,1
CoSh,CO2,risk,0,1
CoSh,CO2,loss,0,1
DlAs,OD1,level1,1,-1
DlAs,OD1,maximin,1,-1
DlAs,OD1,selfish,1,-1
DlAs,OD1,risk,1,-1
DlAs,OD1,loss,1,-1
DlBa,OD1,level1,1,-1
DlBa,OD1,maximin,1,-1
DlBa,OD1,selfish,1,-1
DlBa,OD1,risk,1,-1
DlBa,OD1,loss,1,-1
DlCh,OD1,level1,1,-1
DlCh,OD1,maximin,1,-1
DlCh,OD1,selfish,1,-1
DlCh,OD1,risk,1,-1
DlCh,OD1,loss,1,-1
DlCm,DD,level1,1,-1
DlCm,DD,level2,1,-1
DlCm,DD,maximin,1,-1
DlCm,DD,selfish,1,-1
DlCm,DD,inequity,1,-1
DlCm,DD,risk,1,-1
DlCm,DD,loss,1,-1
DlCo,OD2,level1,1,-1
DlCo,OD2,level2,1,-1
DlCo,OD2,maximin,1,-1
DlCo,OD2,selfish,1,-1
DlCo,OD2,risk,1,-1
DlCo,OD2,loss,1,-1
DlDl,DD,level1,1,-1
DlDl,DD,level2,1,-1
DlDl,DD,maximin,1,-1
DlDl,DD,selfish,1,-1
DlDl,DD,risk,1,-1
DlDl,DD,loss,1,-1
DlHa,DD,level1,1,-1
DlHa,DD,level2,1,-1
DlHa,DD,maximin,1,-1
DlHa,DD,selfish,1,-1
DlHa,DD,risk,1,-1
DlHa,DD,loss,1,-1
DlHr,OD2,level1,1,-1
DlHr,OD2,level2,1,-1
DlHr,OD2,maximin,1,-1
DlHr,OD2,selfish,1,-1
DlHr,OD2,inequity,1,-1
DlHr,OD2,risk,1,-1
DlHr,OD2,loss,1,-1
DlNc,DD,level1,1,-1
DlNc,DD,level2,1,-1
DlNc,DD,maximin,1,-1
DlNc,DD,selfish,1,-1
DlNc,DD,risk,1,-1
DlNc,DD,loss,1,-1
DlPc,DD,level1,1,-1
DlPc,DD,level2,1,-1
DlPc,DD,maximin,1,-1
DlPc,DD,selfish,1,-1
DlPc,DD,risk,1,-1
DlPc,DD,loss,1,-1
DlPd,DD,level1,1,-1
DlPd,DD,level2,1,-1
DlPd,DD,maximin,1,-1
DlPd,DD,selfish,1,-1
DlPd,DD,risk,1,-1
DlPd,DD,loss,1,-1
DlSh,OD1,level1,1,-1
DlSh,OD1,maximin,1,-1
DlSh,OD1,selfish,1,-1
DlSh,OD1,risk,1,-1
DlSh,OD1,loss,1,-1
HaAs,OD2,level1,0,1
HaAs,OD2,maximin,0,1
HaAs,OD2,selfish,0,1
HaAs,OD2,inequity,0,1
HaAs,OD2,risk,0,1
HaAs,OD2,loss,0,1
HaBa,OD2,level1,0,1
HaBa,OD2,maximin,0,1
HaBa,OD2,selfish,0,1
HaBa,OD2,inequity,1,-1
HaBa,OD2,risk,0,1
HaBa,OD2,loss,0,1
HaCh,OD2,level1,0,1
HaCh,OD2,maximin,0,1
HaCh,OD2,selfish,0,1
HaCh,OD2,inequity,1,-1
HaCh,OD2,risk,0,1
HaCh,OD2,loss,0,1
HaCm,DD,level1,0,1
HaCm,DD,level2,0,1
HaCm,DD,maximin,0,1
HaCm,DD,selfish,0,1
HaCm,DD,inequity,1,-1
HaCm,DD,risk,0,1
HaCm,DD,loss,0,1
HaCo,OD1,level1,0,1
HaCo,OD1,level2,0,1
HaCo,OD1,maximin,0,1
HaCo,OD1,selfish,0,1
HaCo,OD1,risk,0,1
HaCo,OD1,loss,0,1
HaHa,DD,level1,0,1
HaHa,DD,level2,0,1
HaHa,DD,maximin,0,1
HaHa,DD,selfish,0,1
HaHa,DD,risk,0,1
HaHa,DD,loss,0,1
HaHr,OD1,level1,0,1
HaHr,OD1,level2,0,1
HaHr,OD1,maximin,0,1
HaHr,OD1,selfish,0,1
HaHr,OD1,inequity,1,-1
HaHr,OD1,risk,0,1
HaHr,OD1,loss,0,1
HaNc,DD,level1,0,1
HaNc,DD,level2,0,1
HaNc,DD,maximin,0,1
HaNc,DD,selfish,0,1
HaNc,DD,risk,0,1
HaNc,DD,loss,0,1
HaPc,DD,level1,0,1
HaPc,DD,level2,0,1
HaPc,DD,maximin,0,1
HaPc,DD,selfish,0,1
HaPc,DD,risk,0,1
HaPc,DD,loss,0,1
HaPd,DD,level1,0,1
HaPd,DD,level2,0,1
HaPd,DD,maximin,0,1
HaPd,DD,selfish,0,1
HaPd,DD,risk,0,1
HaPd,DD,loss,0,1
HaSh,OD2,level1,0,1
HaSh,OD2,maximin,0,1
HaSh,OD2,selfish,0,1
HaSh,OD2,inequity,0,1
HaSh,OD2,risk,0,1
HaSh,OD2,loss,0,1
HrAs,MP,level1,1,-1
HrAs,MP,maximin,1,-1
HrAs,MP,selfish,1,-1
HrAs,MP,risk,1,-1
HrAs,MP,loss,1,-1
HrBa,CO1,level1,1,-1
HrBa,CO1,maximin,1,-1
HrBa,CO1,selfish,1,-1
HrBa,CO1,risk,1,-1
HrBa,CO1,loss,1,-1
HrCh,CO1,level1,1,-1
HrCh,CO1,maximin,1,-1
HrCh,CO1,selfish,1,-1
HrCh,CO1,risk,1,-1
HrCh,CO1,loss,1,-1
HrCo,MP,level1,1,-1
HrCo,MP,level2,1,-1
HrCo,MP,maximin,1,-1
HrCo,MP,selfish,1,-1
HrCo,MP,inequity,1,-1
HrCo,MP,risk,1,-1
HrCo,MP,loss,1,-1
HrHr,CO2,level1,1,-1
HrHr,CO2,level2,0,1
HrHr,CO2,maximin,1,-1
HrHr,CO2,selfish,1,-1
HrHr,CO2,risk,1,-1
HrHr,CO2,loss,1,-1
HrSh,MP,level1,1,-1
HrSh,MP,maximin,1,-1
HrSh,MP,selfish,1,-1
HrSh,MP,risk,1,-1
HrSh,MP,loss,1,-1
NcAs,OD2,level1,0,1
NcAs,OD2,maximin,0,1
NcAs,OD2,selfish,0,1
NcAs,OD2,inequity,0,1
NcAs,OD2,risk,0,1
NcAs,OD2,loss,0,1
NcBa,OD2,level1,0,1
NcBa,OD2,maximin,0,1
NcBa,OD2,selfish,0,1
NcBa,OD2,inequity,1,-1
NcBa,OD2,risk,0,1
NcBa,OD2,loss,0,1
NcCh,OD2,level1,0,1
NcCh,OD2,maximin,0,1
NcCh,OD2,selfish,0,1
NcCh,OD2,inequity,1,-1
NcCh,OD2,risk,0,1
NcCh,OD2,loss,0,1
NcCo,OD1,level1,0,1
NcCo,OD1,level2,0,1
NcCo,OD1,maximin,0,1
NcCo,OD1,selfish,0,1
NcCo,OD1,inequity,0,1
NcCo,OD1,risk,0,1
NcCo,OD1,loss,0,1
NcHr,OD1,level1,0,1
NcHr,OD1,level2,0,1
NcHr,OD1,maximin,0,1
NcHr,OD1,selfish,0,1
NcHr,OD1,inequity,1,-1
NcHr,OD1,risk,0,1
NcHr,OD1,loss,0,1
NcNc,DD,level1,0,1
NcNc,DD,level2,0,1
NcNc,DD,maximin,0,1
NcNc,DD,selfish,0,1
NcNc,DD,risk,0,1
NcNc,DD,loss,0,1
NcPd,DD,level1,0,1
NcPd,DD,level2,0,1
NcPd,DD,maximin,0,1
NcPd,DD,selfish,0,1
NcPd,DD,risk,0,1
NcPd,DD,loss,0,1
NcSh,OD2,level1,0,1
NcSh,OD2,maximin,0,1
NcSh,OD2,selfish,0,1
NcSh,OD2,inequity,0,1
NcSh,OD2,risk,0,1
NcSh,OD2,loss,0,1
PcAs,OD2,level1,0,1
PcAs,OD2,maximin,0,1
PcAs,OD2,selfish,0,1
PcAs,OD2,risk,0,1
PcAs,OD2,loss,0,1
PcBa,OD2,level1,0,1
PcBa,OD2,maximin,0,1
PcBa,OD2,selfish,0,1
PcBa,OD2,risk,0,1
PcBa,OD2,loss,0,1
PcCh,OD2,level1,0,1
PcCh,OD2,maximin,0,1
PcCh,OD2,selfish,0,1
PcCh,OD2,risk,0,1
PcCh,OD2,loss,0,1
PcCo,OD1,level1,0,1
PcCo,OD1,level2,0,1
PcCo,OD1,maximin,0,1
PcCo,OD1,selfish,0,1
PcCo,OD1,risk,0,1
PcCo,OD1,loss,0,1
PcHr,OD1,level1,0,1
PcHr,OD1,level2,0,1
PcHr,OD1,maximin,0,1
PcHr,OD1,selfish,0,1
PcHr,OD1,inequity,1,-1
PcHr,OD1,risk,0,1
PcHr,OD1,loss,0,1
PcNc,DD,level1,0,1
PcNc,DD,level2,0,1
PcNc,DD,maximin,0,1
PcNc,DD,selfish,0,1
PcNc,DD,inequity,0,1
PcNc,DD,risk,0,1
PcNc,DD,loss,0,1
PcPc,DD,level1,0,1
PcPc,DD,level2,0,1
PcPc,DD,maximin,0,1
PcPc,DD,selfish,0,1
PcPc,DD,risk,0,1
PcPc,DD,loss,0,1
PcPd,DD,level1,0,1
PcPd,DD,level2,0,1
PcPd,DD,maximin,0,1
PcPd,DD,selfish,0,1
PcPd,DD,inequity,1,-1
PcPd,DD,risk,0,1
PcPd,DD,loss,0,1
PcSh,OD2,level1,0,1
PcSh,OD2,maximin,0,1
PcSh,OD2,selfish,0,1
PcSh,OD2,risk,0,1
PcSh,OD2,loss,0,1
PdAs,OD1,level1,1,-1
PdAs,OD1,maximin,1,-1
PdAs,OD1,selfish,1,-1
PdAs,OD1,inequity,0,1
PdAs,OD1,risk,1,-1
PdAs,OD1,loss,1,-1
PdBa,OD1,level1,1,-1
PdBa,OD1,maximin,1,-1
PdBa,OD1,selfish,1,-1
PdBa,OD1,inequity,1,-1
PdBa,OD1,risk,1,-1
PdBa,OD1,loss,1,-1
PdCh,OD1,level1,1,-1
PdCh,OD1,maximin,1,-1
PdCh,OD1,selfish,1,-1
PdCh,OD1,risk,1,-1
PdCh,OD1,loss,1,-1
PdCo,OD2,level1,1,-1
PdCo,OD2,level2,1,-1
PdCo,OD2,maximin,1,-1
PdCo,OD2,selfish,1,-1
PdCo,OD2,inequity,0,1
PdCo,OD2,risk,1,-1
PdCo,OD2,loss,1,-1
PdHr,OD2,level1,1,-1
PdHr,OD2,level2,1,-1
PdHr,OD2,maximin,1,-1
PdHr,OD2,selfish,1,-1
PdHr,OD2,inequity,1,-1
PdHr,OD2,risk,1,-1
PdHr,OD2,loss,1,-1
PdSh,OD1,level1,1,-1
PdSh,OD1,maximin,1,-1
PdSh,OD1,selfish,1,-1
PdSh,OD1,risk,1,-1
PdSh,OD1,loss,1,-1
ShAs,CO1,maximin,1,-1
ShAs,CO1,inequity,0,1
ShAs,CO1,risk,1,-1
ShAs,CO1,loss,1,-1
ShBa,MP,maximin,1,-1
ShBa,MP,inequity,1,-1
ShBa,MP,risk,1,-1
ShBa,MP,loss,1,-1
ShCh,MP,maximin,1,-1
ShCh,MP,inequity,1,-1
ShCh,MP,risk,1,-1
ShCh,MP,loss,1,-1
ShSh,CO1,maximin,1,-1
ShSh,CO1,risk,1,-1
