model,cue,round,n,shift,frac_tow,pb
qwen,level0,1,76,0.083,0.289,0.807
qwen,level0,10,76,0.11,0.303,0.768
qwen,level1,1,67,0.114,0.299,0.826
qwen,level1,10,67,0.06,0.284,0.831
qwen,level2,1,35,-0.019,0.2,0.895
qwen,level2,10,35,-0.095,0.2,0.905
qwen,maximin,1,76,0.14,0.316,0.768
qwen,maximin,10,76,0.075,0.276,0.816
qwen,selfish,1,67,0.129,0.284,0.826
qwen,selfish,10,67,0.114,0.284,0.831
qwen,inequity,1,30,0.3,0.533,0.522
qwen,inequity,10,30,0.211,0.467,0.544
qwen,risk,1,76,0.07,0.276,0.768
qwen,risk,10,76,0.026,0.263,0.816
qwen,loss,1,76,0.013,0.25,0.768
qwen,loss,10,76,-0.013,0.25,0.816
qwen_instruct,level0,1,76,0.031,0.171,0.829
qwen_instruct,level0,10,76,0.039,0.145,0.781
qwen_instruct,level1,1,67,-0.03,0.06,0.91
qwen_instruct,level1,10,67,0.005,0.09,0.856
qwen_instruct,level2,1,35,-0.067,0.029,0.914
qwen_instruct,level2,10,35,-0.162,0.057,0.867
qwen_instruct,maximin,1,76,-0.004,0.079,0.895
qwen_instruct,maximin,10,76,0.048,0.145,0.846
qwen_instruct,selfish,1,67,-0.373,0.075,0.91
qwen_instruct,selfish,10,67,-0.313,0.134,0.856
qwen_instruct,inequity,1,30,0.211,0.3,0.656
qwen_instruct,inequity,10,30,0.122,0.233,0.678
qwen_instruct,risk,1,76,-0.096,0.079,0.895
qwen_instruct,risk,10,76,-0.057,0.079,0.846
qwen_instruct,loss,1,76,-0.096,0.066,0.895
qwen_instruct,loss,10,76,-0.061,0.092,0.846
llama31_instruct,level0,1,76,0.022,0.118,0.5
llama31_instruct,level0,10,76,0.136,0.408,0.5
llama31_instruct,level1,1,67,0.005,0.254,0.488
llama31_instruct,level1,10,67,-0.045,0.239,0.498
llama31_instruct,level2,1,35,-0.01,0.343,0.524
llama31_instruct,level2,10,35,-0.076,0.4,0.571
llama31_instruct,maximin,1,76,0.009,0.197,0.478
llama31_instruct,maximin,10,76,0.031,0.289,0.496
llama31_instruct,selfish,1,67,0.03,0.433,0.488
llama31_instruct,selfish,10,67,0.005,0.463,0.498
llama31_instruct,inequity,1,30,0.033,0.333,0.344
llama31_instruct,inequity,10,30,0.078,0.4,0.4
llama31_instruct,risk,1,76,0.026,0.342,0.478
llama31_instruct,risk,10,76,0.018,0.434,0.496
llama31_instruct,loss,1,76,-0.004,0.079,0.478
llama31_instruct,loss,10,76,0.026,0.276,0.496
gptoss,level0,1,76,-0.018,0.053,0.482
gptoss,level0,10,76,0.013,0.145,0.461
gptoss,level1,1,67,-0.0,0.104,0.498
gptoss,level1,10,67,0.025,0.194,0.473
gptoss,level2,1,35,-0.029,0.057,0.514
gptoss,level2,10,35,0.019,0.2,0.486
gptoss,maximin,1,76,0.145,0.474,0.513
gptoss,maximin,10,76,-0.013,0.132,0.491
gptoss,selfish,1,67,-0.02,0.104,0.498
gptoss,selfish,10,67,0.03,0.239,0.473
gptoss,inequity,1,30,-0.0,0.067,0.511
gptoss,inequity,10,30,0.022,0.167,0.5
gptoss,risk,1,76,0.004,0.066,0.513
gptoss,risk,10,76,0.031,0.158,0.491
gptoss,loss,1,76,-0.004,0.066,0.513
gptoss,loss,10,76,0.004,0.145,0.491
