model,round,trait,family,game,a_star,dose,base0,cue0,null0,shift0,nullshift0,abs_shift,abs_nullshift,shift_pref,nullshift_pref,net_pref,base_pref,n_pairs,flips,flips_aligned
qwen,1,risk,trait,AsAs,1,-1.0,1.0,0.3333333333333333,0.3333333333333333,-0.6666666666666667,-0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,-0.0,0.0,3,2,2
qwen,1,risk,trait,AsBa,1,-1.0,1.0,0.0,0.6666666666666666,-1.0,-0.33333333333333337,1.0,0.33333333333333337,1.0,0.33333333333333337,0.6666666666666666,0.0,3,3,3
qwen,1,risk,trait,BaBa,0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,3,3,0
qwen,1,risk,trait,ChAs,0,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666666,3,1,1
qwen,1,risk,trait,ChBa,0,1.0,0.3333333333333333,0.0,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.6666666666666666,0.3333333333333333,3,1,0
qwen,1,risk,trait,CmAs,1,-2.0,1.0,0.3333333333333333,0.6666666666666666,-0.6666666666666667,-0.33333333333333337,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.0,3,2,2
qwen,1,risk,trait,CmBa,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,3,0,0
qwen,1,risk,trait,CmCh,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,3,0,0
qwen,1,risk,trait,CmCm,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,3,0,0
qwen,1,risk,trait,CmCo,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,3,0,0
qwen,1,risk,trait,CmHr,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,3,0,0
qwen,1,risk,trait,CmNc,1,-2.0,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.0,0.3333333333333333,0.6666666666666667,3,1,1
qwen,1,risk,trait,CmPc,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,3,0,0
qwen,1,risk,trait,CmPd,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,3,0,0
qwen,1,risk,trait,CmSh,1,-2.0,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.0,0.3333333333333333,0.6666666666666667,3,1,1
qwen,1,risk,trait,CoAs,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0
qwen,1,risk,trait,CoBa,0,1.0,1.0,0.3333333333333333,1.0,-0.6666666666666667,0.0,0.6666666666666667,0.0,-0.6666666666666667,0.0,-0.6666666666666667,1.0,3,2,0
qwen,1,risk,trait,CoCh,0,1.0,1.0,0.6666666666666666,1.0,-0.33333333333333337,0.0,0.33333333333333337,0.0,-0.33333333333333337,0.0,-0.33333333333333337,1.0,3,1,0
qwen,1,risk,trait,CoCo,0,1.0,1.0,0.6666666666666666,1.0,-0.33333333333333337,0.0,0.33333333333333337,0.0,-0.33333333333333337,0.0,-0.33333333333333337,1.0,3,1,0
qwen,1,risk,trait,CoSh,0,1.0,1.0,0.6666666666666666,1.0,-0.33333333333333337,0.0,0.33333333333333337,0.0,-0.33333333333333337,0.0,-0.33333333333333337,1.0,3,1,0
qwen,1,risk,trait,DlAs,1,-2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.3333333333333333,0.0,0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,0.6666666666666667,3,0,0
