model,cond,round,b_pay,b_fair,n_obs
gptoss,baseline,1,0.00952422388075297,0.013815041266633573,228
gptoss,baseline,10,-0.05308904981992961,0.010678755607357038,228
gptoss,inequity,1,-0.032074419224826435,0.03221682185743327,228
gptoss,inequity,10,0.021318227533211123,0.0528896456840193,228
gptoss,length_null,1,-0.0072654393425791094,0.00826521994949596,228
gptoss,length_null,10,0.23108979254350973,-0.01295203479338897,228
gptoss,level0,1,-0.08419814787323818,0.021893377187635125,228
gptoss,level0,10,-0.03155105738182509,0.06455663211089477,228
gptoss,level1,1,0.012233992464857488,0.09917082783474926,228
gptoss,level1,10,0.022407005740288876,0.12107849463176378,228
gptoss,level2,1,-0.03365132171517185,0.018436821679058434,228
gptoss,level2,10,-0.021644624854387864,0.028494101253782503,228
gptoss,loss,1,0.009882265147780076,0.046365288964153026,228
gptoss,loss,10,-0.05112721699140325,0.02790965712892,228
gptoss,maximin,1,0.5243500578896503,0.03907991627144266,228
gptoss,maximin,10,-0.12627977725976322,0.058847840963253205,228
gptoss,risk,1,0.010473279857140269,0.024191230886604905,228
gptoss,risk,10,0.05341134535726147,0.07757882154321966,228
gptoss,selfish,1,-0.06043063564887079,0.04194694250208475,228
gptoss,selfish,10,0.010307288747739203,0.10769898353647839,228
llama31_instruct,baseline,1,-0.019643033817144342,-0.0945399547340998,228
llama31_instruct,baseline,10,0.12704515616230888,-0.02733049622889881,228
llama31_instruct,inequity,1,0.06425943400065671,-0.16681013768509959,228
llama31_instruct,inequity,10,-0.12052656564997236,-0.0489089163594263,228
llama31_instruct,length_null,1,0.031129387192196444,0.0025314707473762005,228
llama31_instruct,length_null,10,-0.013943111748870356,-0.03309221518489589,228
llama31_instruct,level0,1,0.4769285051010956,-0.1171263195887923,228
llama31_instruct,level0,10,0.7416140208971328,0.28298133123404906,228
llama31_instruct,level1,1,-0.02732532325628016,-0.07464436096114971,228
llama31_instruct,level1,10,-0.2097621512116221,-0.17486967508586784,228
llama31_instruct,level2,1,-0.024667206700344852,-0.010756058762186571,228
llama31_instruct,level2,10,0.06979611505585928,0.0817077072889009,228
llama31_instruct,loss,1,,,228
llama31_instruct,loss,10,0.2932083236559113,-0.06312083926906581,228
llama31_instruct,maximin,1,0.09338641644230776,-0.15613219207951576,228
llama31_instruct,maximin,10,0.23182495984566348,0.10454954460215068,228
llama31_instruct,risk,1,0.050405442819611325,0.13001200028324383,228
llama31_instruct,risk,10,0.08369593456676203,0.068661870964567,228
llama31_instruct,selfish,1,0.07654686132834691,0.01821898452369881,228
llama31_instruct,selfish,10,-1.513485457152527e-17,-2.8135960014284577e-16,228
qwen,baseline,1,2.0889541984256654,0.3877952703101479,228
qwen,baseline,10,1.8578686253647636,0.38854980903819775,228
qwen,inequity,1,1.2283737531557761,1.0731700416610914,228
qwen,inequity,10,0.3893701781315921,0.7425201060129616,228
qwen,length_null,1,2.434121410973546,0.22195038940799292,228
qwen,length_null,10,2.112013433357776,0.5356698175458241,228
qwen,level0,1,2.672897581010051,-0.37450131467614295,228
qwen,level0,10,2.7149440131632065,-0.26917247463574295,228
qwen,level1,1,3.1457928945294285,0.16793179014360815,228
qwen,level1,10,2.9522201420740566,0.07838565209542425,228
qwen,level2,1,3.3038831130039625,-0.07938362827961662,228
qwen,level2,10,2.4107836432078797,0.7537520198043428,228
qwen,loss,1,1.3089012147222576,0.4412351541136515,228
qwen,loss,10,1.3229489297789874,0.5214776970197296,228
qwen,maximin,1,2.582151111080958,0.3812685227091895,228
qwen,maximin,10,2.287751455405035,0.5590112750247975,228
qwen,risk,1,1.8653769085030338,0.730293793802964,228
qwen,risk,10,1.7469053381212098,0.6255750465659122,228
qwen,selfish,1,3.002739687510669,-0.25236129432143467,228
qwen,selfish,10,2.9216959786837062,0.1268293319920977,228
qwen_instruct,baseline,1,2.4548863309010254,0.7378965688344382,228
qwen_instruct,baseline,10,2.1640025593757293,0.69224614091096,228
qwen_instruct,inequity,1,0.8955081341907618,1.1945306606493653,228
qwen_instruct,inequity,10,0.6007486417339262,0.8682575168834107,228
qwen_instruct,length_null,1,2.497587996974466,0.6456571143959996,228
qwen_instruct,length_null,10,2.310151452954707,0.8353942310769679,228
qwen_instruct,level0,1,2.390416672672836,-0.35225226107850705,228
qwen_instruct,level0,10,3.1028444133284943,-0.01991656213180887,228
qwen_instruct,level1,1,3.40153888472996,0.13138369940871242,228
qwen_instruct,level1,10,2.977047225755628,0.2423801679849533,228
qwen_instruct,level2,1,3.5882319496192885,0.09721424505936654,228
qwen_instruct,level2,10,1.8835400337578125,0.3765052256222829,228
qwen_instruct,loss,1,1.5650155668161996,0.47342239863609054,228
qwen_instruct,loss,10,1.4980475146996477,0.7322648741328639,228
qwen_instruct,maximin,1,3.1873391809786145,0.502686936957386,228
qwen_instruct,maximin,10,3.228776188902835,0.6035350742302478,228
qwen_instruct,risk,1,2.453319207937373,0.6656056465620613,228
qwen_instruct,risk,10,2.1358542805796166,0.9393113423727174,228
qwen_instruct,selfish,1,0.14649411117647745,-0.10227850039932718,228
qwen_instruct,selfish,10,0.16909253736746888,-0.1216441772236575,228
