sample,agent_kind,condition,trait_p1,trait_p2,game_code,bruns_name,canonical_id,nagel_lk_type,griffiths_game_id,griffiths_unique_id,griffiths_role,n_pooled,matrix_8vec,payoff_kind,realized_p1,realized_p2,pref0_p1,pref0_p2,ne_count,ne_kind,ne1_p1,ne1_p2,ne2_p1,ne2_p2,ne3_p1,ne3_p2,dom_p1,dom_p2,l1_p1,l1_p2,l2_p1,l2_p2,l3_p1,l3_p2,l1alpha_p1,l1alpha_p2,maximin_p1,maximin_p2,equalsplit_p1,equalsplit_p2,target_paydom_p1,target_paydom_p2,target_riskdom_p1,target_riskdom_p2,target_p1,target_p2,in_model_set,dominance_profile,iesds_depth,num_pure_ne,pure_ne_cells,ne_pareto_rankable,ne_distributional_conflict,payoff_variance,payoff_conflict,p1_maximin_action,p2_maximin_action,joint_maximin_cell,maximin_is_ne,maximin_to_ne_action_distance,maximin_to_ne_payoff_distance,l1_action_p1,l1_action_p2,l2_action_p1,l2_action_p2,near_equal_split_cell,pareto_efficient_cells,source,frac_choose_A,entropy_binary,lk_type,emp_class,up_choice,topology,delta_norm,dominant_action_p1,dominant_action_p2,nash_action_p1,nash_action_p2,payoff_dominant_ne_p1,payoff_dominant_ne_p2,risk_dominant_ne_p1,risk_dominant_ne_p2,l0_action_p1,l0_action_p2,cooperative_action_p1,cooperative_action_p2,canonical_action_p1,canonical_action_p2,complexity_score,complexity_score_n_components
gptoss,llm,baseline,baseline,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.541076973907426,0.5340823827066629,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,inequity_aversion_typeA,inequity_aversion,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.48322551692377336,0.5105706387726366,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,inequity_aversion_typeB,inequity_aversion,inequity_aversion,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.5122081474840511,0.51117800864036,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,length_match_null_typeA,length_match_null,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.48614545179876906,0.4860593871004349,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,level0_naive_typeA,level0_naive,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.6666666666666666,0.3333333333333333,0.5051838702829918,0.5147438161669922,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,1.0,0.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,level0_naive_typeB,level0_naive,level0_naive,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.6666666666666666,0.3333333333333333,0.5051838702829918,0.4503049747703636,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,1.0,0.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,level1_typeA,level1,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.4933122383162923,0.5147438161669922,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,level1_typeB,level1,level1,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.47625793029535535,0.499845283505449,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,level2_typeA,level2,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.5345101850543422,0.5455116370025676,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,level2_typeB,level2,level2,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.5345101850543422,0.5245845084116779,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
