game_code,canonical_action_p1,canonical_action_p2,dominant_action_p1,p1_defect_unique,p2_defect_unique,include_h0,include_h1,include_h2,include_h3,include_h4,h3_oppinc_primary,exclusion_reason,in_qwen,in_qwen_instruct,in_llama31_instruct,in_gptoss,in_game_features
AsAs,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
AsBa,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
AsCh,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
AsCm,1,0,-1,-1,1,True,True,True,True,True,True,,True,True,True,True,True
AsCo,0,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
AsDl,1,0,-1,1,1,True,True,True,True,True,True,,True,True,True,True,True
AsHa,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
AsHr,1,0,-1,-1,-1,True,True,True,True,True,True,,True,True,True,True,True
AsNc,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
AsPc,0,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
AsPd,1,0,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
AsSh,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
BaAs,0,0,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
BaBa,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
BaCh,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
BaCm,0,0,-1,-1,1,True,True,True,True,True,True,,True,True,True,True,True
BaCo,0,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
BaDl,0,0,-1,1,1,True,True,True,True,True,True,,True,True,True,True,True
BaHa,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
BaHr,0,0,-1,-1,-1,True,True,True,True,True,True,,True,True,True,True,True
BaNc,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
BaPc,1,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
BaPd,0,0,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
BaSh,0,0,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ChAs,0,0,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ChBa,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ChCh,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ChCm,0,0,-1,-1,-1,True,True,True,True,True,True,,True,True,True,True,True
ChCo,0,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
ChDl,0,0,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
ChHa,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ChHr,0,0,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
ChNc,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ChPc,1,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
ChPd,0,0,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ChSh,0,0,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
CmAs,1,0,1,0,-1,True,True,True,False,True,False,,True,True,True,True,True
CmBa,1,1,1,0,-1,True,True,True,False,True,False,,True,True,True,True,True
CmCh,1,1,1,-1,-1,True,True,True,False,True,False,,True,True,True,True,True
CmCm,1,0,1,0,1,True,True,True,False,True,False,,True,True,True,True,True
CmCo,1,0,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
CmDl,1,0,1,0,1,True,True,True,False,True,False,,True,True,True,True,True
CmHa,1,1,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
CmHr,1,1,1,0,1,True,True,True,False,True,False,,True,True,True,True,True
CmNc,1,1,1,-1,0,True,True,True,False,True,False,,True,True,True,True,True
CmPc,1,1,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
CmPd,1,0,1,-1,1,True,True,True,False,True,False,,True,True,True,True,True
CmSh,1,0,1,-1,-1,True,True,True,False,True,False,,True,True,True,True,True
CoAs,0,1,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
CoBa,0,1,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
CoCh,0,1,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
CoCm,1,0,-1,1,1,True,True,True,True,True,True,,True,True,True,True,True
CoCo,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
CoDl,1,0,-1,1,1,True,True,True,True,True,True,,True,True,True,True,True
CoHa,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
CoHr,0,0,-1,1,1,True,True,True,True,True,True,,True,True,True,True,True
CoNc,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
CoPc,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
CoPd,1,0,-1,1,1,True,True,True,True,True,True,,True,True,True,True,True
CoSh,0,1,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
DlAs,1,0,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
DlBa,1,1,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
DlCh,1,1,1,-1,0,True,True,True,False,True,False,,True,True,True,True,True
DlCm,1,0,1,0,1,True,True,True,False,True,False,,True,True,True,True,True
DlCo,1,0,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
DlDl,1,0,1,0,1,True,True,True,False,True,False,,True,True,True,True,True
DlHa,1,1,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
DlHr,1,1,1,0,-1,True,True,True,False,True,False,,True,True,True,True,True
DlNc,1,1,1,-1,0,True,True,True,False,True,False,,True,True,True,True,True
DlPc,1,1,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
DlPd,1,0,1,-1,-1,True,True,True,False,True,False,,True,True,True,True,True
DlSh,1,0,1,-1,0,True,True,True,False,True,False,,True,True,True,True,True
HaAs,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HaBa,0,0,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HaCh,0,0,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HaCm,0,0,0,1,1,True,True,True,False,True,False,,True,True,True,True,True
HaCo,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HaDl,0,0,0,1,1,True,True,True,False,True,False,,True,True,True,True,True
HaHa,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HaHr,0,0,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
HaNc,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HaPc,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HaPd,0,0,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
HaSh,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
HrAs,1,0,-1,-1,-1,True,True,True,True,True,True,,True,True,True,True,True
HrBa,1,1,-1,-1,-1,True,True,True,True,True,True,,True,True,True,True,True
HrCh,1,1,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
HrCm,0,0,-1,0,1,True,True,True,True,True,True,,True,True,True,True,True
HrCo,1,1,-1,0,0,True,True,True,True,True,True,,True,True,True,True,True
HrDl,0,0,-1,-1,1,True,True,True,True,True,True,,True,True,True,True,True
HrHa,1,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
HrHr,1,0,-1,0,1,True,True,True,True,True,True,,True,True,True,True,True
HrNc,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
HrPc,1,1,-1,0,0,True,True,True,True,True,True,,True,True,True,True,True
HrPd,0,0,-1,1,1,True,True,True,True,True,True,,True,True,True,True,True
HrSh,1,0,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
NcAs,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcBa,0,0,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcCh,0,0,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcCm,0,0,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
NcCo,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcDl,0,0,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
NcHa,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcHr,0,0,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcNc,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcPc,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcPd,0,0,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
NcSh,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
PcAs,0,1,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
PcBa,0,0,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
PcCh,0,0,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
PcCm,0,0,0,1,1,True,True,True,False,True,False,,True,True,True,True,True
PcCo,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
PcDl,0,0,0,1,1,True,True,True,False,True,False,,True,True,True,True,True
PcHa,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
PcHr,0,0,0,1,1,True,True,True,False,True,False,,True,True,True,True,True
PcNc,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
PcPc,0,1,0,1,0,True,True,True,False,True,False,,True,True,True,True,True
PcPd,0,0,0,1,1,True,True,True,False,True,False,,True,True,True,True,True
PcSh,0,1,0,1,-1,True,True,True,False,True,False,,True,True,True,True,True
PdAs,1,0,1,-1,0,True,True,True,False,True,False,,True,True,True,True,True
PdBa,1,1,1,-1,0,True,True,True,False,True,False,,True,True,True,True,True
PdCh,1,1,1,1,0,True,True,True,False,True,False,,True,True,True,True,True
PdCm,1,0,1,0,-1,True,True,True,False,True,False,,True,True,True,True,True
PdCo,1,0,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
PdDl,1,0,1,-1,-1,True,True,True,False,True,False,,True,True,True,True,True
PdHa,1,1,1,-1,0,True,True,True,False,True,False,,True,True,True,True,True
PdHr,1,1,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
PdNc,1,1,1,1,0,True,True,True,False,True,False,,True,True,True,True,True
PdPc,1,1,1,0,0,True,True,True,False,True,False,,True,True,True,True,True
PdPd,1,0,1,1,0,True,True,True,False,True,False,,True,True,True,True,True
PdSh,1,0,1,1,0,True,True,True,False,True,False,,True,True,True,True,True
ShAs,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ShBa,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ShCh,1,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ShCm,1,0,-1,-1,-1,True,True,True,True,True,True,,True,True,True,True,True
ShCo,0,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
ShDl,1,0,-1,1,-1,True,True,True,True,True,True,,True,True,True,True,True
ShHa,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ShHr,1,0,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
ShNc,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ShPc,0,1,-1,-1,0,True,True,True,True,True,True,,True,True,True,True,True
ShPd,1,0,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
ShSh,0,1,-1,1,0,True,True,True,True,True,True,,True,True,True,True,True
