model,source_game,target_game,source_delta1_c,target_delta1_c,expected_shift_sign,canonical_action_p1,pair_type,source_reuse_count
gptoss,CoPc,HrPd,2.75,-0.5,1,0,same_canonical,1
gptoss,PcPc,ChCo,2.75,-0.375,1,0,same_canonical,1
gptoss,PcAs,BaAs,2.375,-0.25,1,0,same_canonical,1
gptoss,PcHa,BaCo,2.375,-0.25,1,0,same_canonical,1
gptoss,CoHa,BaSh,2.25,-0.25,1,0,same_canonical,1
gptoss,PcCo,CoCh,2.125,-0.25,1,0,same_canonical,1
gptoss,PcNc,ChAs,2.125,-0.125,1,0,same_canonical,1
gptoss,CoCo,AsAs,2.0,0.0,1,0,same_canonical,1
gptoss,HaAs,BaBa,2.0,0.0,1,0,same_canonical,1
gptoss,HaBa,ChBa,2.0,0.0,1,0,same_canonical,1
gptoss,HaCh,ChCh,2.0,0.0,1,0,same_canonical,1
gptoss,HaCm,ChSh,2.0,0.0,1,0,same_canonical,1
gptoss,HaCo,HrCm,2.0,0.0,1,0,same_canonical,1
gptoss,HaDl,ChHr,2.0,0.125,1,0,same_canonical,1
gptoss,HaHa,ShCo,2.0,0.125,1,0,same_canonical,1
gptoss,HaHr,AsCo,2.0,0.25,1,0,same_canonical,1
gptoss,HaNc,BaCh,2.0,0.25,1,0,same_canonical,1
gptoss,HaPc,ChPd,2.0,0.25,1,0,same_canonical,1
gptoss,HaPd,ShSh,2.0,0.25,1,0,same_canonical,1
gptoss,HaSh,ShNc,2.0,0.375,1,0,same_canonical,1
gptoss,PcBa,AsSh,1.875,0.5,1,0,same_canonical,1
gptoss,CoSh,BaHr,1.75,0.5,1,0,same_canonical,1
gptoss,PcHr,BaPd,1.75,0.5,1,0,same_canonical,1
gptoss,PcSh,CoHr,1.75,0.5,1,0,same_canonical,1
gptoss,AsHa,HrDl,1.5,0.5,1,0,same_canonical,1
gptoss,AsPc,ShAs,1.5,0.5,1,0,same_canonical,1
gptoss,HrPd,ShPc,-0.5,0.625,-1,0,same_canonical,1
gptoss,ChCo,BaCm,-0.375,0.75,-1,0,same_canonical,1
gptoss,BaAs,ChDl,-0.25,0.75,-1,0,same_canonical,1
gptoss,BaCo,CoBa,-0.25,0.75,-1,0,same_canonical,1
gptoss,BaSh,ChCm,-0.25,0.875,-1,0,same_canonical,1
gptoss,CoCh,AsNc,-0.25,1.0,-1,0,same_canonical,1
gptoss,ChAs,CoAs,-0.125,1.0,-1,0,same_canonical,1
gptoss,AsAs,NcAs,0.0,1.0,-1,0,same_canonical,1
gptoss,BaBa,NcBa,0.0,1.0,-1,0,same_canonical,1
gptoss,ChBa,NcCh,0.0,1.0,-1,0,same_canonical,1
gptoss,ChCh,NcCm,0.0,1.0,-1,0,same_canonical,1
gptoss,ChSh,NcCo,0.0,1.0,-1,0,same_canonical,1
gptoss,HrCm,NcDl,0.0,1.0,-1,0,same_canonical,1
gptoss,ChHr,NcHa,0.125,1.0,-1,0,same_canonical,1
gptoss,ShCo,NcHr,0.125,1.0,-1,0,same_canonical,1
gptoss,AsCo,NcNc,0.25,1.0,-1,0,same_canonical,1
gptoss,BaCh,NcPc,0.25,1.0,-1,0,same_canonical,1
gptoss,ChPd,NcPd,0.25,1.0,-1,0,same_canonical,1
gptoss,ShSh,NcSh,0.25,1.0,-1,0,same_canonical,1
gptoss,ShNc,ShHa,0.375,1.0,-1,0,same_canonical,1
gptoss,AsSh,PcCm,0.5,1.125,-1,0,same_canonical,1
gptoss,BaHr,BaDl,0.5,1.25,-1,0,same_canonical,1
gptoss,BaPd,PcDl,0.5,1.25,-1,0,same_canonical,1
gptoss,CoHr,AsHa,0.5,1.5,-1,0,same_canonical,1
gptoss,HrDl,AsPc,0.5,1.5,-1,0,same_canonical,1
gptoss,ShAs,CoNc,0.5,1.5,-1,0,same_canonical,1
gptoss,ShPc,PcCh,0.625,1.5,-1,0,same_canonical,1
gptoss,BaCm,PcPd,0.75,1.5,-1,0,same_canonical,1
gptoss,ChDl,CoSh,0.75,1.75,-1,0,same_canonical,1
gptoss,CoBa,PcHr,0.75,1.75,-1,0,same_canonical,1
gptoss,ChCm,PcSh,0.875,1.75,-1,0,same_canonical,1
gptoss,AsNc,PcBa,1.0,1.875,-1,0,same_canonical,1
gptoss,CoAs,CoCo,1.0,2.0,-1,0,same_canonical,1
gptoss,NcAs,HaAs,1.0,2.0,-1,0,same_canonical,1
gptoss,NcBa,HaBa,1.0,2.0,-1,0,same_canonical,1
gptoss,NcCh,HaCh,1.0,2.0,-1,0,same_canonical,1
gptoss,NcCm,HaCm,1.0,2.0,-1,0,same_canonical,1
gptoss,NcCo,HaCo,1.0,2.0,-1,0,same_canonical,1
gptoss,NcDl,HaDl,1.0,2.0,-1,0,same_canonical,1
gptoss,NcHa,HaHa,1.0,2.0,-1,0,same_canonical,1
gptoss,NcHr,HaHr,1.0,2.0,-1,0,same_canonical,1
gptoss,NcNc,HaNc,1.0,2.0,-1,0,same_canonical,1
gptoss,NcPc,HaPc,1.0,2.0,-1,0,same_canonical,1
gptoss,NcPd,HaPd,1.0,2.0,-1,0,same_canonical,1
gptoss,NcSh,HaSh,1.0,2.0,-1,0,same_canonical,1
gptoss,ShHa,PcCo,1.0,2.125,-1,0,same_canonical,1
gptoss,PcCm,PcNc,1.125,2.125,-1,0,same_canonical,1
gptoss,BaDl,CoHa,1.25,2.25,-1,0,same_canonical,1
gptoss,PcDl,PcAs,1.25,2.375,-1,0,same_canonical,1
gptoss,CoNc,PcHa,1.5,2.375,-1,0,same_canonical,1
gptoss,PcCh,CoPc,1.5,2.75,-1,0,same_canonical,1
gptoss,PcPd,PcPc,1.5,2.75,-1,0,same_canonical,1
