model,source_game,target_game,source_delta1_c,target_delta1_c,expected_shift_sign,canonical_action_p1,pair_type,source_reuse_count
llama31_instruct,PcHa,BaCo,2.5,-1.0,1,0,same_canonical,1
llama31_instruct,PcPc,AsNc,2.5,-0.75,1,0,same_canonical,1
llama31_instruct,PcCo,HrPd,2.25,-0.75,1,0,same_canonical,1
llama31_instruct,PcNc,BaSh,2.25,-0.5,1,0,same_canonical,1
llama31_instruct,PcBa,BaAs,2.125,-0.25,1,0,same_canonical,1
llama31_instruct,PcHr,BaBa,2.125,-0.25,1,0,same_canonical,1
llama31_instruct,CoPc,ChAs,2.0,-0.25,1,0,same_canonical,1
llama31_instruct,HaAs,ChCo,2.0,-0.25,1,0,same_canonical,1
llama31_instruct,HaBa,HrCm,2.0,-0.25,1,0,same_canonical,1
llama31_instruct,HaCh,ChBa,2.0,-0.125,1,0,same_canonical,1
llama31_instruct,HaCm,ChCh,2.0,-0.125,1,0,same_canonical,1
llama31_instruct,HaCo,AsAs,2.0,0.0,1,0,same_canonical,1
llama31_instruct,HaDl,BaCh,2.0,0.0,1,0,same_canonical,1
llama31_instruct,HaHa,ChSh,2.0,0.0,1,0,same_canonical,1
llama31_instruct,HaHr,HrDl,2.0,0.0,1,0,same_canonical,1
llama31_instruct,HaNc,ShAs,2.0,0.125,1,0,same_canonical,1
llama31_instruct,HaPc,ShNc,2.0,0.125,1,0,same_canonical,1
llama31_instruct,HaPd,ShSh,2.0,0.125,1,0,same_canonical,1
llama31_instruct,HaSh,AsSh,2.0,0.25,1,0,same_canonical,1
llama31_instruct,PcCh,BaHr,2.0,0.25,1,0,same_canonical,1
llama31_instruct,PcSh,ChCm,2.0,0.25,1,0,same_canonical,1
llama31_instruct,CoHa,ChHr,1.75,0.25,1,0,same_canonical,1
llama31_instruct,PcAs,ChPd,1.75,0.25,1,0,same_canonical,1
llama31_instruct,PcPd,ShCo,1.75,0.25,1,0,same_canonical,1
llama31_instruct,BaCo,ShHa,-1.0,0.375,-1,0,same_canonical,1
llama31_instruct,AsNc,AsCo,-0.75,0.5,-1,0,same_canonical,1
llama31_instruct,HrPd,BaDl,-0.75,0.5,-1,0,same_canonical,1
llama31_instruct,BaSh,BaPd,-0.5,0.5,-1,0,same_canonical,1
llama31_instruct,CoCo,ChDl,1.5,0.5,1,0,same_canonical,1
llama31_instruct,PcCm,CoSh,1.5,0.5,1,0,same_canonical,1
llama31_instruct,PcDl,ShPc,1.5,0.5,1,0,same_canonical,1
llama31_instruct,BaAs,AsHa,-0.25,0.75,-1,0,same_canonical,1
llama31_instruct,BaBa,CoAs,-0.25,0.75,-1,0,same_canonical,1
llama31_instruct,ChAs,CoHr,-0.25,0.75,-1,0,same_canonical,1
llama31_instruct,ChCo,AsPc,-0.25,1.0,-1,0,same_canonical,1
llama31_instruct,HrCm,BaCm,-0.25,1.0,-1,0,same_canonical,1
llama31_instruct,ChBa,CoCh,-0.125,1.0,-1,0,same_canonical,1
llama31_instruct,ChCh,NcAs,-0.125,1.0,-1,0,same_canonical,1
llama31_instruct,AsAs,NcBa,0.0,1.0,-1,0,same_canonical,1
llama31_instruct,BaCh,NcCh,0.0,1.0,-1,0,same_canonical,1
llama31_instruct,ChSh,NcCm,0.0,1.0,-1,0,same_canonical,1
llama31_instruct,HrDl,NcCo,0.0,1.0,-1,0,same_canonical,1
llama31_instruct,ShAs,NcDl,0.125,1.0,-1,0,same_canonical,1
llama31_instruct,ShNc,NcHa,0.125,1.0,-1,0,same_canonical,1
llama31_instruct,ShSh,NcHr,0.125,1.0,-1,0,same_canonical,1
llama31_instruct,AsSh,NcNc,0.25,1.0,-1,0,same_canonical,1
llama31_instruct,BaHr,NcPc,0.25,1.0,-1,0,same_canonical,1
llama31_instruct,ChCm,NcPd,0.25,1.0,-1,0,same_canonical,1
llama31_instruct,ChHr,NcSh,0.25,1.0,-1,0,same_canonical,1
llama31_instruct,ChPd,CoBa,0.25,1.25,-1,0,same_canonical,1
llama31_instruct,ShCo,CoNc,0.25,1.25,-1,0,same_canonical,1
llama31_instruct,ShHa,CoCo,0.375,1.5,-1,0,same_canonical,1
llama31_instruct,AsCo,PcCm,0.5,1.5,-1,0,same_canonical,1
llama31_instruct,BaDl,PcDl,0.5,1.5,-1,0,same_canonical,1
llama31_instruct,BaPd,CoHa,0.5,1.75,-1,0,same_canonical,1
llama31_instruct,ChDl,PcAs,0.5,1.75,-1,0,same_canonical,1
llama31_instruct,CoSh,PcPd,0.5,1.75,-1,0,same_canonical,1
llama31_instruct,ShPc,CoPc,0.5,2.0,-1,0,same_canonical,1
llama31_instruct,AsHa,HaAs,0.75,2.0,-1,0,same_canonical,1
llama31_instruct,CoAs,HaBa,0.75,2.0,-1,0,same_canonical,1
llama31_instruct,CoHr,HaCh,0.75,2.0,-1,0,same_canonical,1
llama31_instruct,AsPc,HaCm,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,BaCm,HaCo,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,CoCh,HaDl,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcAs,HaHa,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcBa,HaHr,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcCh,HaNc,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcCm,HaPc,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcCo,HaPd,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcDl,HaSh,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcHa,PcCh,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcHr,PcSh,1.0,2.0,-1,0,same_canonical,1
llama31_instruct,NcNc,PcBa,1.0,2.125,-1,0,same_canonical,1
llama31_instruct,NcPc,PcHr,1.0,2.125,-1,0,same_canonical,1
llama31_instruct,NcPd,PcCo,1.0,2.25,-1,0,same_canonical,1
llama31_instruct,NcSh,PcNc,1.0,2.25,-1,0,same_canonical,1
llama31_instruct,CoBa,PcHa,1.25,2.5,-1,0,same_canonical,1
llama31_instruct,CoNc,PcPc,1.25,2.5,-1,0,same_canonical,1
llama31_instruct,CmCo,CoCm,2.5,-0.5,1,1,same_canonical,1
llama31_instruct,CmAs,AsBa,2.375,-0.25,1,1,same_canonical,1
llama31_instruct,CmHa,CoPd,2.375,-0.25,1,1,same_canonical,1
llama31_instruct,CmNc,ShBa,2.375,-0.125,1,1,same_canonical,1
llama31_instruct,CmPc,AsCh,2.375,-0.0,1,1,same_canonical,1
llama31_instruct,CmBa,AsHr,2.25,-0.0,1,1,same_canonical,1
llama31_instruct,CmSh,CoDl,2.0,-0.0,1,1,same_canonical,1
llama31_instruct,DlAs,ShHr,2.0,-0.0,1,1,same_canonical,1
llama31_instruct,DlBa,ShCh,2.0,0.125,1,1,same_canonical,1
llama31_instruct,DlCh,ShPd,2.0,0.125,1,1,same_canonical,1
llama31_instruct,DlCm,AsPd,2.0,0.25,1,1,same_canonical,1
llama31_instruct,DlCo,ChNc,2.0,0.375,1,1,same_canonical,1
llama31_instruct,DlDl,ShDl,2.0,0.375,1,1,same_canonical,1
llama31_instruct,DlHa,ChHa,2.0,0.5,1,1,same_canonical,1
llama31_instruct,DlHr,ChPc,2.0,0.5,1,1,same_canonical,1
llama31_instruct,DlNc,HrCh,2.0,0.5,1,1,same_canonical,1
llama31_instruct,DlPc,HrHr,2.0,0.5,1,1,same_canonical,1
llama31_instruct,DlPd,ShCm,2.0,0.5,1,1,same_canonical,1
llama31_instruct,CoCm,AsCm,-0.5,0.75,-1,1,same_canonical,1
llama31_instruct,DlSh,AsDl,2.0,0.75,1,1,same_canonical,1
llama31_instruct,CmCh,BaHa,1.875,0.75,1,1,same_canonical,1
llama31_instruct,AsBa,BaNc,-0.25,1.0,-1,1,same_canonical,1
llama31_instruct,CoPd,BaPc,-0.25,1.0,-1,1,same_canonical,1
llama31_instruct,ShBa,HrBa,-0.125,1.0,-1,1,same_canonical,1
llama31_instruct,AsCh,PdAs,-0.0,1.0,-1,1,same_canonical,1
llama31_instruct,AsHr,PdBa,-0.0,1.0,-1,1,same_canonical,1
llama31_instruct,CoDl,PdCh,-0.0,1.0,-1,1,same_canonical,1
llama31_instruct,ShHr,PdCm,-0.0,1.0,-1,1,same_canonical,1
llama31_instruct,CmDl,PdCo,1.875,1.0,1,1,same_canonical,1
llama31_instruct,ShCh,PdDl,0.125,1.0,-1,1,same_canonical,1
llama31_instruct,ShPd,PdHa,0.125,1.0,-1,1,same_canonical,1
llama31_instruct,AsPd,PdHr,0.25,1.0,-1,1,same_canonical,1
llama31_instruct,CmHr,PdNc,1.75,1.0,1,1,same_canonical,1
llama31_instruct,CmPd,PdPc,1.75,1.0,1,1,same_canonical,1
llama31_instruct,HrHa,PdPd,1.75,1.0,1,1,same_canonical,1
llama31_instruct,HrPc,PdSh,1.75,1.0,1,1,same_canonical,1
llama31_instruct,ChNc,HrAs,0.375,1.25,-1,1,same_canonical,1
llama31_instruct,ShDl,HrCo,0.375,1.25,-1,1,same_canonical,1
llama31_instruct,ChHa,HrNc,0.5,1.5,-1,1,same_canonical,1
