model,source_game,target_game,source_delta1_c,target_delta1_c,expected_shift_sign,canonical_action_p1,pair_type,source_reuse_count
qwen,CoHa,BaCo,3.0,-1.0,1,0,same_canonical,1
qwen,CoPc,BaAs,3.0,-0.75,1,0,same_canonical,1
qwen,PcHa,ChCo,3.0,-0.75,1,0,same_canonical,1
qwen,CoNc,ChAs,2.7333333333333334,-0.375,1,0,same_canonical,1
qwen,PcPc,ChSh,2.7333333333333334,-0.375,1,0,same_canonical,1
qwen,PcNc,BaBa,2.625,-0.25,1,0,same_canonical,1
qwen,PcCo,ChBa,2.6,-0.25,1,0,same_canonical,1
qwen,PcAs,CoHr,2.375,-0.25,1,0,same_canonical,1
qwen,PcSh,ChCh,2.25,0.0,1,0,same_canonical,1
qwen,CoCo,ChHr,2.142857142857143,0.0,1,0,same_canonical,1
qwen,AsHa,BaHr,2.0,0.25,1,0,same_canonical,1
qwen,AsPc,BaSh,2.0,0.25,1,0,same_canonical,1
qwen,BaDl,ChPd,2.0,0.25,1,0,same_canonical,1
qwen,CoSh,CoCh,2.0,0.25,1,0,same_canonical,1
qwen,BaCo,ChCm,-1.0,0.5,-1,0,same_canonical,1
qwen,BaAs,ShAs,-0.75,0.625,-1,0,same_canonical,1
qwen,ChCo,ShSh,-0.75,0.625,-1,0,same_canonical,1
qwen,HaAs,ChDl,2.0,0.7333333333333334,1,0,same_canonical,1
qwen,HaBa,CoBa,2.0,0.75,1,0,same_canonical,1
qwen,ChAs,ShCo,-0.375,0.875,-1,0,same_canonical,1
qwen,ChSh,BaCh,-0.375,1.0,-1,0,same_canonical,1
qwen,BaBa,HrCm,-0.25,1.0,-1,0,same_canonical,1
qwen,ChBa,HrDl,-0.25,1.0,-1,0,same_canonical,1
qwen,CoHr,HrPd,-0.25,1.0,-1,0,same_canonical,1
qwen,ChCh,NcAs,0.0,1.0,-1,0,same_canonical,1
qwen,ChHr,NcBa,0.0,1.0,-1,0,same_canonical,1
qwen,HaCh,NcCh,2.0,1.0,1,0,same_canonical,1
qwen,HaCm,NcCm,2.0,1.0,1,0,same_canonical,1
qwen,HaCo,NcCo,2.0,1.0,1,0,same_canonical,1
qwen,HaDl,NcDl,2.0,1.0,1,0,same_canonical,1
qwen,HaHa,NcHa,2.0,1.0,1,0,same_canonical,1
qwen,HaHr,NcHr,2.0,1.0,1,0,same_canonical,1
qwen,HaNc,NcNc,2.0,1.0,1,0,same_canonical,1
qwen,HaPc,NcPc,2.0,1.0,1,0,same_canonical,1
qwen,HaPd,NcPd,2.0,1.0,1,0,same_canonical,1
qwen,HaSh,NcSh,2.0,1.0,1,0,same_canonical,1
qwen,CoAs,PcCm,1.8571428571428574,1.0,1,0,same_canonical,1
qwen,AsNc,PcDl,1.75,1.0,1,0,same_canonical,1
qwen,BaCm,ShHa,1.75,1.0,1,0,same_canonical,1
qwen,BaHr,ShNc,0.25,1.0,-1,0,same_canonical,1
qwen,BaSh,ShPc,0.25,1.0,-1,0,same_canonical,1
qwen,ChPd,AsAs,0.25,1.1428571428571428,-1,0,same_canonical,1
qwen,CoCh,AsSh,0.25,1.2000000000000002,-1,0,same_canonical,1
qwen,ChCm,PcHr,0.5,1.375,-1,0,same_canonical,1
qwen,ShAs,PcPd,0.625,1.375,-1,0,same_canonical,1
qwen,ShSh,AsCo,0.625,1.4285714285714288,-1,0,same_canonical,1
qwen,ChDl,BaPd,0.7333333333333334,1.5,-1,0,same_canonical,1
qwen,CoBa,PcBa,0.75,1.5333333333333332,-1,0,same_canonical,1
qwen,ShCo,PcCh,0.875,1.625,-1,0,same_canonical,1
qwen,BaCh,AsNc,1.0,1.75,-1,0,same_canonical,1
qwen,HrCm,BaCm,1.0,1.75,-1,0,same_canonical,1
qwen,HrDl,CoAs,1.0,1.8571428571428574,-1,0,same_canonical,1
qwen,HrPd,AsHa,1.0,2.0,-1,0,same_canonical,1
qwen,NcAs,AsPc,1.0,2.0,-1,0,same_canonical,1
qwen,NcBa,BaDl,1.0,2.0,-1,0,same_canonical,1
qwen,NcCh,CoSh,1.0,2.0,-1,0,same_canonical,1
qwen,NcCm,HaAs,1.0,2.0,-1,0,same_canonical,1
qwen,NcCo,HaBa,1.0,2.0,-1,0,same_canonical,1
qwen,NcDl,HaCh,1.0,2.0,-1,0,same_canonical,1
qwen,NcHa,HaCm,1.0,2.0,-1,0,same_canonical,1
qwen,NcHr,HaCo,1.0,2.0,-1,0,same_canonical,1
qwen,NcNc,HaDl,1.0,2.0,-1,0,same_canonical,1
qwen,NcPc,HaHa,1.0,2.0,-1,0,same_canonical,1
qwen,NcPd,HaHr,1.0,2.0,-1,0,same_canonical,1
qwen,NcSh,HaNc,1.0,2.0,-1,0,same_canonical,1
qwen,PcCm,HaPc,1.0,2.0,-1,0,same_canonical,1
qwen,PcDl,HaPd,1.0,2.0,-1,0,same_canonical,1
qwen,ShHa,HaSh,1.0,2.0,-1,0,same_canonical,1
qwen,ShNc,CoCo,1.0,2.142857142857143,-1,0,same_canonical,1
qwen,ShPc,PcSh,1.0,2.25,-1,0,same_canonical,1
qwen,AsAs,PcAs,1.1428571428571428,2.375,-1,0,same_canonical,1
qwen,AsSh,PcCo,1.2000000000000002,2.6,-1,0,same_canonical,1
qwen,PcHr,PcNc,1.375,2.625,-1,0,same_canonical,1
qwen,PcPd,CoNc,1.375,2.7333333333333334,-1,0,same_canonical,1
qwen,AsCo,PcPc,1.4285714285714288,2.7333333333333334,-1,0,same_canonical,1
qwen,BaPd,CoHa,1.5,3.0,-1,0,same_canonical,1
qwen,PcBa,CoPc,1.5333333333333332,3.0,-1,0,same_canonical,1
qwen,PcCh,PcHa,1.625,3.0,-1,0,same_canonical,1
qwen,CmPc,ShBa,3.0,-0.375,1,1,same_canonical,1
qwen,HrHa,BaNc,3.0,-0.25,1,1,same_canonical,1
qwen,CmHa,HrSh,2.875,-0.25,1,1,same_canonical,1
qwen,HrPc,ShHr,2.75,-0.25,1,1,same_canonical,1
qwen,CmNc,AsBa,2.25,-0.0,1,1,same_canonical,1
qwen,CmCo,AsCh,2.125,-0.0,1,1,same_canonical,1
qwen,BaHa,AsHr,2.0,-0.0,1,1,same_canonical,1
qwen,BaPc,ShCh,2.0,-0.0,1,1,same_canonical,1
qwen,DlAs,HrCh,2.0,0.25,1,1,same_canonical,1
qwen,DlBa,HrBa,2.0,0.3333333333333335,1,1,same_canonical,1
qwen,DlCh,CoPd,2.0,0.5,1,1,same_canonical,1
qwen,DlCm,ShCm,2.0,0.5,1,1,same_canonical,1
qwen,DlCo,ShDl,2.0,0.5,1,1,same_canonical,1
qwen,DlDl,ShPd,2.0,0.625,1,1,same_canonical,1
qwen,DlHa,ChNc,2.0,0.75,1,1,same_canonical,1
qwen,DlHr,HrAs,2.0,0.75,1,1,same_canonical,1
qwen,DlNc,HrHr,2.0,0.75,1,1,same_canonical,1
qwen,ShBa,AsPd,-0.375,1.0,-1,1,same_canonical,1
qwen,BaNc,ChHa,-0.25,1.0,-1,1,same_canonical,1
qwen,HrSh,ChPc,-0.25,1.0,-1,1,same_canonical,1
qwen,ShHr,CmDl,-0.25,1.0,-1,1,same_canonical,1
qwen,AsBa,CoCm,-0.0,1.0,-1,1,same_canonical,1
qwen,AsCh,CoDl,-0.0,1.0,-1,1,same_canonical,1
qwen,AsHr,PdAs,-0.0,1.0,-1,1,same_canonical,1
qwen,DlPc,PdBa,2.0,1.0,1,1,same_canonical,1
qwen,DlPd,PdCh,2.0,1.0,1,1,same_canonical,1
qwen,DlSh,PdCm,2.0,1.0,1,1,same_canonical,1
qwen,ShCh,PdCo,-0.0,1.0,-1,1,same_canonical,1
qwen,CmHr,PdDl,1.875,1.0,1,1,same_canonical,1
qwen,CmSh,PdHa,1.875,1.0,1,1,same_canonical,1
qwen,CmBa,PdHr,1.75,1.0,1,1,same_canonical,1
qwen,HrCh,PdNc,0.25,1.0,-1,1,same_canonical,1
qwen,HrBa,PdPc,0.3333333333333335,1.0,-1,1,same_canonical,1
qwen,CmCh,PdPd,1.625,1.0,1,1,same_canonical,1
qwen,AsCm,PdSh,1.5,1.0,1,1,same_canonical,1
qwen,CoPd,CmCm,0.5,1.25,-1,1,same_canonical,1
qwen,ShCm,CmPd,0.5,1.25,-1,1,same_canonical,1
qwen,ShDl,HrNc,0.5,1.25,-1,1,same_canonical,1
qwen,ShPd,AsCm,0.625,1.5,-1,1,same_canonical,1
qwen,ChNc,AsDl,0.75,1.5,-1,1,same_canonical,1
qwen,HrAs,CmAs,0.75,1.5,-1,1,same_canonical,1
qwen,HrHr,HrCo,0.75,1.5,-1,1,same_canonical,1
qwen,AsPd,CmCh,1.0,1.625,-1,1,same_canonical,1
qwen,ChHa,CmBa,1.0,1.75,-1,1,same_canonical,1
qwen,ChPc,CmHr,1.0,1.875,-1,1,same_canonical,1
qwen,CmDl,CmSh,1.0,1.875,-1,1,same_canonical,1
qwen,CoCm,BaHa,1.0,2.0,-1,1,same_canonical,1
qwen,CoDl,BaPc,1.0,2.0,-1,1,same_canonical,1
qwen,PdAs,DlAs,1.0,2.0,-1,1,same_canonical,1
qwen,PdBa,DlBa,1.0,2.0,-1,1,same_canonical,1
qwen,PdCh,DlCh,1.0,2.0,-1,1,same_canonical,1
qwen,PdCm,DlCm,1.0,2.0,-1,1,same_canonical,1
qwen,PdCo,DlCo,1.0,2.0,-1,1,same_canonical,1
qwen,PdDl,DlDl,1.0,2.0,-1,1,same_canonical,1
qwen,PdHa,DlHa,1.0,2.0,-1,1,same_canonical,1
qwen,PdHr,DlHr,1.0,2.0,-1,1,same_canonical,1
qwen,PdNc,DlNc,1.0,2.0,-1,1,same_canonical,1
qwen,PdPc,DlPc,1.0,2.0,-1,1,same_canonical,1
qwen,PdPd,DlPd,1.0,2.0,-1,1,same_canonical,1
qwen,PdSh,DlSh,1.0,2.0,-1,1,same_canonical,1
qwen,CmCm,CmCo,1.25,2.125,-1,1,same_canonical,1
qwen,CmPd,CmNc,1.25,2.25,-1,1,same_canonical,1
qwen,HrNc,HrPc,1.25,2.75,-1,1,same_canonical,1
qwen,AsDl,CmHa,1.5,2.875,-1,1,same_canonical,1
qwen,CmAs,CmPc,1.5,3.0,-1,1,same_canonical,1
qwen,HrCo,HrHa,1.5,3.0,-1,1,same_canonical,1
