model,source_game,target_game,source_delta1_c,target_delta1_c,expected_shift_sign,canonical_action_p1,pair_type,source_reuse_count
qwen_instruct,CoHa,BaCo,3.0,-1.25,1,0,same_canonical,1
qwen_instruct,CoPc,ChCo,3.0,-1.0,1,0,same_canonical,1
qwen_instruct,PcHa,ChAs,3.0,-0.375,1,0,same_canonical,1
qwen_instruct,PcPc,BaAs,3.0,-0.25,1,0,same_canonical,1
qwen_instruct,CoNc,ChSh,2.75,-0.25,1,0,same_canonical,1
qwen_instruct,PcCo,CoHr,2.75,-0.25,1,0,same_canonical,1
qwen_instruct,PcNc,ChCh,2.625,-0.125,1,0,same_canonical,1
qwen_instruct,PcAs,CoBa,2.5,0.0,1,0,same_canonical,1
qwen_instruct,PcSh,CoCh,2.25,0.0,1,0,same_canonical,1
qwen_instruct,AsHa,ChBa,2.0,0.125,1,0,same_canonical,1
qwen_instruct,AsNc,AsAs,2.0,0.25,1,0,same_canonical,1
qwen_instruct,AsPc,BaHr,2.0,0.25,1,0,same_canonical,1
qwen_instruct,BaCm,ChHr,2.0,0.25,1,0,same_canonical,1
qwen_instruct,BaCo,BaBa,-1.25,0.5,-1,0,same_canonical,1
qwen_instruct,BaDl,ShAs,2.0,0.5,1,0,same_canonical,1
qwen_instruct,ChCo,ShSh,-1.0,0.625,-1,0,same_canonical,1
qwen_instruct,BaPd,AsCo,2.0,0.75,1,0,same_canonical,1
qwen_instruct,HaAs,BaCh,2.0,0.75,1,0,same_canonical,1
qwen_instruct,HaBa,BaSh,2.0,0.75,1,0,same_canonical,1
qwen_instruct,HaCh,ChPd,2.0,0.75,1,0,same_canonical,1
qwen_instruct,ChAs,AsSh,-0.375,1.0,-1,0,same_canonical,1
qwen_instruct,BaAs,ChCm,-0.25,1.0,-1,0,same_canonical,1
qwen_instruct,ChSh,ChDl,-0.25,1.0,-1,0,same_canonical,1
qwen_instruct,CoHr,HrCm,-0.25,1.0,-1,0,same_canonical,1
qwen_instruct,ChCh,HrDl,-0.125,1.0,-1,0,same_canonical,1
qwen_instruct,CoBa,HrPd,0.0,1.0,-1,0,same_canonical,1
qwen_instruct,CoCh,NcAs,0.0,1.0,-1,0,same_canonical,1
qwen_instruct,HaCm,NcBa,2.0,1.0,1,0,same_canonical,1
qwen_instruct,HaCo,NcCh,2.0,1.0,1,0,same_canonical,1
