game_code,canonical_action_p1,canonical_action_p2,no_dominant_p1,br_opp0,br_opp1,br_depends_on_opp,unique_br_to_canonical_p2,target_action_p1
AsAs,0,1,True,1,0,True,True,0
AsBa,1,1,True,1,0,True,True,0
AsCh,1,1,True,1,0,True,True,0
AsCm,1,0,True,1,0,True,True,1
AsCo,0,1,True,1,0,True,True,0
AsDl,1,0,True,1,0,True,True,1
AsHa,0,1,True,1,0,True,True,0
AsHr,1,0,True,1,0,True,True,1
AsNc,0,1,True,1,0,True,True,0
AsPc,0,1,True,1,0,True,True,0
AsPd,1,0,True,1,0,True,True,1
AsSh,0,1,True,1,0,True,True,0
BaAs,0,0,True,0,1,True,True,0
BaBa,0,1,True,0,1,True,True,1
BaCh,0,1,True,0,1,True,True,1
BaCm,0,0,True,0,1,True,True,0
BaCo,0,1,True,0,1,True,True,1
BaDl,0,0,True,0,1,True,True,0
BaHa,1,1,True,0,1,True,True,1
BaHr,0,0,True,0,1,True,True,0
BaNc,1,1,True,0,1,True,True,1
BaPc,1,1,True,0,1,True,True,1
BaPd,0,0,True,0,1,True,True,0
BaSh,0,0,True,0,1,True,True,0
ChAs,0,0,True,0,1,True,True,0
ChBa,0,1,True,0,1,True,True,1
ChCh,0,1,True,0,1,True,True,1
ChCm,0,0,True,0,1,True,True,0
ChCo,0,1,True,0,1,True,True,1
ChDl,0,0,True,0,1,True,True,0
ChHa,1,1,True,0,1,True,True,1
ChHr,0,0,True,0,1,True,True,0
ChNc,1,1,True,0,1,True,True,1
ChPc,1,1,True,0,1,True,True,1
ChPd,0,0,True,0,1,True,True,0
ChSh,0,0,True,0,1,True,True,0
CoAs,0,1,True,1,0,True,True,0
CoBa,0,1,True,1,0,True,True,0
CoCh,0,1,True,1,0,True,True,0
CoCm,1,0,True,1,0,True,True,1
CoCo,0,1,True,1,0,True,True,0
CoDl,1,0,True,1,0,True,True,1
CoHa,0,1,True,1,0,True,True,0
CoHr,0,0,True,1,0,True,True,1
CoNc,0,1,True,1,0,True,True,0
CoPc,0,1,True,1,0,True,True,0
CoPd,1,0,True,1,0,True,True,1
CoSh,0,1,True,1,0,True,True,0
HrAs,1,0,True,0,1,True,True,0
HrBa,1,1,True,0,1,True,True,1
HrCh,1,1,True,0,1,True,True,1
HrCm,0,0,True,0,1,True,True,0
HrCo,1,1,True,0,1,True,True,1
HrDl,0,0,True,0,1,True,True,0
HrHa,1,1,True,0,1,True,True,1
HrHr,1,0,True,0,1,True,True,0
HrNc,1,1,True,0,1,True,True,1
HrPc,1,1,True,0,1,True,True,1
HrPd,0,0,True,0,1,True,True,0
HrSh,1,0,True,0,1,True,True,0
ShAs,0,1,True,1,0,True,True,0
ShBa,1,1,True,1,0,True,True,0
ShCh,1,1,True,1,0,True,True,0
ShCm,1,0,True,1,0,True,True,1
ShCo,0,1,True,1,0,True,True,0
ShDl,1,0,True,1,0,True,True,1
ShHa,0,1,True,1,0,True,True,0
ShHr,1,0,True,1,0,True,True,1
ShNc,0,1,True,1,0,True,True,0
ShPc,0,1,True,1,0,True,True,0
ShPd,1,0,True,1,0,True,True,1
ShSh,0,1,True,1,0,True,True,0
