game_code,a_risk,a_loss,a_maximin,a_selfish,a_inequity,p1_maximin_action,l1_action_p1
AsAs,1,1,1,-1,-1,1,-1
AsBa,1,1,1,-1,1,1,-1
AsCh,1,1,1,-1,1,1,-1
AsCm,1,1,1,-1,1,1,-1
AsCo,1,1,1,-1,-1,1,-1
AsDl,1,1,1,-1,1,1,-1
AsHa,1,1,1,-1,0,1,-1
AsHr,1,1,1,-1,1,1,-1
AsNc,1,1,1,-1,-1,1,-1
AsPc,1,1,1,-1,0,1,-1
AsPd,1,1,1,-1,1,1,-1
AsSh,1,1,1,-1,-1,1,-1
BaAs,0,0,0,-1,0,0,-1
BaBa,0,0,0,-1,-1,0,-1
BaCh,0,0,0,-1,-1,0,-1
BaCm,0,0,0,-1,0,0,-1
BaCo,0,0,0,-1,-1,0,-1
BaDl,0,0,0,-1,0,0,-1
BaHa,0,0,0,-1,1,0,-1
BaHr,0,0,0,-1,-1,0,-1
BaNc,0,0,0,-1,-1,0,-1
BaPc,0,0,0,-1,1,0,-1
BaPd,0,0,0,-1,0,0,-1
BaSh,0,0,0,-1,0,0,-1
ChAs,0,0,0,-1,0,0,-1
ChBa,0,0,0,-1,1,0,-1
ChCh,0,0,0,-1,-1,0,-1
ChCm,0,0,0,-1,-1,0,-1
ChCo,0,0,0,-1,0,0,-1
ChDl,0,0,0,-1,0,0,-1
ChHa,0,0,0,-1,-1,0,-1
ChHr,0,0,0,-1,1,0,-1
ChNc,0,0,0,-1,-1,0,-1
ChPc,0,0,0,-1,-1,0,-1
ChPd,0,0,0,-1,0,0,-1
ChSh,0,0,0,-1,0,0,-1
CmAs,1,1,1,1,-1,1,1
CmBa,1,1,1,1,-1,1,1
CmCh,1,1,1,1,-1,1,1
CmCm,1,1,1,1,-1,1,1
CmCo,1,1,1,1,1,1,1
CmDl,1,1,1,1,-1,1,1
CmHa,1,1,1,1,-1,1,1
CmHr,1,1,1,1,-1,1,1
CmNc,1,1,1,1,-1,1,1
CmPc,1,1,1,1,1,1,1
CmPd,1,1,1,1,-1,1,1
CmSh,1,1,1,1,-1,1,1
CoAs,0,0,0,0,-1,0,0
CoBa,0,0,0,0,-1,0,0
CoCh,0,0,0,0,-1,0,0
CoCm,0,0,0,0,1,0,0
CoCo,0,0,0,0,-1,0,0
CoDl,0,0,0,0,1,0,0
CoHa,0,0,0,0,0,0,0
CoHr,0,0,0,0,1,0,0
CoNc,0,0,0,0,0,0,0
CoPc,0,0,0,0,0,0,0
CoPd,0,0,0,0,1,0,0
CoSh,0,0,0,0,-1,0,0
DlAs,1,1,1,1,-1,1,1
DlBa,1,1,1,1,-1,1,1
DlCh,1,1,1,1,-1,1,1
DlCm,1,1,1,1,1,1,1
DlCo,1,1,1,1,-1,1,1
DlDl,1,1,1,1,-1,1,1
DlHa,1,1,1,1,-1,1,1
DlHr,1,1,1,1,1,1,1
DlNc,1,1,1,1,-1,1,1
DlPc,1,1,1,1,-1,1,1
DlPd,1,1,1,1,-1,1,1
DlSh,1,1,1,1,-1,1,1
HaAs,0,0,0,0,0,0,0
HaBa,0,0,0,0,1,0,0
HaCh,0,0,0,0,1,0,0
HaCm,0,0,0,0,1,0,0
HaCo,0,0,0,0,-1,0,0
HaDl,0,0,0,0,-1,0,0
HaHa,0,0,0,0,-1,0,0
HaHr,0,0,0,0,1,0,0
HaNc,0,0,0,0,-1,0,0
HaPc,0,0,0,0,-1,0,0
HaPd,0,0,0,0,-1,0,0
HaSh,0,0,0,0,0,0,0
HrAs,1,1,1,1,-1,1,1
HrBa,1,1,1,1,-1,1,1
HrCh,1,1,1,1,-1,1,1
HrCm,1,1,1,1,0,1,1
HrCo,1,1,1,1,1,1,1
HrDl,1,1,1,1,0,1,1
HrHa,1,1,1,1,1,1,1
HrHr,1,1,1,1,-1,1,1
HrNc,1,1,1,1,-1,1,1
HrPc,1,1,1,1,1,1,1
HrPd,1,1,1,1,-1,1,1
HrSh,1,1,1,1,-1,1,1
NcAs,0,0,0,0,0,0,0
