wave,family,game_code,num_pure_ne,canon_act_p1
1,MP,BaAs,0,0
1,DD,HaCm,1,0
1,OD1,BaCm,1,0
1,OD2,AsHa,1,0
1,CO1,AsAs,2,0
1,CO2,AsCo,2,0
2,MP,AsBa,0,1
2,DD,CmCm,1,1
2,OD1,AsCm,1,1
2,OD2,BaHa,1,1
2,CO1,HrBa,2,1
2,CO2,HrHr,2,1
3,MP,BaCo,0,0
3,DD,HaDl,1,0
3,OD1,BaDl,1,0
3,OD2,AsNc,1,0
3,CO1,AsSh,2,0
3,CO2,BaBa,2,0
4,MP,AsCh,0,1
4,DD,CmDl,1,1
4,OD1,AsDl,1,1
4,OD2,BaNc,1,1
4,CO1,HrCh,2,1
4,CO2,BaCh,2,0
5,MP,BaSh,0,0
5,DD,HaHa,1,0
5,OD1,BaPd,1,0
5,OD2,AsPc,1,0
5,CO1,BaHr,2,0
5,CO2,ChBa,2,0
6,MP,AsHr,0,1
6,DD,CmHa,1,1
6,OD1,AsPd,1,1
6,OD2,BaPc,1,1
6,CO1,ChHr,2,0
6,CO2,ChCh,2,0
7,MP,ChAs,0,0
7,DD,HaNc,1,0
7,OD1,ChCm,1,0
7,OD2,HaAs,1,0
7,CO1,CoCo,2,0
7,CO2,CoAs,2,0
8,MP,HrAs,0,1
8,DD,CmNc,1,1
8,OD1,CmAs,1,1
8,OD2,ChHa,1,1
8,CO1,ShAs,2,0
8,CO2,CoSh,2,0
9,MP,ChCo,0,0
9,DD,HaPc,1,0
9,OD1,ChDl,1,0
9,OD2,HaBa,1,0
9,CO1,ShSh,2,0
9,CO2,ShCo,2,0
