model,round,trait,family,game,a_star,dose,base0,cue0,null0,shift0,nullshift0,abs_shift,abs_nullshift,shift_pref,nullshift_pref,net_pref,base_pref,n_pairs,flips,flips_aligned,source
qwen,1,risk,trait,AsAs,1,-1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,AsBa,1,-1.0,0.75,0.5,0.5,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,AsCh,1,-1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,AsCm,1,-1.0,0.5,0.0,0.5,-0.5,0.0,0.5,0.0,0.5,-0.0,0.5,0.5,4,2,2,corrected_integrated_root
qwen,1,risk,trait,AsCo,1,-1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,AsDl,1,-1.0,0.5,0.0,0.5,-0.5,0.0,0.5,0.0,0.5,-0.0,0.5,0.5,4,2,2,corrected_integrated_root
qwen,1,risk,trait,AsHa,1,-1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,AsHr,1,-1.0,0.5,0.25,0.5,-0.25,0.0,0.25,0.0,0.25,-0.0,0.25,0.5,4,3,2,corrected_integrated_root
qwen,1,risk,trait,AsNc,1,-1.0,0.5,0.25,0.5,-0.25,0.0,0.25,0.0,0.25,-0.0,0.25,0.5,4,3,2,corrected_integrated_root
qwen,1,risk,trait,AsPc,1,-1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,AsPd,1,-1.0,0.75,0.5,1.0,-0.25,0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,AsSh,1,-1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,BaAs,0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4,4,2,corrected_integrated_root
qwen,1,risk,trait,BaBa,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaCh,0,1.0,0.25,0.5,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaCm,0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,4,2,2,corrected_integrated_root
qwen,1,risk,trait,BaCo,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaDl,0,1.0,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaHa,0,1.0,0.25,0.5,0.0,0.25,-0.25,0.25,0.25,0.25,-0.25,0.5,0.25,4,3,2,corrected_integrated_root
qwen,1,risk,trait,BaHr,0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,4,2,2,corrected_integrated_root
