model,round,trait,family,n_games,magnitude,magnitude_lo,magnitude_hi,magnitude_null,flip_rate,flip_rate_aligned,dir_shift,dir_lo,dir_hi,dir_net,dir_net_lo,dir_net_hi,directionality_index,base_pref_mean,dose_slope,dose_slope_lo,dose_slope_hi,dose_r,dose_slope_null,n_movable,dir_net_movable,dir_net_movable_lo,dir_net_movable_hi,source
gptoss,1,inequity,trait,70,0.28214285714285714,0.19285714285714287,0.375,0.10714285714285714,0.28214285714285714,1.0,0.28214285714285714,0.19642857142857142,0.375,0.29642857142857143,0.20357142857142857,0.39285714285714285,1.0,0.7178571428571429,0.16829675572519084,0.10838207275320515,0.24158638790367803,0.4762850272106169,-0.009243797709923658,17,0.22058823529411764,0.07352941176470588,0.38235294117647056,corrected_integrated_root
gptoss,1,loss,trait,144,0.21875,0.16493055555555555,0.2760416666666667,0.1111111111111111,0.21875,1.0,0.21875,0.16493055555555555,0.2760416666666667,0.21180555555555555,0.15625,0.2690972222222222,1.0,0.78125,0.10937500000000001,0.07718971866813754,0.147998998344298,0.3818953401865189,0.003472222222222227,39,0.48717948717948717,0.3717948717948718,0.6025641025641025,corrected_integrated_root
gptoss,1,maximin,rule,144,0.21875,0.16493055555555555,0.2760416666666667,0.1111111111111111,0.21875,1.0,0.21875,0.16493055555555555,0.2760416666666667,0.21180555555555555,0.15625,0.2690972222222222,1.0,0.78125,0.10937500000000001,0.07711517006976189,0.14909334844446023,0.3818953401865189,0.003472222222222227,39,0.48717948717948717,0.36538461538461536,0.6025641025641025,corrected_integrated_root
gptoss,1,risk,trait,144,0.2204861111111111,0.1684027777777778,0.2760416666666667,0.1111111111111111,0.2204861111111111,0.984251968503937,0.21354166666666666,0.1579861111111111,0.2708333333333333,0.2065972222222222,0.15104166666666666,0.2690972222222222,0.968503937007874,0.78125,0.10677083333333337,0.0737981284010667,0.14628332550262146,0.3743082746178714,0.003472222222222227,39,0.4807692307692308,0.36538461538461536,0.5961538461538461,corrected_integrated_root
gptoss,1,selfish,trait,96,0.11458333333333333,0.0625,0.171875,0.041666666666666664,0.11458333333333333,1.0,0.11458333333333333,0.0625,0.171875,0.08854166666666667,0.044270833333333336,0.140625,1.0,0.8854166666666666,0.04583333333333333,0.023564717880713255,0.0734000364038937,0.24569889116569066,0.010416666666666666,13,0.3076923076923077,0.15384615384615385,0.46153846153846156,corrected_integrated_root
llama31_instruct,1,inequity,trait,70,0.42857142857142855,0.35,0.5071428571428571,0.20714285714285716,0.45714285714285713,0.953125,0.4142857142857143,0.32857142857142857,0.49642857142857144,0.4785714285714286,0.375,0.5785714285714286,0.9666666666666668,0.46785714285714286,0.30158635496183206,0.24424993628624533,0.35977539022622246,0.7721506669551444,-0.020574904580152712,41,0.5,0.36585365853658536,0.6280487804878049,corrected_integrated_root
llama31_instruct,1,loss,trait,144,0.2760416666666667,0.24305555555555555,0.3107638888888889,0.171875,0.3246527777777778,0.2192513368983957,-0.18229166666666666,-0.22916666666666666,-0.13194444444444445,-0.18055555555555555,-0.24131944444444445,-0.11453993055555539,-0.660377358490566,0.7361111111111112,-0.15451388888888898,-0.17968184658831293,-0.1269089391469065,-0.6355926916006968,0.000868055555555552,63,-0.023809523809523808,-0.14285714285714285,0.09523809523809523,corrected_integrated_root
llama31_instruct,1,maximin,rule,144,0.2170138888888889,0.1857638888888889,0.2482638888888889,0.171875,0.2899305555555556,0.3652694610778443,-0.078125,-0.12152777777777778,-0.032942708333333175,-0.0763888888888889,-0.125,-0.024305555555555556,-0.36,0.7361111111111112,-0.06770833333333337,-0.09445213582291646,-0.04071840829112222,-0.3330111575385543,0.000868055555555552,63,0.003968253968253968,-0.0873015873015873,0.0992063492063492,corrected_integrated_root
llama31_instruct,1,risk,trait,144,0.3576388888888889,0.3194444444444444,0.3958333333333333,0.171875,0.4097222222222222,0.2330508474576271,-0.21875,-0.2777777777777778,-0.1597222222222222,-0.2170138888888889,-0.2882378472222222,-0.1423611111111111,-0.6116504854368932,0.7361111111111112,-0.19097222222222232,-0.2215920390230195,-0.15925444122340235,-0.6402277711221133,0.000868055555555552,63,0.007936507936507936,-0.11507936507936507,0.13095238095238096,corrected_integrated_root
llama31_instruct,1,selfish,trait,96,0.10677083333333333,0.07291666666666667,0.14322916666666666,0.09635416666666667,0.11197916666666667,0.7209302325581395,0.049479166666666664,0.010416666666666666,0.08854166666666667,0.010416666666666666,-0.026041666666666668,0.046875,0.4634146341463415,0.9114583333333334,0.020833333333333332,0.0038160599847214573,0.03920014398007098,0.17039026792660691,0.017708333333333333,23,0.043478260869565216,-0.05434782608695652,0.14130434782608695,corrected_integrated_root
qwen,1,inequity,trait,70,0.39285714285714285,0.3357142857142857,0.450089285714286,0.06428571428571428,0.42142857142857143,0.9576271186440678,0.38571428571428573,0.32142857142857145,0.44642857142857145,0.37142857142857144,0.30357142857142855,0.44285714285714284,0.9818181818181819,0.48214285714285715,0.28065362595419857,0.2380490691656839,0.3289887599503117,0.801298157892391,0.006917938931297709,42,0.4642857142857143,0.38095238095238093,0.5476190476190477,corrected_integrated_root
qwen,1,loss,trait,144,0.2569444444444444,0.22395833333333334,0.2899305555555556,0.057291666666666664,0.5069444444444444,0.4315068493150685,-0.06944444444444445,-0.12152777777777778,-0.017361111111111112,-0.07465277777777778,-0.13020833333333334,-0.017361111111111112,-0.2702702702702703,0.7204861111111112,-0.08420138888888896,-0.11285785701051144,-0.049220027132128884,-0.36801611248847305,0.0026041666666666683,71,0.0880281690140845,0.01056338028169014,0.16549295774647887,corrected_integrated_root
qwen,1,maximin,rule,144,0.17881944444444445,0.14756944444444445,0.21006944444444445,0.057291666666666664,0.390625,0.5733333333333334,0.057291666666666664,0.015625,0.09895833333333333,0.052083333333333336,0.006944444444444444,0.09895833333333333,0.3203883495145631,0.7204861111111112,0.009548611111111122,-0.016416705287754345,0.03907535322471444,0.05251808333153322,0.0026041666666666683,71,0.16549295774647887,0.09154929577464789,0.23591549295774647,corrected_integrated_root
