rule,winning_rule_share,mean_subject_fit_full_mgn,mean_subject_fit_diagnostic,mean_subject_fit_full_recomputed
Nash Equilibrium,0.0,0.5824248583325942,0.3698571076619857,0.5824248583394925
Near-Equal Split,0.0,0.6266475733015522,0.3831916728258192,0.6266475732939149
Soc-Max,0.0,0.5625923873037694,0.33527346637102734,0.5625923872875093
Pareto Efficiency,0.0,0.3128541512926829,0.1637718649913772,0.3128541512687854
Level-1,0.0,0.562484602150776,0.40240822862774084,0.5624846021187485
Level-1 Alpha,0.42350332594235035,0.772465508773836,0.6748275437299828,0.7724655087459965
Level-2,0.0,0.6704083518070953,0.5126262626262625,0.6704083518107908
Level-2 Alpha,0.019955654101995565,0.7090262380088692,0.5479490022172949,0.7090262379896526
Level-3,0.0,0.6536554569866962,0.4791204730229121,0.6536554570091155
Level-3 Alpha,0.026607538802660754,0.6950141660665188,,
Level-4,0.0,0.6503295146385809,,
Level-4 Alpha,0.05543237250554324,0.69621520081153,,
Level-5,0.0,0.6759207933237251,,
Level-5 Alpha,0.03991130820399113,0.7542960088935698,0.6384885439763488,0.7542960088691797
Rationalizeability,0.0,0.5824248583325942,,
Equal Split,0.0,0.30129034247893577,,
Level-1 Focal Alpha,0.14412416851441243,0.7736357477383592,,
Level-2 Focal Alpha,0.03547671840354767,0.718172579481153,,
Level-3 Focal Alpha,0.011086474501108648,0.6943366592682927,,
Level-4 Focal Alpha,0.004434589800443459,0.7053615422771617,,
Level-5 Focal Alpha,0.09312638580931264,0.7536185020665187,,
PDNE,0.0,0.6205962059578715,0.4344050258684405,0.6205962059620597
cNES,0.09534368070953436,0.6735495195875831,0.47699556541019955,0.673549519586105
rNES,0.050997782705099776,0.6908567381086475,0.511610002463661,0.6908567381128357
RDNE,0.0,0.6243840847649667,0.44198078344419806,0.6243840847499383
RDNE Alpha,0.0,0.6444321261241684,,
