agent,display,rule,family,n_games_diagnostic,fit_diagnostic,ci_lo_diagnostic,ci_hi_diagnostic,n_games_full,fit_full,ci_lo_full,ci_hi_full
qwen,Qwen2.5-72B,Nash Equilibrium,Equilibrium,72,0.4305555555555556,0.3194444444444444,0.5416666666666666,144,0.6527777777777778,0.5763888888888888,0.7291666666666666
qwen,Qwen2.5-72B,RDNE,Equilibrium,72,0.5,0.3888888888888889,0.625,144,0.6944444444444444,0.6180555555555556,0.7638888888888888
qwen,Qwen2.5-72B,PDNE,Equilibrium,72,0.5416666666666666,0.4305555555555556,0.6527777777777778,144,0.7152777777777778,0.6388888888888888,0.7847222222222222
qwen,Qwen2.5-72B,Level-1,Level-k,72,0.4305555555555556,0.3194444444444444,0.5416666666666666,144,0.6180555555555556,0.5347222222222222,0.7013888888888888
qwen,Qwen2.5-72B,Level-2,Level-k,72,0.5694444444444444,0.4583333333333333,0.6805555555555556,144,0.7430555555555556,0.6666666666666666,0.8125
qwen,Qwen2.5-72B,Level-3,Level-k,72,0.5555555555555556,0.4444444444444444,0.6805555555555556,144,0.7361111111111112,0.6666666666666666,0.8055555555555556
qwen,Qwen2.5-72B,Level-1 Alpha,Level-k(alpha),72,0.4722222222222222,0.3611111111111111,0.5833333333333334,144,0.7013888888888888,0.625,0.7777777777777778
qwen,Qwen2.5-72B,Level-2 Alpha,Level-k(alpha),72,0.6111111111111112,0.5,0.7222222222222222,144,0.7708333333333334,0.7013888888888888,0.8333333333333334
qwen,Qwen2.5-72B,Level-5 Alpha,Level-k(alpha),72,0.5833333333333334,0.4722222222222222,0.6944444444444444,144,0.7569444444444444,0.6875,0.8263888888888888
qwen,Qwen2.5-72B,Near-Equal Split,Equity/heuristic,72,0.4722222222222222,0.3472222222222222,0.5833333333333334,144,0.7013888888888888,0.625,0.7708333333333334
qwen,Qwen2.5-72B,cNES,Equity/heuristic,72,0.5,0.375,0.6111111111111112,144,0.7152777777777778,0.6456597222222222,0.7847222222222222
qwen,Qwen2.5-72B,rNES,Equity/heuristic,72,0.6527777777777778,0.5416666666666666,0.7638888888888888,144,0.7916666666666666,0.7289930555555555,0.8541666666666666
qwen,Qwen2.5-72B,Soc-Max,Equity/heuristic,72,0.4861111111111111,0.375,0.5972222222222222,144,0.6666666666666666,0.5902777777777778,0.7430555555555556
qwen,Qwen2.5-72B,Pareto Efficiency,Equity/heuristic,72,0.2916666666666667,0.18055555555555555,0.3888888888888889,144,0.4027777777777778,0.3263888888888889,0.4861111111111111
qwen_instruct,Qwen2.5-72B-Instruct,Nash Equilibrium,Equilibrium,72,0.4444444444444444,0.3333333333333333,0.5555555555555556,144,0.6527777777777778,0.5763888888888888,0.7291666666666666
qwen_instruct,Qwen2.5-72B-Instruct,RDNE,Equilibrium,72,0.5277777777777778,0.4166666666666667,0.6388888888888888,144,0.7013888888888888,0.6319444444444444,0.7708333333333334
qwen_instruct,Qwen2.5-72B-Instruct,PDNE,Equilibrium,72,0.5555555555555556,0.4444444444444444,0.6666666666666666,144,0.7152777777777778,0.6388888888888888,0.7847222222222222
qwen_instruct,Qwen2.5-72B-Instruct,Level-1,Level-k,72,0.5,0.3888888888888889,0.6111111111111112,144,0.6527777777777778,0.5763888888888888,0.7291666666666666
qwen_instruct,Qwen2.5-72B-Instruct,Level-2,Level-k,72,0.6111111111111112,0.5,0.7222222222222222,144,0.7569444444444444,0.6942708333333333,0.8263888888888888
qwen_instruct,Qwen2.5-72B-Instruct,Level-3,Level-k,72,0.5833333333333334,0.4722222222222222,0.6944444444444444,144,0.7430555555555556,0.6736111111111112,0.8125
qwen_instruct,Qwen2.5-72B-Instruct,Level-1 Alpha,Level-k(alpha),72,0.5416666666666666,0.4305555555555556,0.6527777777777778,144,0.75,0.6805555555555556,0.8194444444444444
qwen_instruct,Qwen2.5-72B-Instruct,Level-2 Alpha,Level-k(alpha),72,0.6666666666666666,0.5694444444444444,0.7777777777777778,144,0.8125,0.75,0.875
qwen_instruct,Qwen2.5-72B-Instruct,Level-5 Alpha,Level-k(alpha),72,0.6111111111111112,0.5,0.7222222222222222,144,0.7847222222222222,0.7222222222222222,0.8472222222222222
qwen_instruct,Qwen2.5-72B-Instruct,Near-Equal Split,Equity/heuristic,72,0.4444444444444444,0.3329861111111111,0.5555555555555556,144,0.7013888888888888,0.625,0.7708333333333334
qwen_instruct,Qwen2.5-72B-Instruct,cNES,Equity/heuristic,72,0.4722222222222222,0.3611111111111111,0.5833333333333334,144,0.7152777777777778,0.6458333333333334,0.7847222222222222
qwen_instruct,Qwen2.5-72B-Instruct,rNES,Equity/heuristic,72,0.6388888888888888,0.5277777777777778,0.7361111111111112,144,0.7986111111111112,0.7291666666666666,0.8612847222222213
qwen_instruct,Qwen2.5-72B-Instruct,Soc-Max,Equity/heuristic,72,0.4583333333333333,0.3472222222222222,0.5694444444444444,144,0.6666666666666666,0.5902777777777778,0.7430555555555556
qwen_instruct,Qwen2.5-72B-Instruct,Pareto Efficiency,Equity/heuristic,72,0.2916666666666667,0.18055555555555555,0.3888888888888889,144,0.4027777777777778,0.3263888888888889,0.4861111111111111
llama31_instruct,Llama-3.1-70B-Instruct,Nash Equilibrium,Equilibrium,72,0.3472222222222222,0.2361111111111111,0.4583333333333333,144,0.5555555555555556,0.4722222222222222,0.6388888888888888
llama31_instruct,Llama-3.1-70B-Instruct,RDNE,Equilibrium,72,0.4027777777777778,0.2916666666666667,0.5138888888888888,144,0.5902777777777778,0.5138888888888888,0.6736111111111112
llama31_instruct,Llama-3.1-70B-Instruct,PDNE,Equilibrium,72,0.4166666666666667,0.3055555555555556,0.5277777777777778,144,0.5972222222222222,0.5208333333333334,0.6805555555555556
llama31_instruct,Llama-3.1-70B-Instruct,Level-1,Level-k,72,0.4861111111111111,0.375,0.5972222222222222,144,0.625,0.5484375,0.7083333333333334
llama31_instruct,Llama-3.1-70B-Instruct,Level-2,Level-k,72,0.4444444444444444,0.3333333333333333,0.5555555555555556,144,0.6111111111111112,0.5347222222222222,0.6944444444444444
llama31_instruct,Llama-3.1-70B-Instruct,Level-3,Level-k,72,0.4166666666666667,0.3055555555555556,0.5277777777777778,144,0.5972222222222222,0.5208333333333334,0.6805555555555556
llama31_instruct,Llama-3.1-70B-Instruct,Level-1 Alpha,Level-k(alpha),72,0.5972222222222222,0.4861111111111111,0.7083333333333334,144,0.7013888888888888,0.625,0.7777777777777778
llama31_instruct,Llama-3.1-70B-Instruct,Level-2 Alpha,Level-k(alpha),72,0.4583333333333333,0.3333333333333333,0.5694444444444444,144,0.6319444444444444,0.5555555555555556,0.7152777777777778
llama31_instruct,Llama-3.1-70B-Instruct,Level-5 Alpha,Level-k(alpha),72,0.5555555555555556,0.4444444444444444,0.6666666666666666,144,0.6805555555555556,0.6041666666666666,0.7569444444444444
llama31_instruct,Llama-3.1-70B-Instruct,Near-Equal Split,Equity/heuristic,72,0.2777777777777778,0.18055555555555555,0.375,144,0.5416666666666666,0.4652777777777778,0.625
llama31_instruct,Llama-3.1-70B-Instruct,cNES,Equity/heuristic,72,0.3194444444444444,0.2222222222222222,0.4166666666666667,144,0.5625,0.4861111111111111,0.6458333333333334
llama31_instruct,Llama-3.1-70B-Instruct,rNES,Equity/heuristic,72,0.4166666666666667,0.3055555555555556,0.5277777777777778,144,0.6111111111111112,0.5347222222222222,0.6944444444444444
llama31_instruct,Llama-3.1-70B-Instruct,Soc-Max,Equity/heuristic,72,0.3194444444444444,0.20833333333333334,0.4166666666666667,144,0.5347222222222222,0.4583333333333333,0.6180555555555556
llama31_instruct,Llama-3.1-70B-Instruct,Pareto Efficiency,Equity/heuristic,72,0.18055555555555555,0.09722222222222222,0.2638888888888889,144,0.3333333333333333,0.2637152777777778,0.4166666666666667
