agent,display,family,n_games,R_realized,R_realized_ci_lo,R_realized_ci_hi,R_soft,R_soft_ci_lo,R_soft_ci_hi
gptoss,GPT-OSS-120B,OD1,36,0.8428651597363227,0.7446558845715245,0.9214325798681615,0.8231465787069898,0.7248989405441316,0.9114582003591454
gptoss,GPT-OSS-120B,OD2,36,0.7151931020220851,0.5973419718243272,0.8232233047033631,0.6940167270703318,0.5769136753333407,0.8020469297460132
gptoss,GPT-OSS-120B,DD,36,1.0,1.0,1.0,0.9999999999999675,0.999999999999955,0.9999999999999767
llama31_instruct,Llama-3.1-70B-Instruct,OD1,36,0.3078982608544373,0.1900471306566794,0.43093350557670024,0.209996918286716,0.14536360599487894,0.2759360323680483
llama31_instruct,Llama-3.1-70B-Instruct,OD2,36,0.2445184580307917,0.12265412997053055,0.3605408145042181,0.22474651686814898,0.16209987568628623,0.28269104849882515
llama31_instruct,Llama-3.1-70B-Instruct,DD,36,0.7896925607815146,0.6718414305837567,0.8919697973187218,0.526579794152718,0.4838665216200952,0.5659757957720667
qwen,Qwen2.5-72B,OD1,36,0.22951341598980685,0.10796894915525262,0.35900990403225624,0.14634193912007143,0.12233262093932647,0.1714870295271475
qwen,Qwen2.5-72B,OD2,36,0.20829308203146774,0.08130152735058853,0.330236849925199,0.11165756739551555,0.09184576942405663,0.13360139360497778
qwen,Qwen2.5-72B,DD,36,0.8347292369915046,0.7463408893431862,0.9132966571233432,0.2729300698031797,0.25065340127362506,0.29271946976441876
qwen_instruct,Qwen2.5-72B-Instruct,OD1,36,0.291626415364801,0.1609730318488288,0.4348236516779375,0.30196930523559196,0.1879266749829908,0.41659290120105835
qwen_instruct,Qwen2.5-72B-Instruct,OD2,36,0.25921182459504843,0.12566429046958036,0.38926683891003355,0.24082674879581123,0.1270073377515187,0.3490512406968417
qwen_instruct,Qwen2.5-72B-Instruct,DD,36,0.7758036718926257,0.6637055078389387,0.8740129470574239,0.7635678857763518,0.6802921481793943,0.8369830365257566
griffiths,Zhu et al. (human),OD1,36,0.4665988254352281,0.38661631912462674,0.5476309876699346,,,
griffiths,Zhu et al. (human),OD2,36,0.2934452527246571,0.21164239365094487,0.37102224801010125,,,
griffiths,Zhu et al. (human),DD,36,0.698037736057409,0.6594337912300667,0.7350571898267356,,,
nagel,Moore et al. (human),OD1,36,0.5753817349151379,0.5220566505414455,0.6259189137703686,,,
nagel,Moore et al. (human),OD2,36,0.17140121297683636,0.1266919785290029,0.21805193635544734,,,
nagel,Moore et al. (human),DD,36,0.7526767058883199,0.7196435371023711,0.7808342622382534,,,
