agent,display,family,payoff_kind,aggregation_unit,n_games,n_game_codes,n_source_rows,realized_total,eq_total,random_total,worst_total,best_total,realized_efficiency,eq_efficiency,random_efficiency
gptoss,GPT-OSS-120B,CO1,ordinal_rank,canonical_game_code,9,9,9,5.083333333333333,7.444444444444445,5.0,3.111111111111111,7.555555555555555,0.44027777777777777,0.9722222222222222,0.4277777777777778
gptoss,GPT-OSS-120B,MP,ordinal_rank,canonical_game_code,18,18,18,5.270833333333333,5.0,5.0,3.7777777777777777,6.222222222222222,0.6471354166666666,0.49999999999999994,0.49999999999999994
gptoss,GPT-OSS-120B,OD1,ordinal_rank,canonical_game_code,36,36,36,5.986111111111111,6.333333333333333,5.0,3.5555555555555554,6.666666666666667,0.7971813725490196,0.8823529411764706,0.4735294117647058
gptoss,GPT-OSS-120B,CO2,ordinal_rank,canonical_game_code,9,9,9,5.291666666666667,7.222222222222222,5.0,2.0,7.333333333333333,0.6370370370370371,0.9777777777777779,0.5722222222222223
gptoss,GPT-OSS-120B,OD2,ordinal_rank,canonical_game_code,36,36,36,6.819444444444445,7.0,5.0,2.611111111111111,7.166666666666667,0.9302083333333333,0.9666666666666666,0.5249999999999999
gptoss,GPT-OSS-120B,DD,ordinal_rank,canonical_game_code,36,36,36,6.666666666666667,6.666666666666667,5.0,3.1666666666666665,6.833333333333333,0.9264705882352942,0.9264705882352942,0.5
llama31_instruct,Llama-3.1-70B-Instruct,CO1,ordinal_rank,canonical_game_code,9,9,9,4.611111111111111,7.444444444444445,5.0,3.111111111111111,7.555555555555555,0.3138888888888889,0.9722222222222222,0.4277777777777778
llama31_instruct,Llama-3.1-70B-Instruct,MP,ordinal_rank,canonical_game_code,18,18,18,5.0,5.0,5.0,3.7777777777777777,6.222222222222222,0.5208333333333334,0.49999999999999994,0.49999999999999994
llama31_instruct,Llama-3.1-70B-Instruct,OD1,ordinal_rank,canonical_game_code,36,36,36,5.444444444444445,6.333333333333333,5.0,3.5555555555555554,6.666666666666667,0.5882352941176472,0.8823529411764706,0.4735294117647058
llama31_instruct,Llama-3.1-70B-Instruct,CO2,ordinal_rank,canonical_game_code,9,9,9,5.361111111111111,7.222222222222222,5.0,2.0,7.333333333333333,0.6356481481481482,0.9777777777777779,0.5722222222222223
llama31_instruct,Llama-3.1-70B-Instruct,OD2,ordinal_rank,canonical_game_code,36,36,36,5.958333333333333,7.0,5.0,2.611111111111111,7.166666666666667,0.7324074074074074,0.9666666666666666,0.5249999999999999
llama31_instruct,Llama-3.1-70B-Instruct,DD,ordinal_rank,canonical_game_code,36,36,36,6.444444444444445,6.666666666666667,5.0,3.1666666666666665,6.833333333333333,0.8566176470588235,0.9264705882352942,0.5
qwen,Qwen2.5-72B,CO1,ordinal_rank,canonical_game_code,9,9,9,4.111111111111111,7.444444444444445,5.0,3.111111111111111,7.555555555555555,0.20555555555555557,0.9722222222222222,0.4277777777777778
qwen,Qwen2.5-72B,MP,ordinal_rank,canonical_game_code,18,18,18,5.083333333333333,5.0,5.0,3.7777777777777777,6.222222222222222,0.5520833333333333,0.49999999999999994,0.49999999999999994
qwen,Qwen2.5-72B,OD1,ordinal_rank,canonical_game_code,36,36,36,5.284722222222222,6.333333333333333,5.0,3.5555555555555554,6.666666666666667,0.5377450980392158,0.8823529411764706,0.4735294117647058
qwen,Qwen2.5-72B,CO2,ordinal_rank,canonical_game_code,9,9,9,4.833333333333333,7.222222222222222,5.0,2.0,7.333333333333333,0.5171296296296296,0.9777777777777779,0.5722222222222223
qwen,Qwen2.5-72B,OD2,ordinal_rank,canonical_game_code,36,36,36,5.965277777777778,7.0,5.0,2.611111111111111,7.166666666666667,0.7247685185185184,0.9666666666666666,0.5249999999999999
qwen,Qwen2.5-72B,DD,ordinal_rank,canonical_game_code,36,36,36,6.430555555555555,6.666666666666667,5.0,3.1666666666666665,6.833333333333333,0.8644607843137254,0.9264705882352942,0.5
qwen_instruct,Qwen2.5-72B-Instruct,CO1,ordinal_rank,canonical_game_code,9,9,9,4.444444444444445,7.444444444444445,5.0,3.111111111111111,7.555555555555555,0.27222222222222225,0.9722222222222222,0.4277777777777778
qwen_instruct,Qwen2.5-72B-Instruct,MP,ordinal_rank,canonical_game_code,18,18,18,5.097222222222222,5.0,5.0,3.7777777777777777,6.222222222222222,0.5559895833333333,0.49999999999999994,0.49999999999999994
qwen_instruct,Qwen2.5-72B-Instruct,OD1,ordinal_rank,canonical_game_code,36,36,36,5.402777777777778,6.333333333333333,5.0,3.5555555555555554,6.666666666666667,0.5661764705882354,0.8823529411764706,0.4735294117647058
qwen_instruct,Qwen2.5-72B-Instruct,CO2,ordinal_rank,canonical_game_code,9,9,9,4.666666666666667,7.222222222222222,5.0,2.0,7.333333333333333,0.4962962962962963,0.9777777777777779,0.5722222222222223
qwen_instruct,Qwen2.5-72B-Instruct,OD2,ordinal_rank,canonical_game_code,36,36,36,5.993055555555555,7.0,5.0,2.611111111111111,7.166666666666667,0.731712962962963,0.9666666666666666,0.5249999999999999
qwen_instruct,Qwen2.5-72B-Instruct,DD,ordinal_rank,canonical_game_code,36,36,36,6.333333333333333,6.666666666666667,5.0,3.1666666666666665,6.833333333333333,0.8240196078431372,0.9264705882352942,0.5
nagel,Moore et al. (human),CO1,ordinal,canonical_game_code,9,9,9,5.192052481377272,7.444444444444445,5.0,3.111111111111111,7.555555555555555,0.4663307676198192,0.9722222222222222,0.4277777777777778
nagel,Moore et al. (human),MP,ordinal,canonical_game_code,18,18,18,5.326316542717751,5.0,5.0,3.7777777777777777,6.222222222222222,0.6299227982288937,0.49999999999999994,0.49999999999999994
nagel,Moore et al. (human),OD1,ordinal,canonical_game_code,36,36,36,5.76327386102791,6.333333333333333,5.0,3.5555555555555554,6.666666666666667,0.6981849433888649,0.8823529411764706,0.4735294117647058
nagel,Moore et al. (human),CO2,ordinal,canonical_game_code,9,9,9,5.525159113619596,7.222222222222222,5.0,2.0,7.333333333333333,0.6681999268927299,0.9777777777777779,0.5722222222222223
