agent,sample,cls,realized_total,eq_total,random_total,worst_total,best_total
Qwen2.5-72B,qwen,DD,6.62890625,6.8,5.0,3.1,6.9
Qwen2.5-72B,qwen,OD1,5.747395833333333,6.333333333333333,5.0,3.5555555555555554,6.666666666666667
Qwen2.5-72B,qwen,OD2,6.458333333333333,7.0,5.0,2.611111111111111,7.166666666666667
Qwen2.5-72B,qwen,CO1,5.713541666666667,6.666666666666667,5.0,3.1666666666666665,7.666666666666667
Qwen2.5-72B,qwen,CO2,5.61875,6.8,5.0,2.0,7.4
Qwen2.5-72B,qwen,MP,5.397569444444445,5.0,5.0,3.7777777777777777,6.222222222222222
Qwen2.5-72B-Instruct,qwen_instruct,DD,6.734375,6.8,5.0,3.1,6.9
Qwen2.5-72B-Instruct,qwen_instruct,OD1,5.749131944444445,6.333333333333333,5.0,3.5555555555555554,6.666666666666667
Qwen2.5-72B-Instruct,qwen_instruct,OD2,6.569444444444445,7.0,5.0,2.611111111111111,7.166666666666667
Qwen2.5-72B-Instruct,qwen_instruct,CO1,5.516927083333333,6.666666666666667,5.0,3.1666666666666665,7.666666666666667
Qwen2.5-72B-Instruct,qwen_instruct,CO2,5.3859375,6.8,5.0,2.0,7.4
Qwen2.5-72B-Instruct,qwen_instruct,MP,5.477430555555555,5.0,5.0,3.7777777777777777,6.222222222222222
Llama-3.1-70B-Instruct,llama31_instruct,DD,5.025,6.8,5.0,3.1,6.9
Llama-3.1-70B-Instruct,llama31_instruct,OD1,5.022569444444445,6.333333333333333,5.0,3.5555555555555554,6.666666666666667
Llama-3.1-70B-Instruct,llama31_instruct,OD2,5.064670138888889,7.0,5.0,2.611111111111111,7.166666666666667
Llama-3.1-70B-Instruct,llama31_instruct,CO1,4.984375,6.666666666666667,5.0,3.1666666666666665,7.666666666666667
Llama-3.1-70B-Instruct,llama31_instruct,CO2,5.0890625,6.8,5.0,2.0,7.4
Llama-3.1-70B-Instruct,llama31_instruct,MP,5.071180555555555,5.0,5.0,3.7777777777777777,6.222222222222222
GPT-OSS-120B,gptoss,DD,5.96015625,6.8,5.0,3.1,6.9
GPT-OSS-120B,gptoss,OD1,5.332899305555555,6.333333333333333,5.0,3.5555555555555554,6.666666666666667
GPT-OSS-120B,gptoss,OD2,5.806423611111111,7.0,5.0,2.611111111111111,7.166666666666667
GPT-OSS-120B,gptoss,CO1,5.440104166666667,6.666666666666667,5.0,3.1666666666666665,7.666666666666667
GPT-OSS-120B,gptoss,CO2,5.21875,6.8,5.0,2.0,7.4
GPT-OSS-120B,gptoss,MP,5.144097222222222,5.0,5.0,3.7777777777777777,6.222222222222222
Nagel (human),nagel,DD,6.464038279188152,6.8,5.0,3.1,6.9
Nagel (human),nagel,OD1,5.76327386102791,6.333333333333333,5.0,3.5555555555555554,6.666666666666667
Nagel (human),nagel,OD2,6.0721098824404365,7.0,5.0,2.611111111111111,7.166666666666667
Nagel (human),nagel,CO1,5.269067016059974,6.666666666666667,5.0,3.1666666666666665,7.666666666666667
Nagel (human),nagel,CO2,5.406196626320976,6.8,5.0,2.0,7.4
Nagel (human),nagel,MP,5.32631654271775,5.0,5.0,3.7777777777777777,6.222222222222222
Griffiths (human),griffiths,DD,6.455319165237425,6.8,5.0,3.1,6.9
Griffiths (human),griffiths,OD1,5.74692076590186,6.333333333333333,5.0,3.5555555555555554,6.666666666666667
Griffiths (human),griffiths,OD2,6.229782485498623,7.0,5.0,2.611111111111111,7.166666666666667
Griffiths (human),griffiths,CO1,5.745781266680548,6.666666666666667,5.0,3.1666666666666665,7.666666666666667
Griffiths (human),griffiths,CO2,5.6954768444113695,6.8,5.0,2.0,7.4
Griffiths (human),griffiths,MP,,5.0,5.0,3.7777777777777777,6.222222222222222
