agent,sample,cls,R_realized,R_lo,R_hi,R_softmax,R_softmax_lo,R_softmax_hi
Qwen2.5-72B,qwen,DD,0.8668049010082888,0.8078958495461579,0.9185563047635587,0.4974389635958203,0.4757116465089082,0.5177167266143279
Qwen2.5-72B,qwen,OD1,0.5364420432004269,0.42276068205843415,0.6453860894634207,0.3840351686460607,0.35139044986108786,0.41619679841553475
Qwen2.5-72B,qwen,OD2,0.5775044259115086,0.49102878298425245,0.6454961756427129,0.42384172095584094,0.39172054525779126,0.45205647776744956
Qwen2.5-72B,qwen,CO1,0.5444010028991179,0.4230980478680284,0.6657039579302072,0.3861953921773537,0.33891151172081074,0.4334792726338965
Qwen2.5-72B,qwen,CO2,0.500098620417497,0.37135987696451833,0.6265060136997593,0.35120503395199415,0.3018949908376092,0.4005150770663791
Qwen2.5-72B,qwen,MP,0.7506344505186884,0.6897487971196274,0.8086836354061793,0.836956051117326,0.7780244145228086,0.8961078334919287
Qwen2.5-72B-Instruct,qwen_instruct,DD,0.9643305826175841,0.9330805826175841,0.990625,0.8621484391692299,0.8366956585784793,0.8880581710310789
Qwen2.5-72B-Instruct,qwen_instruct,OD1,0.5715130431610331,0.4617221703666157,0.6827103366406553,0.5479143200910132,0.4574392645517595,0.6331820157185369
Qwen2.5-72B-Instruct,qwen_instruct,OD2,0.6012192437437636,0.5010364786161552,0.6875,0.5724703244926672,0.48923273791142413,0.6479868765357915
Qwen2.5-72B-Instruct,qwen_instruct,CO1,0.4796025708449833,0.34326824257630834,0.6090946673481127,0.482887258746907,0.369970588867146,0.5969329725103681
Qwen2.5-72B-Instruct,qwen_instruct,CO2,0.40413872100437914,0.26668532152174146,0.555109246475325,0.42011938515126374,0.2947157946936495,0.5565851306782601
Qwen2.5-72B-Instruct,qwen_instruct,MP,0.7222341651730492,0.6289290558255277,0.8060246395648171,0.7659049114952822,0.7044153520983204,0.8179915727520096
Llama-3.1-70B-Instruct,llama31_instruct,DD,0.28523333966699577,0.2611383670096715,0.30990026134058357,0.28763714930488027,0.2839491165807996,0.29093279874244016
Llama-3.1-70B-Instruct,llama31_instruct,OD1,0.29864650511026464,0.2744092607232808,0.32158510721352734,0.2944009295715278,0.29153278924500764,0.2971630959050564
Llama-3.1-70B-Instruct,llama31_instruct,OD2,0.2889753044109408,0.2666753003140038,0.3127487359936682,0.28926123743107574,0.28603118564503605,0.29237532021373086
Llama-3.1-70B-Instruct,llama31_instruct,CO1,0.33554996291614075,0.30713410811032976,0.3639658177219518,0.29707352441032003,0.29446824270872923,0.3000539438398018
Llama-3.1-70B-Instruct,llama31_instruct,CO2,0.3077811421695397,0.2884909312131215,0.327071353125958,0.297149324882639,0.2933230752254247,0.3024586318053558
Llama-3.1-70B-Instruct,llama31_instruct,MP,0.8351979678786535,0.7632045841419816,0.905169148831587,0.8479525506789334,0.7560358825473398,0.9398345661257761
GPT-OSS-120B,gptoss,DD,0.6303074476938957,0.5785233836994459,0.6805452799888355,0.4164564948011775,0.4058730860134608,0.4265994808909511
GPT-OSS-120B,gptoss,OD1,0.4281911340491577,0.3710211630292841,0.49617118215940825,0.34712523508937365,0.33073498450348526,0.3641497099007742
GPT-OSS-120B,gptoss,OD2,0.43009635633392507,0.36807069992193125,0.49362024001907673,0.35435240806506746,0.33782406340442894,0.37096424586897164
GPT-OSS-120B,gptoss,CO1,0.4632723021825525,0.365402545254446,0.5622613160097109,0.3323173635450987,0.31633143395451063,0.3471199062797495
GPT-OSS-120B,gptoss,CO2,0.37136458923910415,0.3014377523915789,0.4855846621997756,0.3146598144413172,0.29229931146667587,0.35073475113796626
GPT-OSS-120B,gptoss,MP,0.7613310243941933,0.664793594122599,0.8499175812509071,0.8466956813920677,0.7646426993202734,0.9298526118903229
Nagel (human),nagel,DD,0.8345299185168074,0.81156576625139,0.8560414432599628,,,
Nagel (human),nagel,OD1,0.699749545342827,0.6464878146567915,0.7494737210214863,,,
Nagel (human),nagel,OD2,0.41409217881297317,0.3679806107965817,0.4580901585553262,,,
Nagel (human),nagel,CO1,0.4531966479437786,0.34510533500032053,0.5984912075176724,,,
Nagel (human),nagel,CO2,0.35050190392262515,0.2464416313128493,0.45168572096587456,,,
Nagel (human),nagel,MP,0.6349384374962561,0.5482133109113886,0.7145796380436485,,,
Griffiths (human),griffiths,DD,0.7898733843708896,0.7548613994033595,0.8232925650158894,,,
Griffiths (human),griffiths,OD1,0.6120878095715854,0.5346114009629241,0.6888014535861889,,,
Griffiths (human),griffiths,OD2,0.49421333633594,0.41464136782894434,0.5697640319676781,,,
Griffiths (human),griffiths,CO1,0.5592087870705827,0.4706646556828656,0.6672598809511371,,,
Griffiths (human),griffiths,CO2,0.5122398028655154,0.4221519829034115,0.6070015887963157,,,
Griffiths (human),griffiths,MP,,,,,,
