model,round,trait,family,n_games,conflict_rule,magnitude,magnitude_lo,magnitude_hi,magnitude_null,flip_rate,flip_rate_aligned,dir_shift,dir_lo,dir_hi,dir_net,dir_net_lo,dir_net_hi,directionality_index,aim,base_pref_mean,source
gptoss,1,inequity,trait,17,equal_vs_canonical,0.8676470588235294,0.7058823529411765,1.0,0.029411764705882353,0.8676470588235294,1.0,0.8676470588235294,0.7058823529411765,1.0,0.8676470588235294,0.6911764705882353,1.0,1.0,1.0,0.1323529411764706,corrected_integrated_root
gptoss,1,loss,trait,48,security_vs_optimistic_best,0.4270833333333333,0.3229166666666667,0.5260416666666666,0.25,0.4270833333333333,1.0,0.4270833333333333,0.3229166666666667,0.5260416666666666,0.4583333333333333,0.3541666666666667,0.5677083333333334,1.0,1.0731707317073171,0.5729166666666666,corrected_integrated_root
gptoss,1,maximin,rule,48,security_vs_optimistic_best,0.4270833333333333,0.3229166666666667,0.5260416666666666,0.25,0.4270833333333333,1.0,0.4270833333333333,0.3229166666666667,0.5260416666666666,0.4583333333333333,0.3541666666666667,0.5677083333333334,1.0,1.0731707317073171,0.5729166666666666,corrected_integrated_root
gptoss,1,risk,trait,48,security_vs_optimistic_best,0.4270833333333333,0.3229166666666667,0.5260416666666666,0.25,0.4270833333333333,1.0,0.4270833333333333,0.3229166666666667,0.5260416666666666,0.4583333333333333,0.3541666666666667,0.5677083333333334,1.0,1.0731707317073171,0.5729166666666666,corrected_integrated_root
gptoss,1,selfish,trait,96,uniform_ev_identifiable,0.11458333333333333,0.0625,0.171875,0.041666666666666664,0.11458333333333333,1.0,0.11458333333333333,0.0625,0.171875,0.08854166666666667,0.044270833333333336,0.13802083333333334,1.0,0.7727272727272728,0.8854166666666666,corrected_integrated_root
llama31_instruct,1,inequity,trait,17,equal_vs_canonical,0.6323529411764706,0.47058823529411764,0.7794117647058824,0.16176470588235295,0.6617647058823529,0.9777777777777777,0.6323529411764706,0.47058823529411764,0.7794117647058824,0.7352941176470589,0.5882352941176471,0.8676470588235294,1.0,1.1627906976744187,0.19117647058823528,corrected_integrated_root
llama31_instruct,1,loss,trait,48,security_vs_optimistic_best,0.1875,0.13020833333333334,0.25,0.3229166666666667,0.28125,0.6296296296296297,0.07291666666666667,-0.005208333333333333,0.14583333333333334,0.15625,0.036458333333333336,0.2760416666666667,0.3888888888888889,0.8333333333333334,0.3854166666666667,corrected_integrated_root
llama31_instruct,1,maximin,rule,48,security_vs_optimistic_best,0.28125,0.22916666666666666,0.3333333333333333,0.3229166666666667,0.3854166666666667,0.4594594594594595,-0.03125,-0.125,0.0625,0.052083333333333336,-0.06770833333333333,0.16145833333333334,-0.1111111111111111,0.1851851851851852,0.3854166666666667,corrected_integrated_root
llama31_instruct,1,risk,trait,48,security_vs_optimistic_best,0.22395833333333334,0.16666666666666666,0.28125,0.3229166666666667,0.3177083333333333,0.7868852459016393,0.18229166666666666,0.11458333333333333,0.25,0.265625,0.15625,0.375,0.8139534883720929,1.1860465116279069,0.3854166666666667,corrected_integrated_root
llama31_instruct,1,selfish,trait,96,uniform_ev_identifiable,0.10677083333333333,0.07291666666666667,0.14322916666666666,0.09635416666666667,0.11197916666666667,0.7209302325581395,0.049479166666666664,0.010351562500000022,0.09114583333333333,0.010416666666666666,-0.026041666666666668,0.046875,0.4634146341463415,0.0975609756097561,0.9114583333333334,corrected_integrated_root
qwen,1,inequity,trait,17,equal_vs_canonical,0.5147058823529411,0.4264705882352941,0.6029411764705882,0.029411764705882353,0.5147058823529411,1.0,0.5147058823529411,0.4264705882352941,0.6029411764705882,0.4852941176470588,0.38235294117647056,0.5735294117647058,1.0,0.942857142857143,0.20588235294117646,corrected_integrated_root
qwen,1,loss,trait,48,security_vs_optimistic_best,0.24479166666666666,0.1875,0.296875,0.08854166666666667,0.7135416666666666,0.6715328467153284,0.24479166666666666,0.1875,0.296875,0.28125,0.21354166666666666,0.3489583333333333,1.0,1.148936170212766,0.3541666666666667,corrected_integrated_root
qwen,1,maximin,rule,48,security_vs_optimistic_best,0.2760416666666667,0.22916666666666666,0.3229166666666667,0.08854166666666667,0.6822916666666666,0.7022900763358778,0.2760416666666667,0.22916666666666666,0.3229166666666667,0.3125,0.25,0.3697916666666667,1.0,1.1320754716981132,0.3541666666666667,corrected_integrated_root
qwen,1,risk,trait,48,security_vs_optimistic_best,0.23958333333333334,0.1875,0.2916666666666667,0.08854166666666667,0.7604166666666666,0.6575342465753424,0.23958333333333334,0.1875,0.2916666666666667,0.2760416666666667,0.20833333333333334,0.34375,1.0,1.1521739130434783,0.3541666666666667,corrected_integrated_root
qwen,1,selfish,trait,96,uniform_ev_identifiable,0.06510416666666667,0.0390625,0.09375,0.041666666666666664,0.0859375,0.7878787878787878,0.049479166666666664,0.0234375,0.078125,0.0234375,-0.0026041666666666665,0.049479166666666664,0.7599999999999999,0.36,0.9036458333333334,corrected_integrated_root
qwen_instruct,1,inequity,trait,17,equal_vs_canonical,0.5588235294117647,0.4264705882352941,0.6911764705882353,0.04411764705882353,0.5588235294117647,1.0,0.5588235294117647,0.4264705882352941,0.6911764705882353,0.5441176470588235,0.39705882352941174,0.6911764705882353,1.0,0.9736842105263157,0.23529411764705882,corrected_integrated_root
qwen_instruct,1,loss,trait,48,security_vs_optimistic_best,0.375,0.3177083333333333,0.4270833333333333,0.078125,0.5729166666666666,0.8272727272727273,0.375,0.3177083333333333,0.4270833333333333,0.421875,0.3645833333333333,0.4739583333333333,1.0,1.125,0.375,corrected_integrated_root
qwen_instruct,1,maximin,rule,48,security_vs_optimistic_best,0.3385416666666667,0.2916666666666667,0.3854166666666667,0.078125,0.4322916666666667,0.8554216867469879,0.3072916666666667,0.24479166666666666,0.3645833333333333,0.3541666666666667,0.296875,0.40625,0.9076923076923077,1.0461538461538462,0.375,corrected_integrated_root
