model,trait,category,n,magnitude,net_dir,net_lo,net_hi,base_pref
qwen,risk,Dominance,108,0.2523148148148148,-0.12037037037037036,-0.18055555555555555,-0.05787037037037037,0.7893518518518519
qwen,risk,Coordination,18,0.1527777777777778,0.06944444444444445,-0.05555555555555555,0.19444444444444445,0.5138888888888888
qwen,risk,Mixed,18,0.2777777777777778,0.08333333333333333,-0.09722222222222222,0.2638888888888889,0.5138888888888888
qwen,loss,Dominance,108,0.2662037037037037,-0.12037037037037036,-0.18287037037037038,-0.05555555555555555,0.7893518518518519
qwen,loss,Coordination,18,0.16666666666666666,0.027777777777777776,-0.08333333333333333,0.1527777777777778,0.5138888888888888
qwen,loss,Mixed,18,0.2916666666666667,0.09722222222222222,-0.09722222222222222,0.2777777777777778,0.5138888888888888
qwen,inequity,Dominance,53,0.37264150943396224,0.3490566037735849,0.2641509433962264,0.42924528301886794,0.4858490566037736
qwen,inequity,Coordination,4,0.3125,0.25,0.0,0.5,0.6875
qwen,inequity,Mixed,13,0.5,0.5,0.38461538461538464,0.6153846153846154,0.40384615384615385
qwen,selfish,Dominance,84,0.05357142857142857,0.026785714285714284,0.0,0.05357142857142857,0.9136904761904762
qwen,selfish,Coordination,6,0.08333333333333333,0.041666666666666664,0.0,0.125,0.875
qwen,selfish,Mixed,6,0.20833333333333334,-0.041666666666666664,-0.25,0.125,0.7916666666666666
qwen,maximin,Dominance,108,0.1574074074074074,0.016203703703703703,-0.034722222222222224,0.06712962962962964,0.7893518518518519
qwen,maximin,Coordination,18,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.2638888888888889,0.5138888888888888
qwen,maximin,Mixed,18,0.2638888888888889,0.1527777777777778,-0.013888888888888888,0.3055555555555556,0.5138888888888888
qwen_instruct,risk,Dominance,108,0.28935185185185186,-0.1388888888888889,-0.2037037037037037,-0.06944444444444445,0.7893518518518519
qwen_instruct,risk,Coordination,18,0.2777777777777778,0.1111111111111111,-0.06944444444444445,0.2916666666666667,0.5277777777777778
qwen_instruct,risk,Mixed,18,0.375,0.2361111111111111,0.05555555555555555,0.4305555555555556,0.5416666666666666
qwen_instruct,loss,Dominance,108,0.33796296296296297,-0.17824074074074073,-0.25,-0.10185185185185185,0.7893518518518519
qwen_instruct,loss,Coordination,18,0.2777777777777778,0.1388888888888889,-0.041666666666666664,0.3055555555555556,0.5277777777777778
qwen_instruct,loss,Mixed,18,0.4166666666666667,0.2222222222222222,0.013888888888888888,0.4166666666666667,0.5416666666666666
qwen_instruct,inequity,Dominance,53,0.38207547169811323,0.3113207547169811,0.20754716981132076,0.41509433962264153,0.5235849056603774
qwen_instruct,inequity,Coordination,4,0.1875,0.1875,0.0,0.375,0.75
qwen_instruct,inequity,Mixed,13,0.4807692307692308,0.46153846153846156,0.28846153846153844,0.6346153846153846,0.46153846153846156
qwen_instruct,selfish,Dominance,84,0.07539682539682539,0.04563492063492063,0.01984126984126984,0.07837301587301587,0.9107142857142857
qwen_instruct,selfish,Coordination,6,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666
qwen_instruct,selfish,Mixed,6,0.25,0.25,0.08333333333333333,0.4166666666666667,0.75
qwen_instruct,maximin,Dominance,108,0.11805555555555555,0.08796296296296297,0.05324074074074074,0.125,0.7893518518518519
qwen_instruct,maximin,Coordination,18,0.2222222222222222,0.2222222222222222,0.125,0.3194444444444444,0.5277777777777778
