model,x,clarity,n,mag,mag_lo,mag_hi,net,net_lo,net_hi
qwen,0,"Flat
(gap≈0)",126,0.1840277777777778,0.1626984126984127,0.2058531746031746,0.12946428571428573,0.10416666666666667,0.15476190476190477
qwen,1,"Moderate
(gap≈1)",168,0.1722470238095238,0.15550595238095238,0.18973214285714285,0.017485119047619048,-0.011160714285714286,0.049479166666666664
qwen,2,"Clear
(gap≥2)",160,0.170703125,0.14375,0.1984375,-0.043359375,-0.078515625,-0.008203125
qwen_instruct,0,"Flat
(gap≈0)",126,0.3402777777777778,0.31101190476190477,0.3695436507936508,0.29811507936507936,0.2554563492063492,0.3412698412698413
qwen_instruct,1,"Moderate
(gap≈1)",168,0.2604166666666667,0.23102678571428573,0.2898065476190476,-0.11086309523809523,-0.15513392857142858,-0.06584821428571429
qwen_instruct,2,"Clear
(gap≥2)",160,0.294140625,0.251162109375,0.340244140625,-0.206640625,-0.260947265625,-0.148046875
llama31_instruct,0,"Flat
(gap≈0)",126,0.04365079365079365,0.036210317460317464,0.051587301587301584,-0.010912698412698412,-0.0248015873015873,0.002976190476190476
llama31_instruct,1,"Moderate
(gap≈1)",168,0.041666666666666664,0.03533296130952381,0.04836309523809524,0.02194940476190476,0.011532738095238096,0.031994047619047616
llama31_instruct,2,"Clear
(gap≥2)",160,0.0484375,0.041796875,0.055078125,-0.000390625,-0.012890625,0.012109375
gptoss,0,"Flat
(gap≈0)",126,0.09722222222222222,0.08283730158730158,0.11160714285714286,-0.000496031746031746,-0.020833333333333332,0.019345238095238096
gptoss,1,"Moderate
(gap≈1)",168,0.09151785714285714,0.08072916666666667,0.10230654761904762,0.013392857142857142,-0.002976190476190476,0.030133928571428572
gptoss,2,"Clear
(gap≥2)",160,0.11015625,0.096875,0.1234375,0.00625,-0.0125,0.025
