agent,display,bin,n_games,complexity_mean,p_canon_mean,p_canon_se
qwen,Qwen2.5,0,33,-0.5506226402163094,0.8636363636363636,0.03623319407141854
qwen,Qwen2.5,1,25,-0.2102363829653296,0.82,0.046815239683960466
qwen,Qwen2.5,2,30,0.051923748800932826,0.7416666666666667,0.06168530317954586
qwen,Qwen2.5,3,29,0.268830238736698,0.6379310344827587,0.063974246878191
qwen,Qwen2.5,4,27,0.5570106340392448,0.48148148148148145,0.053252352257888165
qwen_instruct,Qwen2.5-I,0,33,-0.5506226402163094,0.8712121212121212,0.03461300545927474
qwen_instruct,Qwen2.5-I,1,25,-0.2102363829653296,0.83,0.04725815626252609
qwen_instruct,Qwen2.5-I,2,30,0.051923748800932826,0.75,0.05993291268567301
qwen_instruct,Qwen2.5-I,3,29,0.268830238736698,0.646551724137931,0.06508477961440302
qwen_instruct,Qwen2.5-I,4,27,0.5570106340392448,0.5092592592592593,0.054173210455288945
llama31_instruct,Llama,0,33,-0.5506226402163094,0.9090909090909091,0.030421171220092823
llama31_instruct,Llama,1,25,-0.2102363829653296,0.82,0.04453463071962463
llama31_instruct,Llama,2,30,0.051923748800932826,0.7833333333333333,0.051880351591195424
llama31_instruct,Llama,3,29,0.268830238736698,0.6379310344827587,0.058965589260463615
llama31_instruct,Llama,4,27,0.5570106340392448,0.5185185185185185,0.06924234600075062
gptoss,GPT-OSS,0,33,-0.5506226402163094,0.9318181818181818,0.02934078292581377
gptoss,GPT-OSS,1,25,-0.2102363829653296,0.95,0.024999999999999998
gptoss,GPT-OSS,2,30,0.051923748800932826,0.8416666666666667,0.04716584419087129
gptoss,GPT-OSS,3,29,0.268830238736698,0.8448275862068966,0.04871152818119731
gptoss,GPT-OSS,4,27,0.5570106340392448,0.8796296296296297,0.03622689451860262
nagel,Moore et al.,0,33,-0.5506226402163094,0.8536585365853658,0.022161397582312586
nagel,Moore et al.,1,25,-0.2102363829653296,0.7623946784922394,0.0378758883392603
nagel,Moore et al.,2,30,0.051923748800932826,0.7216555801921655,0.03615419181938834
nagel,Moore et al.,3,29,0.268830238736698,0.7132808318678797,0.029117233270352885
nagel,Moore et al.,4,27,0.5570106340392448,0.7020612630368729,0.0270357983858114
