agent,display,subset,n_games,partial_slope_ctrl_delta1c,partial_slope_ci_lo,partial_slope_ci_hi,partial_r_ctrl_delta1c,partial_r_ci_lo,partial_r_ci_hi,spearman_rho_raw,spearman_rho_raw_ci_lo,spearman_rho_raw_ci_hi
qwen,Qwen2.5,all,144,-0.012363461309027796,-0.08182577478200044,0.05482914502481325,-0.026888826718925236,-0.1696602172882317,0.12235697300219389,-0.40684177071023203,-0.5343122515536692,-0.25820232395256815
qwen,Qwen2.5,dominance_solvable,108,-0.025976830970892918,-0.11031380182786006,0.05840159584321338,-0.05815227147104752,-0.2281345662433398,0.13578855145952617,-0.4454002903521081,-0.5951089335647379,-0.26926911206240345
qwen_instruct,Qwen2.5-I,all,144,-0.019305459423529403,-0.09643341302864787,0.05495392712779076,-0.03863284469854058,-0.18276874870366092,0.11137824693528457,-0.3957382420590416,-0.527742208147285,-0.24739464262598235
qwen_instruct,Qwen2.5-I,dominance_solvable,108,-0.03128573157850104,-0.1281434159724745,0.05878864574571499,-0.06265158457619072,-0.2365588802163493,0.12715494293225899,-0.4267651615931576,-0.571322517269602,-0.2561605325971717
llama31_instruct,Llama,all,144,-0.09585751327066795,-0.18345141496699133,-0.010319626886334017,-0.18166472091177066,-0.3301021946674621,-0.021515655473491088,-0.42482598650918657,-0.5560773868755763,-0.2709928013129414
llama31_instruct,Llama,dominance_solvable,108,-0.1348471338491292,-0.23359933221221724,-0.03553165441516574,-0.266037892995423,-0.42097397604703096,-0.0771361364728875,-0.4985693005924043,-0.6326824298225575,-0.3384845713769519
gptoss,GPT-OSS,all,144,0.013422319179363484,-0.06583265837728684,0.09335637559141503,0.024624498665795472,-0.11936049237575547,0.17239725798120936,-0.17542770732206062,-0.3197227707301966,-0.02364128989917825
gptoss,GPT-OSS,dominance_solvable,108,-0.00044218987907877793,-0.04664228438796624,0.041532312692292336,-0.001180508556953911,-0.12952259046109593,0.11436728233082039,-0.22756122350542557,-0.3619754504174558,-0.07821600619631415
nagel,Moore et al.,all,144,0.04392263089438006,-0.001272385218556861,0.0893803678115799,0.16638930260522217,-0.005129396280658773,0.32287647516996754,-0.4355632141565588,-0.5640653951344825,-0.2854009151127912
nagel,Moore et al.,dominance_solvable,108,0.017670351096430816,-0.037447325374010416,0.0767470180454928,0.0643792619726684,-0.1434847552849637,0.27023400080985904,-0.5796668210196935,-0.6783003850899164,-0.45830085464310805
