agent,display,model,n_params,mean_logloss,ci_lo,ci_hi,n_games,n_observations,n_splits,cv_group,ci_method
qwen,Qwen2.5,L0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen,Qwen2.5,NE,0,0.9222551817172983,0.7437201258545632,1.0991910085144612,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen,Qwen2.5,QRE,1,0.5036583443829038,0.4529836165116515,0.5528701270367399,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen,Qwen2.5,Lk,2,0.9440696047271625,0.6770825531994921,1.245223105903636,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen,Qwen2.5,QLk,4,0.40878637181637667,0.35132193287377367,0.4646273981298534,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen,Qwen2.5,CH,1,0.4838224532871447,0.4368241914793357,0.5302941470194551,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen,Qwen2.5,QCH,2,0.46382953186054565,0.41323185642769106,0.5139099722042794,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen_instruct,Qwen2.5-I,L0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen_instruct,Qwen2.5-I,NE,0,0.8884720194073101,0.7158950204415497,1.0670117233541656,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen_instruct,Qwen2.5-I,QRE,1,0.49113936492998456,0.4401868890679625,0.5419607998822575,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen_instruct,Qwen2.5-I,Lk,2,0.9247664483818048,0.6528884556842488,1.2281850788420954,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen_instruct,Qwen2.5-I,QLk,4,0.40991982697416096,0.34944094310530954,0.46686950096103047,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen_instruct,Qwen2.5-I,CH,1,0.47819570256255894,0.4311673078801524,0.5241936521246826,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
qwen_instruct,Qwen2.5-I,QCH,2,0.45742877061101633,0.406472281669136,0.5081156885271533,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
llama31_instruct,Llama,L0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
llama31_instruct,Llama,NE,0,0.8687091600814215,0.6999465836510854,1.0317735214539963,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
llama31_instruct,Llama,QRE,1,0.4900547464855855,0.43825808470934313,0.5399291553682847,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
llama31_instruct,Llama,Lk,2,0.9227692830089372,0.6516731493434129,1.2296644288932785,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
llama31_instruct,Llama,QLk,4,0.4059699216354012,0.34715711120635534,0.46358892375990324,144,576,10,game_code,percentile bootstrap of stored OOF per-game losses; n_boot=2000; no bootstrap refit
