feature,block,mean_abs_shap
dInc_signed_unif,structure,0.9302565745410447
model=gptoss,model,0.4461719721950227
trait=inequity_aversion,trait,0.2170192636289377
complexity_score,structure,0.18056110687735033
trait=risk_aversion,trait,0.161672963695945
trait=loss_aversion,trait,0.15603324869283203
trait=selfish_maximizer,trait,0.1531244606336971
trait=length_match_null,trait,0.13204690208372702
model=llama31_instruct,model,0.07037550883131057
maximin_to_ne_action_distance,structure,0.0400627846347885
maximin_to_ne_payoff_distance,structure,0.029727689127666584
nagel_lk_type=OD2,structure,0.028463781074027417
trait=maximin,trait,0.028150738817375908
nagel_lk_type=OD1,structure,0.027410439328774423
nagel_lk_type=DD,structure,0.018689605469493803
nagel_lk_type=CO1,structure,0.016229044751886273
ne_pareto_rankable=false,structure,0.011574204036572219
ne_pareto_rankable=true,structure,0.011530765882743198
model=qwen,model,0.01138481812525042
model=qwen_instruct,model,0.010652610272085465
ne_pareto_rankable=na,structure,0.004363224582315973
nagel_lk_type=CO2,structure,0.0007290884192166579
maximin_is_ne,structure,0.00035504751888120595
nagel_lk_type=MP,structure,0.0
