term,coef,ci_lo,ci_hi,p_bh
trait:placebo,-0.10050345220101958,-0.22829573105445164,0.027288826652412473,0.18511719084534423
trait:preference,0.09756077992938102,-0.1455236585491515,0.3406452184079135,0.517803673915515
trait:rule,0.030551867318123167,-0.25428727659144074,0.31539101122768703,0.8334913817742641
lk:CO2,0.13501902651129177,-0.3322045414547191,0.6022425944773027,0.6230468271595493
lk:DD,0.37763705615579063,-0.08874225155783172,0.8440163638694129,0.18511719084534423
lk:MP,0.5193699276620771,0.10276735832391615,0.9359724970002381,0.03491448220416772
lk:OD1,0.5913643684316128,0.18867043108386056,0.994058305779365,0.011996733667815715
lk:OD2,0.21220827128602787,-0.17609688160925469,0.6005134241813104,0.3788219420198275
dInc_signed_unif,1.6071761332895043,1.3542453745693197,1.8601068920096888,1.5954917283333333e-34
trait:placebo x Δc,0.39029242654609114,0.23117961163523465,0.5494052414569477,6.10852110315335e-06
trait:preference x Δc,-1.111784532135482,-1.3754229997848482,-0.8481460644861158,8.358874066512351e-16
trait:rule x Δc,-0.24367293958731262,-0.553673419419165,0.06632754024453974,0.18511719084534423
