delta_c,shap_delta_c,model
0.0,-1.3000654917308563,qwen
0.0,-1.054093452715289,qwen
0.0,-1.0449060431569694,qwen
0.0,-0.8171837341167948,qwen
0.0,-1.3146739898515512,qwen
0.0,-1.5818321693001176,qwen
0.0,-1.6067875576168464,qwen
0.0,-1.3000654917308563,qwen
0.0,-1.054093452715289,qwen
0.0,-1.0449060431569694,qwen
0.0,-0.8171837341167948,qwen
0.0,-1.3146739898515512,qwen
0.0,-1.5818321693001176,qwen
0.0,-1.6067875576168464,qwen
0.0,-1.3000654917308563,qwen
0.0,-1.054093452715289,qwen
0.0,-1.0449060431569694,qwen
0.0,-0.8171837341167948,qwen
0.0,-1.3146739898515512,qwen
0.0,-1.5818321693001176,qwen
0.0,-1.6067875576168464,qwen
0.0,-1.3000654917308563,qwen
0.0,-1.054093452715289,qwen
0.0,-1.0449060431569694,qwen
0.0,-0.8171837341167948,qwen
0.0,-1.3146739898515512,qwen
0.0,-1.5818321693001176,qwen
0.0,-1.6067875576168464,qwen
-0.0,-1.196750208091834,qwen
-0.0,-0.8081955998231057,qwen
-0.0,-0.8718919056118858,qwen
-0.0,-0.5098475344221283,qwen
-0.0,-1.21009692278696,qwen
-0.0,-1.5910527416811395,qwen
-0.0,-1.4787103687640977,qwen
-0.0,-1.196750208091834,qwen
-0.0,-0.8081955998231057,qwen
-0.0,-0.8718919056118858,qwen
-0.0,-0.5098475344221283,qwen
-0.0,-1.21009692278696,qwen
-0.0,-1.5910527416811395,qwen
-0.0,-1.4787103687640977,qwen
-0.0,-1.196750208091834,qwen
-0.0,-0.8081955998231057,qwen
-0.0,-0.8718919056118858,qwen
-0.0,-0.5098475344221283,qwen
-0.0,-1.21009692278696,qwen
-0.0,-1.5910527416811395,qwen
-0.0,-1.4787103687640977,qwen
-0.0,-1.196750208091834,qwen
-0.0,-0.8081955998231057,qwen
-0.0,-0.8718919056118858,qwen
-0.0,-0.5098475344221283,qwen
-0.0,-1.21009692278696,qwen
-0.0,-1.5910527416811395,qwen
-0.0,-1.4787103687640977,qwen
-0.0,-1.060838026085406,qwen
-0.0,-0.7766219676936711,qwen
-0.0,-0.7230792873776007,qwen
-0.0,-0.35257787892672754,qwen
-0.0,-1.061464761553664,qwen
-0.0,-1.3603550746852235,qwen
-0.0,-1.2824563475044175,qwen
-0.0,-1.060838026085406,qwen
-0.0,-0.7766219676936711,qwen
-0.0,-0.7230792873776007,qwen
-0.0,-0.35257787892672754,qwen
-0.0,-1.061464761553664,qwen
-0.0,-1.3603550746852235,qwen
-0.0,-1.2824563475044175,qwen
-0.0,-1.060838026085406,qwen
-0.0,-0.7766219676936711,qwen
-0.0,-0.7230792873776007,qwen
-0.0,-0.35257787892672754,qwen
-0.0,-1.061464761553664,qwen
-0.0,-1.3603550746852235,qwen
