model,probe,label,auc,lo,hi,n,n_games,base_rate,row_scope
qwen_instruct,canonical_action,Canonical action,0.8658318696626491,0.8262174988552006,0.9003409104017963,576,144,0.7256944444444444,parsed_generated_choice
qwen_instruct,sign_delta1c,Incentive sign (Δ1c),0.868968621399177,0.8249464847820969,0.9088362448613382,576,144,0.625,all_p1_baseline_captures
qwen_instruct,dominant_action_p1,Dominant action,0.997974537037037,0.9948375676914168,0.9997586919136399,288,72,0.5,all_p1_baseline_captures
qwen_instruct,sign_delta2c,Opponent incentive (Δ2c),0.42703189300411526,0.36372748087761675,0.4870917165599183,576,144,0.625,all_p1_baseline_captures
qwen_instruct,label_axis_J,Emitted label = J,0.9982707647682267,0.9966760103515662,0.9994169611901911,576,144,0.3159722222222222,parsed_generated_choice
qwen_instruct,stim_control_cell00,"Stimulus control (cell(0,0) rank)",0.8341968677662037,0.8045131137125199,0.8610673963436302,576,144,,all_p1_baseline_captures
qwen,canonical_action,Canonical action,0.8266755142667551,0.7869252927502512,0.8626419861122733,576,144,0.7135416666666666,parsed_generated_choice
qwen,sign_delta1c,Incentive sign (Δ1c),0.8470036008230454,0.8031103232573905,0.8865178288608653,576,144,0.625,all_p1_baseline_captures
qwen,dominant_action_p1,Dominant action,0.9992283950617284,0.9974127276532062,1.0,288,72,0.5,all_p1_baseline_captures
qwen,sign_delta2c,Opponent incentive (Δ2c),0.4893389917695473,0.4281724881753594,0.5506727018764495,576,144,0.625,all_p1_baseline_captures
qwen,label_axis_J,Emitted label = J,0.9962596810300477,0.9935760655706987,0.9982713549502115,576,144,0.3177083333333333,parsed_generated_choice
qwen,stim_control_cell00,"Stimulus control (cell(0,0) rank)",0.8017126012731483,0.7677281721943222,0.8332953521387926,576,144,,all_p1_baseline_captures
llama31_instruct,canonical_action,Canonical action,0.7869953051643193,0.7406622149835375,0.8302007854253403,576,144,0.7395833333333334,parsed_generated_choice
llama31_instruct,sign_delta1c,Incentive sign (Δ1c),0.7674639917695474,0.7165254237288136,0.8192712017621183,576,144,0.625,all_p1_baseline_captures
llama31_instruct,dominant_action_p1,Dominant action,0.9998553240740741,0.9994172494172494,1.0,288,72,0.5,all_p1_baseline_captures
llama31_instruct,sign_delta2c,Opponent incentive (Δ2c),0.4616512345679013,0.39678894276819926,0.5266909630364491,576,144,0.625,all_p1_baseline_captures
llama31_instruct,label_axis_J,Emitted label = J,0.9949515657834043,0.9910900381888916,0.9976981945031601,576,144,0.3784722222222222,parsed_generated_choice
llama31_instruct,stim_control_cell00,"Stimulus control (cell(0,0) rank)",0.8294451678240741,0.7963495362658785,0.8609921950784808,576,144,,all_p1_baseline_captures
gptoss,canonical_action,Canonical action,0.802388414568248,0.7297203668441877,0.8667899088471768,525,144,0.9276190476190476,pure_commitment
gptoss,sign_delta1c,Incentive sign (Δ1c),0.8945601851851851,0.8533946837418084,0.9296107182559288,576,144,0.625,all_p1_baseline_captures
gptoss,dominant_action_p1,Dominant action,0.6659432870370371,0.5970828375825368,0.7352924708393459,288,72,0.5,all_p1_baseline_captures
gptoss,sign_delta2c,Opponent incentive (Δ2c),0.5513631687242798,0.5007000200945918,0.6037259145743363,576,144,0.625,all_p1_baseline_captures
gptoss,label_axis_J,Emitted label = J,1.0,0.9999999999999999,1.0,525,144,0.4819047619047619,pure_commitment
gptoss,stim_control_cell00,"Stimulus control (cell(0,0) rank)",0.5667905454282408,0.5321261298081733,0.6015257922437035,576,144,,all_p1_baseline_captures
