model,layer,depth_frac,angle_deg,null_lo,null_med,null_hi,perm_p,sig,gain_r,dec_cohen_d,belief,row_scope,n_obs,n_games
gptoss,0,0.0,4.878529026674046,0.8592869300714727,52.03830948551236,178.13975888800206,0.15422885572139303,False,0.20940400610397075,0.935389355654273,uniform,heterogeneous_all,576,144
gptoss,1,0.027777777777777776,14.523690172409815,9.445003090675282,54.593273790768094,160.41712759132963,0.08955223880597014,False,0.20720935774269855,0.9307299307653198,uniform,heterogeneous_all,576,144
gptoss,2,0.05555555555555555,17.524339214967494,12.686196981467765,66.9817650010236,154.44155571949392,0.07462686567164178,False,0.21904541649477163,0.9298306225558286,uniform,heterogeneous_all,576,144
gptoss,3,0.08333333333333333,23.219473946415864,13.244491563010493,76.96293045870453,149.42470528278685,0.13930348258706468,False,0.21762285014265756,0.9391446610379828,uniform,heterogeneous_all,576,144
gptoss,4,0.1111111111111111,20.39232019345623,15.673096494753091,64.9516279331207,158.136398991417,0.07462686567164178,False,0.2158536978164075,0.9395461110556623,uniform,heterogeneous_all,576,144
gptoss,5,0.1388888888888889,23.863490665676185,16.83544393333629,66.58946963204758,146.24334634727302,0.13432835820895522,False,0.2040580971130982,0.9436149484555294,uniform,heterogeneous_all,576,144
gptoss,6,0.16666666666666666,23.166232539216228,14.095990195558352,64.2835309311403,151.3271663010738,0.12437810945273632,False,0.20138834214539553,0.9449031019286221,uniform,heterogeneous_all,576,144
gptoss,7,0.19444444444444445,30.934412158009142,15.025257815173333,74.12726000976676,154.71677390644084,0.12935323383084577,False,0.20021453528976121,0.9491669328937916,uniform,heterogeneous_all,576,144
gptoss,8,0.2222222222222222,31.68761704381217,16.554100571888984,64.60864161323796,147.38001046200532,0.20398009950248755,False,0.18909997028268494,0.9461312849891998,uniform,heterogeneous_all,576,144
gptoss,9,0.25,34.70051714039254,18.911733540421764,69.35667062917642,140.21534662627533,0.1691542288557214,False,0.18190976947242943,0.953513379465244,uniform,heterogeneous_all,576,144
gptoss,10,0.2777777777777778,32.85912908088881,19.637424608762025,66.55395025127763,142.0143641772297,0.13432835820895522,False,0.18377105095906232,0.9632607938692914,uniform,heterogeneous_all,576,144
gptoss,11,0.3055555555555556,36.92806373307036,20.210563339527297,71.55055790859625,142.7939233181487,0.17412935323383086,False,0.175203371707524,0.9710165589004354,uniform,heterogeneous_all,576,144
gptoss,12,0.3333333333333333,38.65164107672022,20.854764675630214,70.42936569438609,137.91177103856938,0.19402985074626866,False,0.17276673276085774,0.9743389230337659,uniform,heterogeneous_all,576,144
gptoss,13,0.3611111111111111,40.07599428447929,23.771052849504503,71.62371764600309,128.3804390923571,0.17412935323383086,False,0.17455682132523945,0.9862820977374005,uniform,heterogeneous_all,576,144
gptoss,14,0.3888888888888889,39.91804879429663,22.522779930077796,67.65643971402201,142.40132674675283,0.22885572139303484,False,0.16888440821139636,0.9951105178982276,uniform,heterogeneous_all,576,144
gptoss,15,0.4166666666666667,41.94441083029173,25.759754652631695,75.16675213690718,139.76948930705467,0.19402985074626866,False,0.1610578525868781,0.9868393409898094,uniform,heterogeneous_all,576,144
gptoss,16,0.4444444444444444,39.4112951499962,28.59247412851638,74.15980534649594,139.9450490103636,0.13930348258706468,False,0.18369731213790588,0.9990436228122094,uniform,heterogeneous_all,576,144
gptoss,17,0.4722222222222222,40.43456536026504,27.641355453712634,74.93372793420814,134.22374058396926,0.13930348258706468,False,0.18895278236570592,1.0011396323643675,uniform,heterogeneous_all,576,144
gptoss,18,0.5,37.809951970421395,25.55292019271752,68.7637169752493,131.15006528787268,0.12935323383084577,False,0.21236000269572494,1.0047049450268635,uniform,heterogeneous_all,576,144
gptoss,19,0.5277777777777778,35.59855764225239,23.466869463407715,74.15425598030714,142.12038218728767,0.14427860696517414,False,0.223175009894108,0.9968525142270525,uniform,heterogeneous_all,576,144
gptoss,20,0.5555555555555556,31.76619541762664,29.998375280416433,69.9940330223164,136.6710414989629,0.04477611940298507,True,0.23028684157263885,0.9745733394645741,uniform,heterogeneous_all,576,144
gptoss,21,0.5833333333333334,32.740537820383544,25.575821291957826,73.73237710117368,133.566772945731,0.06965174129353234,False,0.2192071820748821,0.9733079491670247,uniform,heterogeneous_all,576,144
gptoss,22,0.6111111111111112,33.11747125859493,26.28621325005999,65.83909764559013,134.20061085700354,0.0945273631840796,False,0.20909888516027747,0.9709947090600907,uniform,heterogeneous_all,576,144
