substrate,belief,layer,depth_frac,angle_deg,null_lo,null_med,null_hi,perm_p,sig,n,n_games,row_scope
router_gate,uniform,1,0.02857142857142857,39.190603535455,32.927246767070606,56.48804532113881,93.9652633676364,0.09950248756218906,False,541,144,uniform_transition_policy
router_gate,uniform,3,0.08571428571428572,25.70130066063695,22.67200669990759,46.51591358935992,93.12362238004133,0.05970149253731343,False,541,144,uniform_transition_policy
router_gate,uniform,6,0.17142857142857143,31.803679749207753,26.58432003412042,45.72940620478132,95.2278501379226,0.10945273631840796,False,541,144,uniform_transition_policy
router_gate,uniform,9,0.2571428571428571,32.281430167162924,24.792242052917977,50.01766999715528,86.78053410136661,0.14427860696517414,False,541,144,uniform_transition_policy
router_gate,uniform,12,0.34285714285714286,31.972956778405543,23.144450243613463,40.99292314800958,81.70001383542176,0.21890547263681592,False,541,144,uniform_transition_policy
router_gate,uniform,15,0.42857142857142855,31.305984689077462,17.891554387749558,38.71708640353846,89.73253722074256,0.32338308457711445,False,541,144,uniform_transition_policy
router_gate,uniform,18,0.5142857142857142,22.10713179930291,13.457953132886185,30.259071449820464,97.96924806320614,0.2736318407960199,False,541,144,uniform_transition_policy
router_gate,uniform,21,0.6,29.346959878478355,15.903163146604621,33.42785656897816,93.1018591643396,0.40298507462686567,False,541,144,uniform_transition_policy
router_gate,uniform,22,0.6285714285714286,28.860484896631796,15.350710161134815,34.383918518653786,108.37330251532568,0.3880597014925373,False,541,144,uniform_transition_policy
router_gate,uniform,24,0.6857142857142857,32.685609407430384,17.81787146754845,36.28378353721703,101.60834379220404,0.39800995024875624,False,541,144,uniform_transition_policy
router_gate,uniform,27,0.7714285714285715,33.41195991076706,16.77690216481002,38.57331956579343,103.03224314485402,0.38308457711442784,False,541,144,uniform_transition_policy
router_gate,uniform,30,0.8571428571428571,38.445058818404654,19.409151496920632,41.34602527694955,89.84417530170307,0.43283582089552236,False,541,144,uniform_transition_policy
router_gate,uniform,33,0.9428571428571428,34.23091117321649,19.427267803574715,41.90749347420247,107.9388978043421,0.3333333333333333,False,541,144,uniform_transition_policy
router_gate,uniform,35,1.0,41.89213405520958,18.842626565957897,49.4621282324994,114.14359963316363,0.39303482587064675,False,541,144,uniform_transition_policy
router_gate,empirical,1,0.02857142857142857,30.936977392006902,34.39415701494382,55.58609800585679,96.47968043558333,0.014925373134328358,True,541,144,uniform_transition_policy
router_gate,empirical,3,0.08571428571428572,21.46130454803135,27.646117993054855,45.37918912445264,90.0589780748295,0.009950248756218905,True,541,144,uniform_transition_policy
router_gate,empirical,6,0.17142857142857143,21.98919783937401,27.507885285260876,46.825810797201356,88.19051941214377,0.004975124378109453,True,541,144,uniform_transition_policy
router_gate,empirical,9,0.2571428571428571,26.611318553618148,28.413303028464384,48.27494800216968,89.71506649097519,0.014925373134328358,True,541,144,uniform_transition_policy
router_gate,empirical,12,0.34285714285714286,22.96193125200857,22.186544575280298,42.184483307820905,84.68969611212478,0.03980099502487562,True,541,144,uniform_transition_policy
router_gate,empirical,15,0.42857142857142855,22.17673057308262,20.28358108407767,39.66224044837359,91.45779877751315,0.04975124378109453,True,541,144,uniform_transition_policy
router_gate,empirical,18,0.5142857142857142,21.53461649633069,14.425774263893173,27.647174979270048,116.20005515995291,0.2736318407960199,False,541,144,uniform_transition_policy
router_gate,empirical,21,0.6,27.24442067328703,16.214666344350412,36.97707229275531,107.73764112722456,0.30845771144278605,False,541,144,uniform_transition_policy
router_gate,empirical,22,0.6285714285714286,24.226936968506894,16.906247691639468,36.34778250468298,96.91458744227515,0.20398009950248755,False,541,144,uniform_transition_policy
router_gate,empirical,24,0.6857142857142857,30.24283565534691,18.48061113116461,39.11306528076427,106.45942933187916,0.31343283582089554,False,541,144,uniform_transition_policy
router_gate,empirical,27,0.7714285714285715,24.330875449581097,19.200403965592038,37.50268402410711,104.42449081524032,0.09950248756218906,False,541,144,uniform_transition_policy
router_gate,empirical,30,0.8571428571428571,29.72762687485878,21.49647748612038,42.70271109945034,100.95199905353876,0.16417910447761194,False,541,144,uniform_transition_policy
router_gate,empirical,33,0.9428571428571428,28.21763501223438,21.83358143219975,42.84185091925539,114.16032540261395,0.12935323383084577,False,541,144,uniform_transition_policy
router_gate,empirical,35,1.0,40.72792253640369,20.696236094566718,49.10463007058601,118.72998660643162,0.3781094527363184,False,541,144,uniform_transition_policy
