model,layer,metric,auc,auc_ci_lo,auc_ci_hi,n_obs,n_games,auc_gain_over_embedding
qwen_instruct,0,canonical_action_auc,0.43728423475258915,0.370228534585329,0.5083325266482774,576,144,0.0
qwen_instruct,1,canonical_action_auc,0.7630519047907457,0.7199100710359901,0.8061651818004418,576,144,0.32576767003815654
qwen_instruct,5,canonical_action_auc,0.6417236993519471,0.5887370750820475,0.6927063660047842,576,144,0.2044394645993579
qwen_instruct,10,canonical_action_auc,0.604975470898189,0.553665718833211,0.6559289364327833,576,144,0.1676912361455999
qwen_instruct,15,canonical_action_auc,0.5537369026709467,0.504409956437096,0.6065590623494646,576,144,0.11645266791835751
qwen_instruct,20,canonical_action_auc,0.5627309066682817,0.5146044171935938,0.6135371024586097,576,144,0.1254466719156926
qwen_instruct,25,canonical_action_auc,0.575404275937254,0.5256225133453067,0.6253113970444828,576,144,0.1381200411846648
qwen_instruct,30,canonical_action_auc,0.5427139482769063,0.49503494601024817,0.5875092181942602,576,144,0.10542971352431718
qwen_instruct,35,canonical_action_auc,0.5887135848828053,0.533076307043162,0.6502054639665952,576,144,0.1514293501302162
qwen_instruct,40,canonical_action_auc,0.5603537035915451,0.5010643230239956,0.6186444864773304,576,144,0.12306946883895598
qwen_instruct,45,canonical_action_auc,0.5652595239537279,0.5117182752729454,0.619640566640311,576,144,0.12797528920113876
qwen_instruct,50,canonical_action_auc,0.6126067470171401,0.5597637330489075,0.665082581122742,576,144,0.17532251226455098
qwen_instruct,55,canonical_action_auc,0.8000878202410515,0.75170272514958,0.8430930370898074,576,144,0.36280358548846237
qwen_instruct,60,canonical_action_auc,0.8620919387075283,0.8211781752741192,0.8984164945961635,576,144,0.42480770395493916
qwen_instruct,65,canonical_action_auc,0.8910726182544969,0.8505013135751502,0.925485540106625,576,144,0.45378838350190775
qwen_instruct,70,canonical_action_auc,0.8812912603718733,0.8402458405404678,0.9170988802482342,576,144,0.4440070256192842
qwen_instruct,75,canonical_action_auc,0.8738795348555508,0.8293003398682162,0.9135762803451185,576,144,0.43659530010296166
qwen_instruct,80,canonical_action_auc,0.8678683907697899,0.8216903300141873,0.9061830342843236,576,144,0.4305841560172008
qwen,0,canonical_action_auc,0.4459116714591167,0.37966387245917754,0.5148560820944184,576,144,0.0
qwen,1,canonical_action_auc,0.7665265796652658,0.7193879643935863,0.8134366145818844,576,144,0.32061490820614913
qwen,5,canonical_action_auc,0.5612917496129176,0.502874178023744,0.621318359375,576,144,0.11538007815380091
qwen,10,canonical_action_auc,0.5380373073803731,0.4729699055485277,0.6047325744188311,576,144,0.09212563592125644
qwen,15,canonical_action_auc,0.4943301629433017,0.4346949784153413,0.5520150860893097,576,144,0.04841849148418498
qwen,20,canonical_action_auc,0.5248838752488387,0.4665575686194666,0.5828813900835703,576,144,0.07897220378972203
qwen,25,canonical_action_auc,0.49359286293592863,0.43926288148126685,0.5484833980328767,576,144,0.047681191476811935
qwen,30,canonical_action_auc,0.5184546191845463,0.4605823866479795,0.5733626777042559,576,144,0.07254294772542957
qwen,35,canonical_action_auc,0.578647791786478,0.5204797301069637,0.6326109495441599,576,144,0.13273612032736126
qwen,40,canonical_action_auc,0.5800928998009292,0.5238073609450835,0.6386657991334778,576,144,0.13418122834181245
qwen,45,canonical_action_auc,0.6151146501511465,0.5651443340533306,0.6664946781082278,576,144,0.16920297869202983
qwen,50,canonical_action_auc,0.6233724102337241,0.5668262013673003,0.6772956856159386,576,144,0.17746073877460744
qwen,55,canonical_action_auc,0.7241613212416133,0.6743159863131211,0.7672220774448921,576,144,0.27824964978249656
qwen,60,canonical_action_auc,0.8421440684214407,0.7990108763352166,0.8800582746922452,576,144,0.39623239696232404
qwen,65,canonical_action_auc,0.8523335545233356,0.8067677288584254,0.8933901674526674,576,144,0.4064218830642189
qwen,70,canonical_action_auc,0.8339747843397478,0.7919249186670085,0.8730579140495975,576,144,0.3880631128806311
qwen,75,canonical_action_auc,0.8741723807417239,0.8391888506935329,0.9088430270536765,576,144,0.4282607092826072
qwen,80,canonical_action_auc,0.8473346604733468,0.8073270144531669,0.885469748160561,576,144,0.4014229890142301
llama31_instruct,0,canonical_action_auc,0.4387480438184664,0.36975853706760925,0.5129397405892181,576,144,0.0
llama31_instruct,1,canonical_action_auc,0.5326134585289515,0.47353207198052366,0.5920392296050834,576,144,0.0938654147104851
llama31_instruct,5,canonical_action_auc,0.5992488262910798,0.538990227064209,0.6592176366255357,576,144,0.1605007824726134
llama31_instruct,10,canonical_action_auc,0.5012206572769953,0.4430334217119927,0.5606214176912685,576,144,0.06247261345852889
llama31_instruct,15,canonical_action_auc,0.4971361502347418,0.4427752282602883,0.5485027282925767,576,144,0.0583881064162754
