model,layer,cue,trait,lda_trait_accuracy,lda_trait_ci_lo,lda_trait_ci_hi,angle_to_decision_deg,behavior_aim,behavior_magnitude,behavior_magnitude_lo,behavior_magnitude_hi,n_obs,n_games
qwen_instruct,80,risk_aversion,risk,1.0,1.0,1.0,74.8350622306862,1.0735294117647058,0.3541666666666667,0.2916666666666667,0.4114583333333333,576,144
qwen_instruct,80,loss_aversion,loss,1.0,1.0,1.0,74.22292086040436,1.125,0.375,0.3177083333333333,0.4270833333333333,576,144
qwen_instruct,80,inequity_aversion,inequity,1.0,1.0,1.0,76.57215664000967,0.9736842105263156,0.5588235294117647,0.4264705882352941,0.6911764705882353,576,144
qwen_instruct,80,maximin,maximin,1.0,1.0,1.0,80.1300767270586,1.0461538461538462,0.3385416666666667,0.2916666666666667,0.3854166666666667,576,144
qwen_instruct,80,selfish_maximizer,selfish,1.0,1.0,1.0,76.15049044372172,0.6400000000000001,0.0868055555555555,0.0555555555555555,0.1206597222222222,576,144
qwen,80,risk_aversion,risk,1.0,1.0,1.0,111.2800957774576,1.1521739130434785,0.2395833333333333,0.1875,0.2916666666666667,576,144
qwen,80,loss_aversion,loss,1.0,1.0,1.0,115.81974379647797,1.148936170212766,0.2447916666666666,0.1875,0.296875,576,144
qwen,80,inequity_aversion,inequity,1.0,1.0,1.0,100.93639332325994,0.942857142857143,0.5147058823529411,0.4264705882352941,0.6029411764705882,576,144
qwen,80,maximin,maximin,1.0,1.0,1.0,86.23752451868812,1.1320754716981132,0.2760416666666667,0.2291666666666666,0.3229166666666667,576,144
qwen,80,selfish_maximizer,selfish,1.0,1.0,1.0,117.91115297508063,0.36,0.0651041666666666,0.0390625,0.09375,576,144
llama31_instruct,80,risk_aversion,risk,1.0,1.0,1.0,60.49577261868328,1.1860465116279069,0.2239583333333333,0.1666666666666666,0.28125,576,144
llama31_instruct,80,loss_aversion,loss,1.0,1.0,1.0,66.26791718481957,0.8333333333333334,0.1875,0.1302083333333333,0.25,576,144
llama31_instruct,80,inequity_aversion,inequity,1.0,1.0,1.0,61.92013751588312,1.162790697674419,0.6323529411764706,0.4705882352941176,0.7794117647058824,576,144
llama31_instruct,80,maximin,maximin,1.0,1.0,1.0,66.88177005201082,0.1851851851851852,0.28125,0.2291666666666666,0.3333333333333333,576,144
llama31_instruct,80,selfish_maximizer,selfish,1.0,1.0,1.0,70.54665523731136,0.0975609756097561,0.1067708333333333,0.0729166666666666,0.1432291666666666,576,144
gptoss,36,risk_aversion,risk,0.9947916666666666,0.9878472222222222,1.0,81.07612479791908,1.0731707317073171,0.4270833333333333,0.3229166666666667,0.5260416666666666,576,144
gptoss,36,loss_aversion,loss,0.96875,0.9513888888888888,0.984375,78.62276558242604,1.0731707317073171,0.4270833333333333,0.3229166666666667,0.5260416666666666,576,144
gptoss,36,inequity_aversion,inequity,0.9809027777777778,0.96875,0.9913194444444444,89.24359398831304,1.0,0.8676470588235294,0.7058823529411765,1.0,576,144
gptoss,36,maximin,maximin,1.0,1.0,1.0,79.0788626205201,1.0731707317073171,0.4270833333333333,0.3229166666666667,0.5260416666666666,576,144
gptoss,36,selfish_maximizer,selfish,0.9982547993019197,0.99473661085931,1.0,100.92512743384195,0.7727272727272728,0.1145833333333333,0.0625,0.171875,573,144
