layer,residual,router_gate,router_topk_binary,router_topk_weight,gate_minus_topk_binary_auc,gate_minus_topk_weight_auc
1,0.7534336419753087,0.793454218106996,0.6583654835390946,0.6799125514403292,0.13508873456790138,0.11354166666666676
3,0.8129243827160494,0.8293338477366256,0.5906250000000001,0.7140817901234567,0.23870884773662548,0.11525205761316881
6,0.8325102880658435,0.8034722222222221,0.612988683127572,0.6972865226337448,0.1904835390946501,0.10618569958847734
9,0.8399562757201647,0.8104552469135802,0.5614519032921811,0.639358281893004,0.2490033436213991,0.17109696502057614
12,0.8551311728395062,0.8724665637860082,0.6596386316872429,0.6734567901234568,0.21282793209876527,0.19900977366255135
15,0.8949974279835391,0.8588863168724279,0.5134002057613168,0.6139274691358025,0.34548611111111105,0.24495884773662535
18,0.9001929012345679,0.8913451646090534,0.6087255658436214,0.6400848765432099,0.2826195987654321,0.25126028806584355
21,0.9150334362139918,0.8711033950617284,0.5876736111111112,0.6306069958847736,0.28342978395061724,0.24049639917695476
22,0.907420267489712,0.8425925925925926,0.6319122942386832,0.6400334362139918,0.21068029835390933,0.20255915637860078
24,0.8977880658436215,0.8516589506172839,0.6172582304526749,0.6470871913580247,0.234400720164609,0.2045717592592592
27,0.9058641975308642,0.8135673868312756,0.5331082818930042,0.5894290123456789,0.2804591049382714,0.2241383744855967
30,0.9089891975308642,0.8365354938271605,0.5464956275720165,0.5730066872427984,0.290039866255144,0.2635288065843622
33,0.8929398148148148,0.8340406378600824,0.5387088477366255,0.6716435185185184,0.2953317901234569,0.16239711934156398
35,0.9006815843621399,0.8389789094650206,0.5496527777777778,0.6505658436213992,0.28932613168724286,0.18841306584362139
