game_code,gate_margin,topk_binary_margin,topk_weight_margin,residual_margin,gate_minus_topk_margin,median_n_new_tokens,mixed_rate,pure_canonical_rate,abs_delta1c_q05,complexity_score,dominance_profile,num_pure_ne,log_median_n_new_tokens
AsAs,0.12176920730243375,-0.07515355505273043,-0.039558467179795304,0.2996009574301299,0.19692276235516418,1011.0,0.25,0.6666666666666666,0.0,-0.5169508502148299,2,2,6.919683849847411
AsBa,0.21524968576597517,-0.10151564307878749,-0.10908857764441439,0.4520883056514134,0.31676532884476266,803.5,0.25,0.6666666666666666,0.0,0.5678259637502947,2,0,6.690220966432438
AsCh,0.2968530780742732,-0.07735830318728908,-0.04179687991446726,0.4084341816648911,0.3742113812615623,697.0,0.25,1.0,0.0,0.3368858560744445,2,0,6.548219102762372
AsCm,0.023243372470523382,-0.08765091220059529,-0.07052364600075726,0.2108830416833734,0.11089428467111867,674.0,0.25,1.0,0.0,0.7408346464128569,1,1,6.51471269087253
AsCo,0.17420432964490834,0.009571251104090711,0.03750000461543254,0.1737889491448569,0.1646330785408176,952.0,0.5,1.0,0.0,-0.6035533905932737,2,2,6.859614903654202
AsDl,0.20175486430793996,-0.22729134250797847,-0.20839616674083578,0.3252241565875805,0.42904620681591843,395.0,0.0,1.0,0.0,0.5098945387370066,1,1,5.981414211254481
AsHa,0.18295822151859048,-0.018648671702569994,0.008653259909649963,0.1327355908006851,0.20160689322116043,724.5,0.25,1.0,0.0,0.048014323385306,1,1,6.5868610723242424
AsHr,-0.01598845232072374,-0.1371281174048861,-0.10436412556530869,0.012496235913605935,0.12113966508416235,994.5,0.25,1.0,0.0,0.68329601758822,2,0,6.903245123504251
AsNc,0.20683123126150232,-0.039924090999602854,-0.03950019213781844,0.37402306185742495,0.24675532226110516,415.5,0.25,1.0,0.0,0.1634843772232312,1,1,6.031886461606898
AsPc,0.2365006948935332,-0.16539560074645482,-0.15895613083528623,0.08355639381902304,0.401896295639988,409.5,0.0,1.0,0.0,-0.1829257842905442,1,1,6.017375928892483
AsPd,0.362838657018504,-0.11472430564939076,-0.10335353724205534,0.4192427923568643,0.4775629626678947,497.0,0.0,1.0,0.0,0.3944244848990815,1,1,6.210600077024653
