analysis,target,feature_set,best_layer,value,lo,hi,n,n_games
decodability,incentive_sign_q05,router_gate,18,0.8913451646090534,0.8516040142909016,0.929380593037693,576,144
decodability,incentive_sign_q05,router_topk_weight,3,0.7140817901234567,0.6563856738683128,0.7725254507359439,576,144
decodability,incentive_sign_q05,router_topk_binary,12,0.6596386316872429,0.602445786959415,0.7191744237094954,576,144
decodability,incentive_sign_q05,residual,21,0.9150334362139918,0.8790308906268662,0.9510751903841496,576,144
decodability,pure_canonical_choice,router_gate,3,0.7235491192045823,0.6524009560846346,0.79441679154559,525,144
decodability,pure_canonical_choice,router_topk_weight,12,0.5694369393710148,0.46509543124702957,0.6678178204848221,525,144
decodability,pure_canonical_choice,router_topk_binary,12,0.5314762779639035,0.40448271231256383,0.6521333166810866,525,144
decodability,pure_canonical_choice,residual,21,0.8147087431103425,0.7496187709459413,0.8745158450441836,525,144
decodability,realized_canonical_choice,router_gate,6,0.8087158203125,0.7397258947513161,0.8691555215768642,576,144
decodability,realized_canonical_choice,router_topk_weight,12,0.726959228515625,0.6465787941956792,0.8036042846027684,576,144
decodability,realized_canonical_choice,router_topk_binary,12,0.7209625244140625,0.6473097820636098,0.7967674110634132,576,144
decodability,realized_canonical_choice,residual,24,0.816375732421875,0.7688002788400135,0.8656889244869035,576,144
decodability,literal_J_choice,router_gate,24,1.0,0.9999999999999999,1.0,525,144
decodability,literal_J_choice,router_topk_weight,35,0.9861660079051384,0.9728242418304069,0.9948434028293643,525,144
decodability,literal_J_choice,router_topk_binary,33,0.8169829690769588,0.782050128082814,0.8495860707925436,525,144
decodability,literal_J_choice,residual,18,1.0,0.9999999999999999,1.0,525,144
decodability,stimulus_control,router_gate,33,0.6914303626543211,0.6492799824410748,0.7346478847644892,576,144
decodability,stimulus_control,router_topk_weight,22,0.5105733989197532,0.4560314906196493,0.5658006549456202,576,144
decodability,stimulus_control,router_topk_binary,22,0.4963951581790123,0.4397659519962509,0.5489321395273002,576,144
decodability,stimulus_control,residual,18,0.7779224537037036,0.7309807114911436,0.821532370645438,576,144
behavior_link_logloss_improvement,pure_canonical_choice,router_gate,1,-0.01567190570608895,-0.051500372106651836,0.01570150795439515,525,144
behavior_link_logloss_improvement,pure_canonical_choice,router_topk_weight,35,-0.00012878756620507414,-0.01511787787321513,0.014332541249507507,525,144
behavior_link_logloss_improvement,pure_canonical_choice,router_topk_binary,35,2.278583400969203e-05,-0.013896113665460341,0.013498795593376661,525,144
behavior_link_logloss_improvement,pure_canonical_choice,residual,1,-0.23545930283493333,-0.3587676025481509,-0.13061522948427157,525,144
behavior_link_logloss_improvement,realized_canonical_choice,router_gate,6,0.029004792761009868,-0.010168850796731618,0.06595129262668491,576,144
behavior_link_logloss_improvement,realized_canonical_choice,router_topk_weight,35,0.037852782285302256,0.010737444854805331,0.06620485271775409,576,144
behavior_link_logloss_improvement,realized_canonical_choice,router_topk_binary,35,0.038273810736890124,0.012661353632303762,0.06540560405498629,576,144
behavior_link_logloss_improvement,realized_canonical_choice,residual,3,-0.07824481335914019,-0.1554072457106554,-0.010279903668743892,576,144
