layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
1,router_gate,incentive_sign_q05,objective incentive sign,all,0.793454218106996,0.7378240451318867,0.8438270343061026,576,144
1,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.7015562520263698,0.6191305805736144,0.7780217609434932,525,144
1,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.794525146484375,0.7316396420953756,0.8539813041010359,576,144
1,router_gate,literal_J_choice,literal J/P choice control,pure,0.9966286910020925,0.9926633517939241,0.9993405496188119,525,144
1,router_gate,stimulus_control,strategically inert payoff control,all,0.5014829282407407,0.44945644432022347,0.558625632199329,576,144
1,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6799125514403292,0.6211547479367518,0.7349306028449286,576,144
1,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.3523181670809467,0.26160412608006445,0.43977305216188206,525,144
1,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.658843994140625,0.5709982951830778,0.7465420845632429,576,144
1,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.46202191350848637,0.41981247670408167,0.5078035375792289,525,144
1,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.39951051311728397,0.3310205256170451,0.4680334581768657,576,144
1,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.6583654835390946,0.6015081435491592,0.7159710296433437,576,144
1,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.3281638387549983,0.24953202038851996,0.40298344399443,525,144
1,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.62628173828125,0.5309709312656345,0.7263392017926974,576,144
1,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.4846111369448966,0.44203308832390503,0.52947011857757,525,144
1,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.41745032793209874,0.34636354792320073,0.48807223755908924,576,144
